,aegis_layer0,aegis_layer1,aegis_layer2,aegis_layer3,aegis_layer4,aegis_layer5,aegis_layer6,aegis_layer7,aegis_layer8,aegis_layer9,aegis_layer10,aegis_layer11,aegis_layer12,aegis_layer13,aegis_layer14,aegis_layer15,aegis_layer16,aegis_layer17,aegis_layer18,aegis_layer19,aegis_layer20,aegis_layer21,aegis_layer22,aegis_layer23,aegis_layer24,aegis_layer25,aegis_layer26,aegis_layer27,aegis_layer28,aegis_layer29,aegis_layer30,aegis_layer31
hh-rlhf_layer0,0.181850918257112,0.075146771037182,0.11469806304595519,0.1886380189366351,0.14343657817109146,0.15342365433906993,0.17456268221574345,0.16856408373117884,0.20942593905031892,0.22757187391756148,0.18349619978284473,0.1774310595065312,0.20049243756595145,0.18995010691375624,0.2407903549899531,0.23843782117163412,0.26360936984493566,0.2795627691288506,0.2978930307941653,0.27155172413793105,0.28743098408574214,0.3046293298802201,0.30016528925619834,0.3332271424020389,0.29036501150937194,0.33207902163687675,0.3524310932177145,0.28884462151394424,0.3225288831835687,0.28037995414346545,0.26476510067114095,0.2869822485207101
hh-rlhf_layer1,0.18875086266390614,0.07737874861162532,0.12083936324167872,0.18704537582265326,0.15294948781349346,0.16286416286416286,0.1839160839160839,0.16631799163179917,0.2126144455747711,0.2447951645399597,0.19616724738675959,0.18745644599303135,0.2126144455747711,0.2100898410504492,0.27278710102007236,0.2534837425348374,0.2851625362085613,0.2966183574879227,0.32201776649746194,0.2892615285391809,0.31349458943348185,0.3218789407313997,0.298256735340729,0.330070357907617,0.30450047877433767,0.3444071929289851,0.38151875571820676,0.29398592450415867,0.33416381189660543,0.29310892346776757,0.27249190938511325,0.2987261146496815
hh-rlhf_layer2,0.1879310344827586,0.07737874861162532,0.1163963963963964,0.18417415342087076,0.15010570824524314,0.15677374301675978,0.17081604426002767,0.1749209694415174,0.2105619498984428,0.23772954924874792,0.18665744901486347,0.18745644599303135,0.21384928716904278,0.19399931810433005,0.2644655116050997,0.2514077509108976,0.2826855123674912,0.28749600255836266,0.3157562361856647,0.2801793147614473,0.3181092302778665,0.33111111111111113,0.30779054916985954,0.34654691855063485,0.30283710551482307,0.34934230651575404,0.3743932038834951,0.31075826312378485,0.34126487163431435,0.2947535771065183,0.27455429497568884,0.2987261146496815
hh-rlhf_layer3,0.19469644103279832,0.0727812848124768,0.11525915186661834,0.19257703081232494,0.15081618168914124,0.16283998587071707,0.1815308988764045,0.1646811492641906,0.2071307300509338,0.2398250924991591,0.1814404432132964,0.1809623430962343,0.21621621621621623,0.20952050034746353,0.2535027696318019,0.2556818181818182,0.2775812158250241,0.293186955117856,0.32080280344058615,0.29333333333333333,0.3018389346861129,0.326550079491256,0.2965319758192809,0.3383854005567584,0.3048780487804878,0.3650497512437811,0.3684370257966616,0.3018440634098997,0.3280373831775701,0.29012738853503184,0.27768703038222803,0.301572024382419
hh-rlhf_layer4,0.18439468159552133,0.0730421686746988,0.12518518518518518,0.19143665958952583,0.15960912052117263,0.163447782546495,0.1798510109968074,0.17531305903398928,0.21998612074947954,0.23879076086956522,0.18767605633802817,0.18262098198516424,0.21956295525494277,0.20644935155976166,0.2617627567925779,0.24389427902308464,0.29375,0.2893368010403121,0.307129217059198,0.27360931435963776,0.3127824402840542,0.31918289179699966,0.30193548387096775,0.32878834831112486,0.3053484602917342,0.35841398688729315,0.3578371810449575,0.29257216996432045,0.325384374019454,0.29922279792746115,0.27326537323248934,0.29404186795491144
hh-rlhf_layer5,0.18323746918652423,0.07420980302336234,0.12228622064687639,0.16911764705882354,0.1465590484282073,0.1473903966597077,0.16138328530259366,0.15929941618015012,0.1943673145577152,0.2145342095090839,0.1653799268590004,0.1594616639477977,0.20199600798403194,0.17904456041750302,0.23292273236282196,0.22586798931705457,0.25936811168258633,0.25946142649199416,0.2804834696054035,0.2506375227686703,0.27123483226266953,0.2806212495587716,0.2660451774829688,0.3013415892672859,0.27331887201735355,0.30949948927477017,0.3278633623576691,0.25360230547550433,0.2784462014437951,0.26105717367853293,0.2351430667644901,0.26185344827586204
hh-rlhf_layer6,0.18128453038674033,0.07406029028656494,0.126007326007326,0.18282933611400765,0.1526147278548559,0.16055045871559634,0.17511359664452988,0.17557522123893804,0.20775246514790888,0.23756720430107528,0.1832696980215203,0.175,0.21311475409836064,0.18259095545732745,0.2570307390451275,0.24676187313184988,0.2861309138042774,0.2901353965183752,0.3215311004784689,0.2957287251385719,0.3125399872040947,0.3247537337146489,0.28901551123773345,0.34369173399627095,0.28943192637258014,0.3411800672577194,0.3666969972702457,0.30045278137128073,0.33751962323390894,0.29453149984010235,0.2787958115183246,0.2927295918367347
hh-rlhf_layer7,0.17582417582417584,0.08329498389323516,0.12777284826974267,0.17519443307408925,0.15087122821929452,0.14540922309929372,0.17867555185339443,0.18077900084674006,0.19793732645775486,0.21707222865971418,0.18933443571723854,0.18144159072079535,0.20270808442851454,0.1879032258064516,0.25407042786823175,0.2378025355359201,0.264532744665195,0.2664233576642336,0.28688524590163933,0.26034419626510436,0.2771816881258941,0.2938456065457133,0.27429805615550756,0.3089402830514325,0.2802755620014503,0.31435390385271056,0.32998661311914324,0.27661909989023054,0.29041190723433713,0.27715219760261534,0.26064227035100823,0.2793316382128587
hh-rlhf_layer8,0.16842501883948757,0.07860445565363598,0.12961443806398687,0.19080726149092314,0.16381028298126743,0.17630744849445326,0.18365758754863815,0.167704280155642,0.22008305020762553,0.23186813186813188,0.18944936465152099,0.1798228725452445,0.22054380664652568,0.20076045627376427,0.2612741589119542,0.2321492644420524,0.2718717323109097,0.28966725043782837,0.29945615227736233,0.2736144998257232,0.29732510288065844,0.29770734996628456,0.28317373461012313,0.32538894405825886,0.286696459264352,0.3269168026101142,0.33652618135376755,0.2784110535405872,0.30204890945142104,0.2806595671590519,0.2656084656084656,0.2965277777777778
hh-rlhf_layer9,0.17784711388455537,0.07996523250760539,0.12784810126582277,0.1717408274785324,0.15312753858651504,0.16310914216673378,0.1844,0.1624203821656051,0.2063552833078101,0.23337091319052988,0.18799368088467613,0.17951759588770264,0.21848414539829852,0.19217357613328168,0.26627436557557926,0.24139207700851537,0.2747409789210432,0.2805832147937411,0.2881239242685026,0.2706258890469417,0.2944055944055944,0.28864569083447333,0.2799860529986053,0.3081027009003001,0.292622661489587,0.33803289694528366,0.34281975793261366,0.2755461592670895,0.3006403774856758,0.27785564120532585,0.2642393655371305,0.26708289975719735
