variant,method_a,method_b,pair,jaccard,cka,cka_unbiased,rsa_spearman,null_layer_matched_mean,null_layer_matched_std,null_global_mean,null_global_std,ceiling_mean,z_vs_null,normalized,rsa_null_mean
raw,siren,wang,SIREN / Wang,0.15287064791330413,0.9860272919868746,0.9860224894782819,0.9858733592879043,0.9758134585230124,0.0008431244045266663,0.9775893746704108,0.0007716480956799332,0.9811311804149185,12.114266185422858,1.9207159891923173,0.9756246865612581
raw,siren,zhao_topk,SIREN / Zhao,0.02375588777390948,0.8442415030153642,0.8463334108808663,0.9139827822993579,0.9776524884018395,0.0007683624792323921,0.977655005322141,0.0006263502170957576,0.987923017035381,-173.63027085830024,-12.989690224004796,0.9779158947804708
raw,siren,yang_rms,SIREN / Yang (RMS),0.025010250102501026,0.852963163341745,0.8538848747858389,0.909646975719198,0.9465597794705426,0.0027466086726416245,0.9776064331235021,0.0008985728169281385,0.9864477650186814,-34.07715742730052,-2.346486412953609,0.9619824250085124
raw,wang,zhao_topk,Wang / Zhao,0.05109335576114382,0.8853976311970965,0.8868436866531837,0.9346973252411102,0.9761193956522514,0.0015431794836921308,0.9778314371870929,0.0006424633636645026,0.9902424113630002,-58.78886118813524,-6.423682187516648,0.9763585677871726
raw,wang,yang_rms,Wang / Yang (RMS),0.03626943005181347,0.8930075869190864,0.8934661673455871,0.9321646119532754,0.9398971328611037,0.0036060626220824174,0.9776432629298488,0.0008524585087296203,0.9887671593463006,-13.00297605895141,-0.9594745350960762,0.9565234048684511
raw,zhao_topk,yang_rms,Zhao / Yang (RMS),0.09988998899889989,0.9674193344669778,0.9676055005052806,0.9698001297459201,0.9630386802868175,0.0019820385117216917,0.9776633605786106,0.0007537812743067113,0.995558995966763,2.2101761162829643,0.13470515548721312,0.9718573175363698
class,siren,wang,SIREN / Wang,0.15287064791330413,0.9863274519338548,0.9863488963794176,0.9878602985401621,0.9759551657266007,0.0006780337745125717,0.9774073645106658,0.0008735788736621602,0.9798409619311946,15.297595189429387,2.669282088183528,0.9756305632853557
class,siren,zhao_topk,SIREN / Zhao,0.02375588777390948,0.8963242350637125,0.899284662218914,0.9358326370145507,0.9774749968997145,0.0011737879521991742,0.9773616373359728,0.0008876606038922114,0.9874450261924089,-69.13579380667551,-8.139470753156724,0.9780803154249351
class,siren,yang_rms,SIREN / Yang (RMS),0.025010250102501026,0.8913743707911268,0.8929484755279771,0.9241482796810019,0.9464018844487075,0.0035792532098303806,0.9774544128332383,0.0007211872122463564,0.9858129926320658,-15.374020900909795,-1.3962437544655668,0.9623727091484315
class,wang,zhao_topk,Wang / Zhao,0.05109335576114382,0.9251428361653293,0.927099201743773,0.9497880256612663,0.9762167394228252,0.0012567751188242427,0.977442442436463,0.0009617244099762643,0.9894960234298847,-40.63885614259874,-3.846133814921328,0.9761061132835269
class,wang,yang_rms,Wang / Yang (RMS),0.03626943005181347,0.9217102330675458,0.9225332982872254,0.9416993194836627,0.9403361905870963,0.003169152864757358,0.9772808146600799,0.0008089832460245826,0.9878639898695416,-5.87726699039382,-0.3918960650557628,0.9561944488334934
class,zhao_topk,yang_rms,Zhao / Yang (RMS),0.09988998899889989,0.9682928297978364,0.9684910319391113,0.9696948710002021,0.9622305684139674,0.0025273338475862396,0.9772746015274894,0.0009333550717631752,0.9954680541307559,2.39867850844432,0.18239229752588978,0.9718232311782173
class+length,siren,wang,SIREN / Wang,0.15287064791330413,0.9657719239685952,0.9642272130510973,0.9529071185789614,0.9112044763965598,0.0012220604057220888,0.9186321365947206,0.001239829007556587,0.9399238427173124,44.65200518446775,1.9000226872208152,0.8518670812236131
class+length,siren,zhao_topk,SIREN / Zhao,0.02375588777390948,0.6502597232924845,0.6431830698270776,0.6655545440514348,0.911043586708335,0.0016117832649285315,0.9187602061395503,0.001285229120452393,0.9591752911910358,-161.79834416348402,-5.418130652521965,0.8508850612416587
class+length,siren,yang_rms,SIREN / Yang (RMS),0.025010250102501026,0.68650219521478,0.6760328463035244,0.7089103591737449,0.7988471090213405,0.008331605601046706,0.9186068168852985,0.0015814996773171766,0.9497494833315732,-13.484185304264349,-0.7444873834496216,0.7531134465185632
class+length,wang,zhao_topk,Wang / Zhao,0.05109335576114382,0.6905860038222269,0.6843121169297901,0.7023634693238965,0.9136771814967088,0.0021478134419995925,0.9186631593727894,0.0011042501533218803,0.9617194500904622,-103.86897358589316,-4.6436436955329174,0.8571458012608041
class+length,wang,yang_rms,Wang / Yang (RMS),0.03626943005181347,0.7283403517680547,0.7189325887227345,0.7448467567845506,0.7967390725698562,0.007050301358304225,0.9185865726326421,0.0011963426476502615,0.9522936422309995,-9.701531512725742,-0.4397088491247786,0.7533420877812738
class+length,zhao_topk,yang_rms,Zhao / Yang (RMS),0.09988998899889989,0.7919800053450489,0.7883799550340175,0.8003340756384935,0.8480712448855403,0.006717081219799226,0.919079285868538,0.0010633000263996558,0.971545090704723,-8.350537637561574,-0.4542762814939164,0.8119330398530573
