variant,method_a,method_b,pair,jaccard,cka,cka_unbiased,rsa_spearman,null_layer_matched_mean,null_layer_matched_std,null_global_mean,null_global_std,ceiling_mean,z_vs_null,normalized,rsa_null_mean
raw,siren,wang,SIREN / Wang,0.15287064791330413,0.987097127416103,0.9864798240878074,0.9831250886952302,0.9650546480038817,0.0017579211419340647,0.9724446178540334,0.0011056040683803743,0.9790748501715233,12.53894664920528,1.5721941202171126,0.9298634903158135
raw,siren,zhao_topk,SIREN / Zhao,0.02375588777390948,0.6958960175852781,0.6792455252561469,0.6937240983463647,0.9648790321983245,0.0020540632356465536,0.9723024863387486,0.0008137018628539197,0.9823406264615497,-130.95167176213013,-15.404264384927009,0.9296833436674994
raw,siren,yang_rms,SIREN / Yang (RMS),0.025010250102501026,0.8188488336992323,0.8061364456633052,0.809373333692956,0.8502972117873947,0.005990517844827694,0.9727132363757661,0.0007771986438131672,0.9794775823758612,-5.2496927482346765,-0.2434454859116973,0.81283581833358
raw,wang,zhao_topk,Wang / Zhao,0.05109335576114382,0.6975624056461772,0.681324686689628,0.6943066030108508,0.9679259059199229,0.0020365832935521208,0.9720580142934999,0.0008125658061509741,0.984136793726108,-132.75347054536095,-16.677895961416233,0.9365401385806335
raw,wang,yang_rms,Wang / Yang (RMS),0.03626943005181347,0.8254342925534199,0.8137187876702773,0.8129768768406406,0.8653559420417203,0.006604272916581278,0.9724404637752404,0.0008524321263476,0.9812737496404195,-6.044821283516234,-0.34439617445584214,0.8345882941347952
raw,zhao_topk,yang_rms,Zhao / Yang (RMS),0.09988998899889989,0.9057461190328749,0.901575087845134,0.8966279634480179,0.8973164076665812,0.004906936926799672,0.9724096719158142,0.0010272363933903866,0.9845395259304459,1.717917204163388,0.09664537950583778,0.8750433611150115
class,siren,wang,SIREN / Wang,0.15287064791330413,0.9805708264445043,0.9785969546083765,0.9667606150273538,0.9621418900089631,0.0015173835182315059,0.9686228392582658,0.0009474675591923703,0.966597721930351,12.145206675910087,4.1359137329850375,0.9124529431919963
class,siren,zhao_topk,SIREN / Zhao,0.02375588777390948,0.7473514760823431,0.7362700058365668,0.7397272559168063,0.9632219760620213,0.0019466144354074134,0.9684805559554663,0.0010250031116397988,0.9762232972170146,-110.8953555738417,-16.603735682413376,0.9169962093928264
class,siren,yang_rms,SIREN / Yang (RMS),0.025010250102501026,0.8254100592167999,0.8117042171677551,0.7955712272185671,0.8435055768699771,0.006690180660686153,0.9689026867401136,0.00098860212246195,0.9719650782866908,-2.7047875940799013,-0.14086554481070718,0.7939730713313087
class,wang,zhao_topk,Wang / Zhao,0.05109335576114382,0.7620328769003382,0.7511968061423892,0.7607262606792087,0.9635400773629657,0.001423997054938665,0.968528403447406,0.0010280946215233226,0.9785039104601192,-141.50815815507912,-13.466282279034418,0.9180945235992848
class,wang,yang_rms,Wang / Yang (RMS),0.03626943005181347,0.8418003860848196,0.8292842444149708,0.8162071528323347,0.8449861499980587,0.0073336844380955885,0.9685516560923061,0.0010147642229375207,0.9742456915297952,-0.4344015535615796,-0.024646257254880604,0.7916692601760743
class,zhao_topk,yang_rms,Zhao / Yang (RMS),0.09988998899889989,0.9164121845394075,0.9134033623839215,0.901957516993554,0.881548282618421,0.00792764423392202,0.9687533609682919,0.0008197989615302229,0.9838712668164589,4.397763180618718,0.3407240532929559,0.8420208312032884
class+length,siren,wang,SIREN / Wang,0.15287064791330413,0.9781262714259538,0.9754510029956295,0.9660142073214599,0.9595289595681805,0.0011934022369306319,0.966549021282615,0.0007679665810831573,0.9625844923015144,15.583439750879435,6.08643843179567,0.9152616602604334
class+length,siren,zhao_topk,SIREN / Zhao,0.02375588777390948,0.9039899098499168,0.8895320838376924,0.8656207256730053,0.9616440287824911,0.00106170625071048,0.9664638292670793,0.0009277750071815359,0.9602738919910128,-54.303267870932224,42.07909698590513,0.917705712030999
class+length,siren,yang_rms,SIREN / Yang (RMS),0.025010250102501026,0.8675090070815963,0.8490822269000458,0.8348663781539307,0.8942154185062499,0.0038257457237498064,0.9663254855601249,0.0007904979273920033,0.9619462743703415,-6.980707384409562,-0.394301992554804,0.8219720597104889
class+length,wang,zhao_topk,Wang / Zhao,0.05109335576114382,0.9104428371369248,0.8979002623446284,0.8806180301484567,0.9627486459359702,0.0013636863254225277,0.966367103722645,0.0008701330156082908,0.9616210097509414,-38.35618780062116,46.38535858771819,0.9199867934170708
class+length,wang,yang_rms,Wang / Yang (RMS),0.03626943005181347,0.8781659071742354,0.8620549996967846,0.8496897541770584,0.9031004796596479,0.004853524658920836,0.9661691926530885,0.000840879729558476,0.96329339213027,-5.13741543263461,-0.41424432648249354,0.8378221741427515
class+length,zhao_topk,yang_rms,Zhao / Yang (RMS),0.09988998899889989,0.933298287197839,0.9237941415514943,0.9011573201167781,0.919515770075658,0.004546151941836978,0.9665889473129082,0.0008750003108323562,0.9609827918197684,3.031688623370536,0.332372968746871,0.8570018570392557
