method_a,method_b,layer_a,layer_b,cka,null_mean,null_std,z
siren,wang,0,0,0.7795988479985447,0.32316162299337786,0.036115904447035045,12.63812251122063
siren,wang,0,2,0.46944053858551543,0.3026862558567702,0.02575261743267312,6.4752362809218384
siren,wang,0,3,0.5514261936248871,0.30926824628801686,0.014660795847869581,16.517380764977993
siren,wang,0,4,0.5534818756961664,0.29237399613664483,0.005788592087532488,45.107320676801116
siren,wang,0,5,0.42127471352084583,0.28195183382289957,0.022561571482716727,6.175229407431767
siren,wang,0,6,0.46637068857356506,0.2985021892523527,0.016283250873565237,10.309274273587196
siren,wang,0,7,0.46872541803480133,0.3012370863411916,0.012807275048388937,13.07759309148893
siren,wang,0,8,0.4509981210684824,0.3140499323209432,0.02076632125919818,6.594725519180714
siren,wang,0,9,0.39519271583021315,0.31070033958069354,0.015096863633004668,5.596684073160925
siren,wang,0,10,0.40563596268972696,0.29107475521824644,0.008975759868173065,12.763399328195087
siren,wang,0,11,0.40241984858253366,0.3244161278288,0.011240340032377484,6.93962286986391
siren,wang,0,12,0.3748808768346486,0.3311645912305013,0.01440782239744273,3.034204919954218
siren,wang,0,13,0.37132152793978784,0.31570143135067474,0.0144316750451776,3.854029169517559
siren,wang,0,14,0.3825174713627068,0.3128059653315739,0.017050205617589898,4.088602072881445
siren,wang,0,15,0.37363150339682394,0.28803731928403054,0.009277148709315432,9.226346024489832
siren,wang,0,16,0.372023594431066,0.28300755977838815,0.013621544510619261,6.534944299692413
siren,wang,0,17,0.36072577354493274,0.26404449795597673,0.01961424683832627,4.92913525489241
siren,wang,0,18,0.4060409737680157,0.2740611740878471,0.02360751232556149,5.5905848045355
siren,wang,0,19,0.3169669601980167,0.26604139284062656,0.010142044713574268,5.021232778557026
siren,wang,0,20,0.3249482930252646,0.24425389672058317,0.012650946072100233,6.378526621233558
siren,wang,0,21,0.4541117561251222,0.25023900564654344,0.015823775539057717,12.883951113649271
siren,wang,0,22,0.27405922898759677,0.21199981021939968,0.016254594967186637,3.8179615606219195
siren,wang,0,23,0.30859378655876163,0.18859091267262104,0.007004488490423675,17.132282257327553
siren,wang,0,24,0.4036186523868783,0.21210332922192401,0.008027227704083085,23.85821484390422
siren,wang,0,25,0.32781302765197895,0.2223749021581845,0.008836561420058543,11.932031078792173
siren,wang,0,26,0.4853245214869756,0.2077691738267317,0.01778266342324781,15.608198898787425
siren,wang,0,27,0.36683865582344455,0.23906458341049155,0.015540484137758827,8.222013630997466
siren,wang,0,28,0.44494675801465233,0.2321912005051406,0.01813178155991491,11.733847377682073
siren,wang,0,29,0.34092976900574545,0.24668983051491353,0.023909546764606035,3.9415192357530557
siren,wang,0,30,0.4319050670681135,0.3268700170597326,0.020470086830077113,5.13114823988195
siren,wang,0,31,0.5305019127409782,0.37929185430310913,0.024151837691945663,6.26080964796711
siren,wang,1,0,0.5571663707296315,0.16322394019372724,0.02107147420755791,18.6955324841299
siren,wang,1,2,0.41883549896337224,0.1787271048651839,0.00776439036302678,30.92430736630136
siren,wang,1,3,0.4815455543133192,0.1882584581262596,0.009439394927535165,31.07053984271038
siren,wang,1,4,0.4644173916393657,0.1721104325856719,0.0026998106080871258,108.2694312623653
siren,wang,1,5,0.35676208677129306,0.1688591947584382,0.006250009147080286,30.06441872179249
siren,wang,1,6,0.3838283691013816,0.18066748697910448,0.004280643935395554,47.46035530831974
siren,wang,1,7,0.4028248950623326,0.1853585769250245,0.007380836766536244,29.463640101522387
siren,wang,1,8,0.37039401766205216,0.187491528540419,0.0052751853040586185,34.67223966159288
siren,wang,1,9,0.3201589976376702,0.18755488910581758,0.007249070890209357,18.292566115051876
siren,wang,1,10,0.3313569087005411,0.17891951892388974,0.00721935605864062,21.11509510522117
siren,wang,1,11,0.33629522549299423,0.19513566139941413,0.007694617504495871,18.345234706091926
siren,wang,1,12,0.32040698604101026,0.1973624486393497,0.0086679966358704,14.195268246006302
siren,wang,1,13,0.3118995252460276,0.1917669184325767,0.0072178867282195296,16.643736780153734
siren,wang,1,14,0.30972836444701435,0.18622032809363093,0.0037696118792077374,32.764125408937645
siren,wang,1,15,0.2854056225416307,0.17511998571465517,0.008023666841016143,13.74504188823082
siren,wang,1,16,0.29774923939114784,0.16607765496476617,0.00851501148313272,15.463465279783621
siren,wang,1,17,0.28352674668830535,0.15889279043192514,0.00960758530656553,12.972453772667434
siren,wang,1,18,0.32265925963097986,0.16286520486502326,0.014140969690449095,11.300077594670368
siren,wang,1,19,0.23326176875386218,0.16238278108777873,0.010543178881297653,6.722734050525724
siren,wang,1,20,0.25320832235590623,0.14834674946661489,0.00841349560968407,12.463496476850118
siren,wang,1,21,0.3423550032773312,0.1496586747043363,0.003751441664962545,51.36594029242857
siren,wang,1,22,0.19515221737094407,0.126668851963409,0.008952012578202674,7.650052411039476
siren,wang,1,23,0.23574942698831322,0.11264495070523992,0.003042796818483598,40.45767220974793
siren,wang,1,24,0.29818835097462343,0.12830420667684167,0.0061660010626227064,27.55175397675355
siren,wang,1,25,0.24386511032554056,0.13098429368575798,0.004260615669184292,26.49401527957906
siren,wang,1,26,0.3754600337649908,0.12149952755444357,0.009989680113342331,25.422286132201037
siren,wang,1,27,0.28529163287279974,0.13845133527826423,0.004507758786827201,32.57501222639499
siren,wang,1,28,0.35255128699336896,0.13531485856998396,0.007016132716402037,30.962417218183216
siren,wang,1,29,0.258832729494532,0.14214080954221073,0.013272192664109082,8.792211121820271
siren,wang,1,30,0.34051945214517937,0.17376189580006582,0.012433655673175623,13.411788192339635
siren,wang,1,31,0.41963826944017113,0.19453177064724717,0.009401617505761647,23.943379812566366
siren,wang,2,0,0.5101851056817109,0.1931369606963355,0.01897831665524706,16.70580962183066
siren,wang,2,2,0.6312079934121211,0.2299574121727029,0.00972859633120989,41.24444756251048
siren,wang,2,3,0.5157772809641025,0.2433512731546041,0.01620185872215683,16.814491008796576
siren,wang,2,4,0.4774636425902823,0.22588932797150454,0.0073313628011963585,34.3148090526532
siren,wang,2,5,0.4044846850290496,0.2167494678703877,0.012463017915641812,15.06338339793633
siren,wang,2,6,0.4313353710854397,0.23314008731246388,0.00733388507523375,27.02459634147714
siren,wang,2,7,0.4424617851153492,0.23898489960985145,0.009499942960638066,21.418748128128886
siren,wang,2,8,0.40914664641781956,0.24589942042785778,0.006739321060968219,24.223096735282784
siren,wang,2,9,0.3702460814181658,0.24601968197801546,0.0056137657349689795,22.128889110267934
siren,wang,2,10,0.3811198863105831,0.23207127689328474,0.011841266872874272,12.587218159801447
siren,wang,2,11,0.3807709678052227,0.256359550120251,0.01537276082917607,8.092978162312287
siren,wang,2,12,0.351741880383882,0.2605281348400726,0.015214548896413901,5.995165953642481
siren,wang,2,13,0.3443047942939808,0.24972407869705532,0.00817300345683274,11.57233275337168
siren,wang,2,14,0.34415297684374657,0.24361968058653108,0.00713074571020213,14.098567014299793
siren,wang,2,15,0.3318381010145779,0.22719093419548114,0.014376260529052293,7.279164606652775
siren,wang,2,16,0.33606829433777297,0.22040345247612655,0.013910532591869586,8.314911100474333
siren,wang,2,17,0.318731143317876,0.20842764754794932,0.01399286621929029,7.882837871905361
siren,wang,2,18,0.3454695012930104,0.21358731330326092,0.013446449536331093,9.807956191960987
siren,wang,2,19,0.2874671416674126,0.21287804754001366,0.008329658581071112,8.954640025330729
siren,wang,2,20,0.2864502276696451,0.1890785223127776,0.006538019998508847,14.893148901207931
siren,wang,2,21,0.3686007882115047,0.19050863490791262,0.004785008612899734,37.21877382278473
siren,wang,2,22,0.23289599098129354,0.1600919796367136,0.014491776535987976,5.023815483476646
siren,wang,2,23,0.27520738084549556,0.14149199272435692,0.009379541355940301,14.25606893203294
siren,wang,2,24,0.33249902323049507,0.16017547702498944,0.004007276733634522,43.00265683154144
siren,wang,2,25,0.2817918700435097,0.1657285526069705,0.006284718650628761,18.467543877231087
siren,wang,2,26,0.3641607591400344,0.15633443574319664,0.020667363492801082,10.055773367959025
siren,wang,2,27,0.3103995072112377,0.1775279712883302,0.007799760051818985,17.035336348830434
siren,wang,2,28,0.36657427831376865,0.16887240190958377,0.01304506872591227,15.155295886749663
siren,wang,2,29,0.27730938038159425,0.18204201620677712,0.02317893308681547,4.110084093085659
siren,wang,2,30,0.3441184638290944,0.22573522298998974,0.010826366319060043,10.934715984132968
siren,wang,2,31,0.4072789724470385,0.24041418593725417,0.014779129118218472,11.290569638781177
siren,wang,3,0,0.47228761795892843,0.23339613538123466,0.023686020088769712,10.085758674626799
siren,wang,3,2,0.47743337964154514,0.27612172905776466,0.014135354566256014,14.241712129694477
