method_a,method_b,layer_a,layer_b,cka,null_mean,null_std,z
siren,wang,0,0,0.7367072552688887,0.5179279127316387,0.02821617153266932,7.753686295957703
siren,wang,0,2,0.6568380565807219,0.5368518077564403,0.02673237516393836,4.488424544712421
siren,wang,0,3,0.6227338967932815,0.557898829824461,0.01267407513342952,5.1155659317348965
siren,wang,0,4,0.5744465153360077,0.49561148612507255,0.007569305258332128,10.415094453239972
siren,wang,0,5,0.5565576092451644,0.48915592045636336,0.01092506155403384,6.169456204474605
siren,wang,0,6,0.5635614300235839,0.5083380432520028,0.019843504310645608,2.7829452856245243
siren,wang,0,7,0.5923353505839508,0.5062063965692747,0.012571132466665687,6.851328171352934
siren,wang,0,8,0.5862882215019312,0.5213846546068112,0.018002868941219812,3.6051791026770847
siren,wang,0,9,0.5431485030083162,0.5168812105358063,0.02677220393511936,0.9811404595664571
siren,wang,0,10,0.5184146383177406,0.5013605531270824,0.0212839565518465,0.8012648000438938
siren,wang,0,11,0.5186554348945146,0.5174168549959631,0.011689730527816362,0.10595452954233661
siren,wang,0,12,0.5019591087755976,0.5115367966913555,0.007907574370269827,-1.211204279249941
siren,wang,0,13,0.5209631099837512,0.5094842924147465,0.03498893426832009,0.3280699400838263
siren,wang,0,14,0.49961752234253015,0.523245050828855,0.022389136677820273,-1.0553121733242783
siren,wang,0,15,0.5133100347593528,0.5180971601508293,0.017138642272590474,-0.27931765628438876
siren,wang,0,16,0.5364161147844582,0.5132747756871116,0.01773891770128147,1.3045519172612696
siren,wang,0,17,0.4675599006980013,0.49959284751519856,0.02158992042278358,-1.4836991609933532
siren,wang,0,18,0.4771121017262603,0.5061409985901608,0.02386066746664881,-1.2166003698126049
siren,wang,0,19,0.47729149115430575,0.5015492640035523,0.03795254321405882,-0.6391606673742136
siren,wang,0,20,0.432723908083817,0.49178377487271263,0.028870791317022543,-2.0456615179118165
siren,wang,0,21,0.51422055814983,0.48924331957477285,0.022738173913273676,1.0984716129942353
siren,wang,0,22,0.4193177249678054,0.4187274825277861,0.026500074063821485,0.0222732373727638
siren,wang,0,23,0.47098025765670093,0.3960535070931849,0.035469918949147174,2.112402643799037
siren,wang,0,24,0.4714841081601306,0.4115955599575005,0.02023549708597433,2.959578800964575
siren,wang,0,25,0.4578491301072121,0.42398843005149695,0.018821444284992904,1.7990489753601788
siren,wang,0,26,0.3955606962764173,0.37167738272610085,0.02409439803143459,0.9912392714338526
siren,wang,0,27,0.4547807364963023,0.4202131491442193,0.01902246336960112,1.8171982608374357
siren,wang,0,28,0.4406654475467261,0.39518231337697374,0.028223013886101368,1.611561910195242
siren,wang,0,29,0.37501653310798005,0.4571246323920347,0.02928960170712337,-2.8033190790739084
siren,wang,0,30,0.40952525153734276,0.48446713451296103,0.024806893862182027,-3.021010344623063
siren,wang,0,31,0.5272445381460351,0.4645307518719061,0.006797514291034493,9.22598814640885
siren,wang,1,0,0.4762776581190424,0.3604274791978184,0.030702778902860075,3.7732799134488797
siren,wang,1,2,0.5406736836905413,0.40877318490130027,0.016917334352518788,7.796766088600867
siren,wang,1,3,0.5244555961241739,0.4140547228349127,0.016817765272528724,6.564538837368452
siren,wang,1,4,0.4840036013041981,0.3785596687689582,0.012959527652928023,8.13640244915997
siren,wang,1,5,0.47232639585121056,0.36712031854647736,0.015089112760299058,6.972316992788386
siren,wang,1,6,0.5024974926666805,0.38792593818915055,0.01783830491606883,6.422782602752988
siren,wang,1,7,0.5136994747552955,0.39170975482044307,0.01833069966874401,6.654940735451535
siren,wang,1,8,0.4935950893899283,0.4015557742814341,0.011599224218813367,7.934954387657324
siren,wang,1,9,0.4771362499817044,0.3932759413128039,0.024022794191687354,3.4908640518561658
siren,wang,1,10,0.4263022111837474,0.38895526694440835,0.025751981012243286,1.4502551947977576
siren,wang,1,11,0.45665454471039735,0.40049032599842854,0.014472640873557603,3.8807166710385426
siren,wang,1,12,0.4444127040076012,0.4014047441330101,0.014205087314748874,3.027644879728177
siren,wang,1,13,0.4357147386943839,0.3965721170815177,0.03380128937763254,1.1580215528336677
siren,wang,1,14,0.4130908054622329,0.40318990323746934,0.0153332182490925,0.6457158610749947
siren,wang,1,15,0.4384454053504932,0.3992475359361397,0.015627569528601826,2.5082511610402967
siren,wang,1,16,0.4531133637694069,0.39253632072399547,0.007052962034090035,8.588879785913527
siren,wang,1,17,0.396010527682268,0.376798034807316,0.02188707863918096,0.8778006965515696
siren,wang,1,18,0.38412159200453916,0.3900405134030897,0.01796514462026248,-0.3294669496773619
siren,wang,1,19,0.4253207622192959,0.37701052594736156,0.014256335188683869,3.388685495433716
siren,wang,1,20,0.361988301951193,0.36300006643951716,0.01425448147066488,-0.07097869469375635
siren,wang,1,21,0.424794973099365,0.3665253608906753,0.01669476957379716,3.4902914922614596
siren,wang,1,22,0.36559478887602176,0.31260806069420954,0.0053402777563661625,9.922092183060434
siren,wang,1,23,0.375920536349,0.296111869555574,0.02428452327843687,3.2864003908320942
siren,wang,1,24,0.3924292728011245,0.3140401644776711,0.017287739878333888,4.534375741139865
siren,wang,1,25,0.3637346194346966,0.3147329333951684,0.015715724469554694,3.1180036360688796
siren,wang,1,26,0.3231000011866654,0.2719104734776773,0.01945150109845222,2.6316492207925952
siren,wang,1,27,0.39843419056514817,0.3165401659941218,0.014733823991709928,5.558232853677667
siren,wang,1,28,0.3793954858850296,0.2967279283638041,0.009061279485852416,9.123166066149512
siren,wang,1,29,0.3217469106442975,0.3449444469002052,0.01824731139237042,-1.2712851639944653
siren,wang,1,30,0.35269569530645867,0.3601089435563799,0.020682014107278386,-0.35843937691312056
siren,wang,1,31,0.46131151627471034,0.3462241183525661,0.01100122780550139,10.461323041105686
siren,wang,2,0,0.5388844014604612,0.4093388124335754,0.02995409020930971,4.32480466345872
siren,wang,2,2,0.7635179845303962,0.48027272840566226,0.021247003516269652,13.331068350783776
siren,wang,2,3,0.6200639503132876,0.5090503766027783,0.011882417599783684,9.342675661603606
siren,wang,2,4,0.5882700520476404,0.46032106721991434,0.008198362660062578,15.60665100252462
siren,wang,2,5,0.566512280696767,0.45421009441973287,0.012846727545807722,8.74169595927032
siren,wang,2,6,0.5802403888541562,0.4784112943758938,0.023970436656295075,4.24811178612886
siren,wang,2,7,0.6191997902392192,0.47341768348289676,0.012817380839276435,11.373782880009372
siren,wang,2,8,0.5836506393294322,0.490419533915415,0.01723126017126487,5.41057963766869
siren,wang,2,9,0.5493348454537305,0.48097447156639445,0.026014388046634748,2.627790965706733
siren,wang,2,10,0.5200693005965724,0.4765819219838233,0.02113613282980438,2.0574898427694817
siren,wang,2,11,0.5364794561808475,0.49255706222486617,0.019568996069382796,2.24448887414829
siren,wang,2,12,0.5242787987402113,0.4902829780278024,0.014758792944853572,2.303428257272445
siren,wang,2,13,0.5260192871766984,0.48198271438198964,0.0261411948575019,1.6845661812612727
siren,wang,2,14,0.49539488639429613,0.4934270437396126,0.018800176543836276,0.10467149870082966
siren,wang,2,15,0.5090399457469151,0.4839959806859418,0.011765635484228001,2.128568838848112
siren,wang,2,16,0.5280375159123522,0.4759823420007959,0.014811039700253329,3.514619835275026
siren,wang,2,17,0.47232607903983265,0.4600965030472584,0.02251261147216798,0.5432322237557152
siren,wang,2,18,0.46370295017588553,0.4739745805461569,0.014497597595075119,-0.7085056888156871
siren,wang,2,19,0.4761364931994995,0.4558406124879711,0.03204043808549527,0.6334457930123121
siren,wang,2,20,0.4225285773993242,0.43598038873117273,0.022093454431432097,-0.6088595775548252
siren,wang,2,21,0.4992488379845802,0.44349139755488654,0.014516405327562234,3.8409950102335086
