layer,neuron_index,rank_siren,percentile_siren,rank_yang_harmfulness,percentile_yang_harmfulness,consensus_score,n_methods_at_N,methods_that_selected_it_at_N
31,14201,56,0.00011989074683215949,11,2.179831760584718e-05,7.084453221900334e-05,2,siren;yang_harmfulness
31,12950,32,6.757478457812626e-05,94,0.00020272435373437878,0.00013514956915625253,2,siren;yang_harmfulness
31,2207,271,0.0005885545753578739,45,9.59125974657276e-05,0.00034223358641180074,2,siren;yang_harmfulness
31,9326,314,0.0006822873410630168,240,0.0005209797907797476,0.0006016335659213822,2,siren;yang_harmfulness
30,6156,130,0.00028119829711542864,447,0.0009722049652207842,0.0006267016311681064,2,siren;yang_harmfulness
30,3786,457,0.0009940032828266315,142,0.00030735627824244525,0.0006506797805345384,2,siren;yang_harmfulness
29,254,663,0.0014430486255070834,131,0.00028337812887601336,0.0008632133771915483,1,yang_harmfulness
30,3903,550,0.0011967276365610101,264,0.0005732957530337809,0.0008850116947973955,1,yang_harmfulness
21,1832,196,0.00042506719331402,641,0.0013950923267742196,0.0009100797600441198,1,siren
27,11330,268,0.0005820150800761197,571,0.0012425041035332893,0.0009122595918047045,1,siren
31,8410,188,0.00040762853922934227,666,0.0014495881207888376,0.00092860833000909,1,siren
30,13226,596,0.0012969998975479072,323,0.0007019058269082792,0.0009994528622280932,1,yang_harmfulness
22,8514,123,0.0002659394747913356,808,0.0017591242307918675,0.0010125318527916015,1,siren
14,3917,146,0.0003160756052847841,806,0.001754764567270698,0.001035420086277741,1,siren
29,7349,391,0.00085013438662804,569,0.0012381444400121199,0.00104413941332008,1,siren
31,14027,921,0.0020054452197379407,60,0.00012861007387449837,0.0010670276468062196,1,yang_harmfulness
10,1084,57,0.00012207057859274422,928,0.0020207040420620334,0.0010713873103273888,1,siren
30,12484,830,0.0018070805295247313,261,0.0005667562577520267,0.001186918393638379,1,yang_harmfulness
31,507,845,0.001839778005933502,250,0.0005427781083855948,0.0011912780571595484,1,yang_harmfulness
31,9825,1173,0.0025547628234052896,6,1.089915880292359e-05,0.0012828309911041065,1,yang_harmfulness
31,5540,887,0.0019313309398780601,359,0.0007803797702893291,0.0013558553550836946,1,yang_harmfulness
31,6575,962,0.002094818321921914,380,0.0008261562372616081,0.001460487279591761,1,yang_harmfulness
30,12016,1147,0.0024980871976300867,218,0.0004730234920468838,0.0014855553448384852,1,yang_harmfulness
31,2836,1033,0.002249586376923429,332,0.0007215243127535417,0.0014855553448384854,1,yang_harmfulness
31,6109,1210,0.002635416598546924,237,0.0005144402954979935,0.0015749284470224587,1,yang_harmfulness
27,2170,28,5.8855457535787386e-05,1431,0.003117159417636147,0.0015880074375859672,1,siren
31,3557,228,0.000494821809652731,1278,0.002783645158266685,0.001639233483959708,1,siren
31,11581,1427,0.003108440090593808,133,0.0002877377923971828,0.0016980889414954954,1,yang_harmfulness
31,9658,1319,0.0028730182604506586,249,0.0005405982766250101,0.0017068082685378343,1,yang_harmfulness
30,12185,1639,0.0035705644238377683,93,0.00020054452197379406,0.0018855544729057812,1,yang_harmfulness
31,287,1466,0.003193453529256612,285,0.0006190722200060599,0.0019062628746313358,1,yang_harmfulness
30,1130,1818,0.003960754308982433,68,0.00014604872795917612,0.0020534015184708043,1,yang_harmfulness
30,6897,78,0.0001678470455650233,1809,0.0039411358231371705,0.002054491434351097,1,siren
30,7146,1861,0.004054487074687575,63,0.00013514956915625253,0.002094818321921914,1,yang_harmfulness
29,6982,176,0.00038147055810232566,1771,0.003858302216234951,0.0021198863871686384,1,siren
31,3607,1607,0.0035008098074990573,361,0.0007847394338104985,0.002142774620654778,1,yang_harmfulness
31,11488,1950,0.004248492101379615,56,0.00011989074683215949,0.0021841914241058874,1,yang_harmfulness
31,3409,2013,0.0043858215022964525,4,6.539495281754154e-06,0.002196180498789103,1,yang_harmfulness
31,2954,1914,0.004170018157998566,156,0.0003378739228906313,0.0022539460404445984,1,yang_harmfulness
26,2776,95,0.0002049041854949635,2035,0.0044337778010293165,0.00231934099326214,1,siren
30,3695,368,0.0007999982561345915,1773,0.0038626618797561203,0.002331330067945356,1,siren
30,13587,226,0.0004904621461315616,2007,0.004372742511732945,0.002431602328932253,1,siren
31,5542,101,0.0002179831760584718,2221,0.004839226508498074,0.002528604842278273,1,siren
31,8583,2079,0.0045296903984950445,251,0.0005449579401461795,0.002537324169320612,1,yang_harmfulness
31,2012,2307,0.00502669203990836,113,0.00024414115718548844,0.002635416598546924,1,yang_harmfulness
11,4258,55,0.00011771091507157477,2409,0.005249034879488001,0.002683372897279788,1,siren
31,3646,2367,0.005157481945543443,152,0.00032915459584829243,0.002743318270695868,1,yang_harmfulness
31,13833,2273,0.0049525777600484796,297,0.0006452302011330766,0.002798903980590778,1,yang_harmfulness
31,12222,2241,0.004882823143709769,336,0.0007302436397958805,0.0028065333917528246,1,yang_harmfulness
31,10973,2497,0.005440860074419456,95,0.0002049041854949635,0.00282288212995721,1,yang_harmfulness
31,3084,2432,0.00529917100998145,183,0.0003967293804264187,0.0028479501952039343,1,yang_harmfulness
31,3769,2684,0.005848488613648798,35,7.411427985988042e-05,0.002961301446754339,1,yang_harmfulness
31,10492,2461,0.005362386131038406,288,0.0006256117152878141,0.00299399892316311,1,yang_harmfulness
30,742,2509,0.0054670180555464725,282,0.0006125327247243058,0.003039775390135389,1,yang_harmfulness
12,10867,297,0.0006452302011330766,2624,0.005717698708013716,0.003181464454573396,1,siren
26,5062,357,0.0007760201067681596,2609,0.005685001231604945,0.0032305106691865523,1,siren
31,3166,2812,0.006127507079003642,201,0.0004359663521169436,0.003281736715560293,1,yang_harmfulness
31,3396,390,0.0008479545548674553,2631,0.005732957530337809,0.003290456042602632,1,siren
31,11695,2964,0.00645884150661252,102,0.00022016300781905652,0.0033395022572157884,1,yang_harmfulness
31,3840,2934,0.006393446553794978,280,0.0006081730612031364,0.0035008098074990573,1,yang_harmfulness
31,8053,3176,0.00692096583985648,126,0.00027247897007308977,0.003596722404964785,1,yang_harmfulness
31,12525,3292,0.0071738263240843075,77,0.00016566721380443857,0.0036697467689443732,1,yang_harmfulness
14,1559,100,0.00021580334429788708,3361,0.0073242347155646524,0.0037700190299312696,1,siren
31,5371,3440,0.007496441424650845,21,4.359663521169436e-05,0.00377001902993127,1,yang_harmfulness
31,12913,3467,0.007555296882186633,2,2.179831760584718e-06,0.003778738356973609,1,yang_harmfulness
15,3580,54,0.00011553108331099005,3476,0.0075749153680318955,0.003845223225671443,1,siren
30,7675,3371,0.0073460330331705,182,0.00039454954866583396,0.0038702912909181673,1,yang_harmfulness
31,11638,3497,0.007620691835004174,124,0.00026811930655192034,0.003944405570778047,1,yang_harmfulness
31,12591,3695,0.00805229852359995,28,5.8855457535787386e-05,0.004055576990567868,1,yang_harmfulness
13,7787,144,0.0003117159417636147,3610,0.007867012823950248,0.004089364382856931,1,siren
31,8112,3351,0.0073024363979588055,425,0.0009242486664879204,0.004113342532223363,1,yang_harmfulness
