variant,layer,neuron_index,entered_via,also_in,n_methods_at_N,selection_step,rank_siren,rank_yang_harmfulness,percentile_siren,percentile_yang_harmfulness,consensus_score
quota,0,989,siren,,1,1,1,274045,0.0,0.5973698149976785,0.29868490749883925
quota,31,1940,yang_harmfulness,,1,2,17864,1,0.03893833473932482,0.0,0.01946916736966241
quota,1,8738,siren,,1,3,2,277502,2.179831760584718e-06,0.6049054933940199,0.3024538366128902
quota,31,12913,yang_harmfulness,,1,4,3467,2,0.007555296882186633,2.179831760584718e-06,0.003778738356973609
quota,2,11075,siren,,1,5,3,139268,4.359663521169436e-06,0.3035786298013519,0.15179149473243655
quota,31,8154,yang_harmfulness,,1,6,5721,3,0.012468637670544588,4.359663521169436e-06,0.006236498667032879
quota,3,14176,siren,,1,7,4,32354,6.539495281754154e-06,0.07052409695019739,0.035265318222739574
quota,31,3409,yang_harmfulness,,1,8,2013,4,0.0043858215022964525,6.539495281754154e-06,0.002196180498789103
quota,4,7096,siren,,1,9,5,316112,8.719327042338873e-06,0.6890687976701958,0.3445387584986191
quota,31,12004,yang_harmfulness,,1,10,15091,5,0.032893661267223394,8.719327042338873e-06,0.016451190297132868
quota,5,4011,siren,,1,11,6,380245,1.089915880292359e-05,0.8288679479717755,0.41443942356528923
quota,31,9825,yang_harmfulness,,1,12,1173,6,0.0025547628234052896,1.089915880292359e-05,0.0012828309911041065
quota,6,9908,siren,,1,13,7,351953,1.3078990563508308e-05,0.7671961478013127,0.3836046133959381
quota,31,7450,yang_harmfulness,,1,14,12594,7,0.027450621361043356,1.3078990563508308e-05,0.013731850175803433
quota,7,5489,siren,,1,15,8,281165,1.5258822324093028e-05,0.6128902171330417,0.3064527379776829
quota,31,5311,yang_harmfulness,,1,16,20696,8,0.04511161828530074,1.5258822324093028e-05,0.022563438553812418
quota,8,11150,siren,,1,17,9,340221,1.7438654084677745e-05,0.7416223615861328,0.37081990012010874
quota,31,9692,yang_harmfulness,,1,18,4870,9,0.010613600842286993,1.7438654084677745e-05,0.005315519748185836
quota,9,743,siren,,1,19,10,147996,1.9618485845262463e-05,0.3226042014077353,0.1613119099467903
quota,31,1166,yang_harmfulness,,1,20,45710,10,0.09963792994456688,1.9618485845262463e-05,0.049828774215206074
quota,10,4789,siren,,1,21,11,8169,2.179831760584718e-05,0.017804865820455977,0.008913332069030912
quota,31,14201,yang_harmfulness,siren,2,22,56,11,0.00011989074683215949,2.179831760584718e-05,7.084453221900334e-05
quota,11,8111,siren,,1,23,12,31545,2.39781493664319e-05,0.06876061305588435,0.03439229560262539
quota,31,8937,yang_harmfulness,,1,24,13038,12,0.028418466662742968,2.39781493664319e-05,0.0142212224060547
quota,12,8197,siren,,1,25,13,53183,2.6157981127016616e-05,0.11592781269141647,0.05797698533627174
quota,31,9664,yang_harmfulness,,1,26,18974,13,0.041357947993573854,2.6157981127016616e-05,0.020692052987350436
quota,13,9215,siren,,1,27,14,283736,2.8337812887601334e-05,0.618494564589505,0.3092614512011963
quota,31,6432,yang_harmfulness,,1,28,14750,14,0.032150338636864007,2.8337812887601334e-05,0.016089338224875804
quota,14,2015,siren,,1,29,15,138099,3.0517644648186055e-05,0.3010304064732284,0.15053046205893827
quota,31,14276,yang_harmfulness,,1,30,4373,15,0.009530224457276387,3.0517644648186055e-05,0.004780371050962287
quota,15,9635,siren,,1,31,16,17217,3.269747640877077e-05,0.03752798359022651,0.01878034053331764
quota,31,14224,yang_harmfulness,,1,32,18794,16,0.04096557827666861,3.269747640877077e-05,0.02049913787653869
quota,16,6950,siren,,1,33,17,16240,3.487730816935549e-05,0.035398287960135236,0.017716582634152295
quota,31,5509,yang_harmfulness,,1,34,15544,17,0.03388112505476827,3.487730816935549e-05,0.016958001181468813
