variant,layer,neuron_index,rank_siren,rank_yang_harmfulness,percentile_siren,percentile_yang_harmfulness,consensus_score,n_methods_at_N,methods_that_selected_it_at_N,selection_rank
rank_consensus,31,14201,56,11,0.00011989074683215949,2.179831760584718e-05,7.084453221900334e-05,2,siren;yang_harmfulness,1
rank_consensus,31,12950,32,94,6.757478457812626e-05,0.00020272435373437878,0.00013514956915625253,2,siren;yang_harmfulness,2
rank_consensus,31,2207,271,45,0.0005885545753578739,9.59125974657276e-05,0.00034223358641180074,2,siren;yang_harmfulness,3
rank_consensus,31,9326,314,240,0.0006822873410630168,0.0005209797907797476,0.0006016335659213822,2,siren;yang_harmfulness,4
rank_consensus,30,6156,130,447,0.00028119829711542864,0.0009722049652207842,0.0006267016311681064,2,siren;yang_harmfulness,5
rank_consensus,30,3786,457,142,0.0009940032828266315,0.00030735627824244525,0.0006506797805345384,2,siren;yang_harmfulness,6
rank_consensus,29,254,663,131,0.0014430486255070834,0.00028337812887601336,0.0008632133771915483,1,yang_harmfulness,7
rank_consensus,30,3903,550,264,0.0011967276365610101,0.0005732957530337809,0.0008850116947973955,1,yang_harmfulness,8
rank_consensus,21,1832,196,641,0.00042506719331402,0.0013950923267742196,0.0009100797600441198,1,siren,9
rank_consensus,27,11330,268,571,0.0005820150800761197,0.0012425041035332893,0.0009122595918047045,1,siren,10
rank_consensus,31,8410,188,666,0.00040762853922934227,0.0014495881207888376,0.00092860833000909,1,siren,11
rank_consensus,30,13226,596,323,0.0012969998975479072,0.0007019058269082792,0.0009994528622280932,1,yang_harmfulness,12
rank_consensus,22,8514,123,808,0.0002659394747913356,0.0017591242307918675,0.0010125318527916015,1,siren,13
rank_consensus,14,3917,146,806,0.0003160756052847841,0.001754764567270698,0.001035420086277741,1,siren,14
rank_consensus,29,7349,391,569,0.00085013438662804,0.0012381444400121199,0.00104413941332008,1,siren,15
rank_consensus,31,14027,921,60,0.0020054452197379407,0.00012861007387449837,0.0010670276468062196,1,yang_harmfulness,16
rank_consensus,10,1084,57,928,0.00012207057859274422,0.0020207040420620334,0.0010713873103273888,1,siren,17
rank_consensus,30,12484,830,261,0.0018070805295247313,0.0005667562577520267,0.001186918393638379,1,yang_harmfulness,18
rank_consensus,31,507,845,250,0.001839778005933502,0.0005427781083855948,0.0011912780571595484,1,yang_harmfulness,19
rank_consensus,31,9825,1173,6,0.0025547628234052896,1.089915880292359e-05,0.0012828309911041065,1,yang_harmfulness,20
rank_consensus,31,5540,887,359,0.0019313309398780601,0.0007803797702893291,0.0013558553550836946,1,yang_harmfulness,21
rank_consensus,31,6575,962,380,0.002094818321921914,0.0008261562372616081,0.001460487279591761,1,yang_harmfulness,22
rank_consensus,30,12016,1147,218,0.0024980871976300867,0.0004730234920468838,0.0014855553448384852,1,yang_harmfulness,23
rank_consensus,31,2836,1033,332,0.002249586376923429,0.0007215243127535417,0.0014855553448384854,1,yang_harmfulness,24
rank_consensus,31,6109,1210,237,0.002635416598546924,0.0005144402954979935,0.0015749284470224587,1,yang_harmfulness,25
rank_consensus,27,2170,28,1431,5.8855457535787386e-05,0.003117159417636147,0.0015880074375859672,1,siren,26
rank_consensus,31,3557,228,1278,0.000494821809652731,0.002783645158266685,0.001639233483959708,1,siren,27
rank_consensus,31,11581,1427,133,0.003108440090593808,0.0002877377923971828,0.0016980889414954954,1,yang_harmfulness,28
