variant,layer,neuron_index,entered_via,also_in,n_methods_at_N,selection_step,rank_siren,rank_yang_harmfulness,rank_wang_robust,rank_zhao_topk,percentile_siren,percentile_yang_harmfulness,percentile_wang_robust,percentile_zhao_topk,consensus_score
quota,0,989,siren,wang_robust,2,1,1,274045,367,869,0.0,0.5973698149976785,0.0007978184243740068,0.0018920939681875352,0.15001493184756
quota,31,1940,yang_harmfulness,zhao_topk,2,2,17864,1,255561,256,0.03893833473932482,0.0,0.5570778047350305,0.0005558570989491031,0.14914299914332613
quota,1,2427,wang_robust,zhao_topk,2,3,89350,76507,1,2,0.19476578797648397,0.16677020867529443,0.0,2.179831760584718e-06,0.09038454412088474
quota,0,491,zhao_topk,wang_robust,2,4,68740,266682,5,1,0.14983945539083293,0.5813197137444932,8.719327042338873e-06,0.0,0.18279197211559212
quota,1,8738,siren,wang_robust,2,5,2,277502,156,34888,2.179831760584718e-06,0.6049054933940199,0.0003378739228906313,0.07604779063151906,0.17032333444504755
quota,31,12913,yang_harmfulness,wang_robust,2,6,3467,2,4,4900,0.007555296882186633,2.179831760584718e-06,6.539495281754154e-06,0.010678995795104534,0.004560753001083376
quota,1,198,wang_robust,zhao_topk,2,7,95170,112154,2,6,0.20745240882308705,0.24447467144485788,2.179831760584718e-06,1.089915880292359e-05,0.11298503981462711
quota,10,14295,zhao_topk,wang_robust,2,8,6923,155711,290,3,0.015088795446767419,0.3394216034406464,0.0006299713788089835,4.359663521169436e-06,0.08878618248243601
quota,2,11075,siren,,1,9,3,139268,1903,60702,4.359663521169436e-06,0.3035786298013519,0.004146040008632133,0.13231796769925297,0.11001174929318955
quota,31,8154,yang_harmfulness,,1,10,5721,3,442085,1832,0.012468637670544588,4.359663521169436e-06,0.9636687440463345,0.003991271953630619,0.2450332533335077
quota,28,2807,wang_robust,siren,2,11,29,3994,3,15788,6.103528929637211e-05,0.00870406822001478,4.359663521169436e-06,0.03441300400435095,0.010795616794295818
quota,31,12111,zhao_topk,,1,12,22334,375193,333323,4,0.04868218270913851,0.8178554379173015,0.7265858821016195,6.539495281754154e-06,0.3982825105558353
quota,3,14176,siren,,1,13,4,32354,458106,6982,6.539495281754154e-06,0.07052409695019739,0.9985918286826623,0.015217405520641917,0.27108496766219586
