variant,layer,neuron_index,rank_siren,rank_yang_harmfulness,rank_wang_robust,rank_zhao_topk,percentile_siren,percentile_yang_harmfulness,percentile_wang_robust,percentile_zhao_topk,consensus_score,n_methods_at_N,methods_that_selected_it_at_N,selection_rank
rank_consensus,23,2565,882,551,16,121,0.0019204317810751366,0.001198907468321595,3.269747640877077e-05,0.0002615798112701662,0.0008534041342689172,2,wang_robust;zhao_topk,1
rank_consensus,29,7349,391,569,12,730,0.00085013438662804,0.0012381444400121199,2.39781493664319e-05,0.0015890973534662596,0.0009253385823682128,2,siren;wang_robust,2
rank_consensus,30,12016,1147,218,116,582,0.0024980871976300867,0.0004730234920468838,0.0002506806524672426,0.0012664822528997211,0.0011220683987609836,2,yang_harmfulness;wang_robust,3
rank_consensus,31,9825,1173,6,45,1265,0.0025547628234052896,1.089915880292359e-05,9.59125974657276e-05,0.0027553073453790836,0.001354220481263256,2,yang_harmfulness;wang_robust,4
rank_consensus,31,2207,271,45,22,2735,0.0005885545753578739,9.59125974657276e-05,4.577646697227908e-05,0.005959660033438619,0.001672475918308625,3,siren;yang_harmfulness;wang_robust,5
rank_consensus,31,5540,887,359,56,2405,0.0019313309398780601,0.0007803797702893291,0.00011989074683215949,0.005240315552445662,0.0020179792523613025,2,yang_harmfulness;wang_robust,6
rank_consensus,30,7675,3371,182,17,345,0.0073460330331705,0.00039454954866583396,3.487730816935549e-05,0.000749862125641143,0.0021313305039117082,3,yang_harmfulness;wang_robust;zhao_topk,7
rank_consensus,31,3409,2013,4,48,1934,0.0043858215022964525,6.539495281754154e-06,0.00010245209274748175,0.00421361479321026,0.0021771069708839868,2,yang_harmfulness;wang_robust,8
rank_consensus,30,1562,2549,813,73,957,0.005554211325969861,0.001770023389594791,0.0001569478867620997,0.0020839191631189906,0.0023912754413614357,1,wang_robust,9
rank_consensus,30,6159,3638,348,89,401,0.00792804811324662,0.0007564016209228972,0.0001918251949314552,0.0008719327042338872,0.002437051908333715,3,yang_harmfulness;wang_robust;zhao_topk,10
rank_consensus,30,7410,2343,1130,103,906,0.00510516598328941,0.0024610300577001466,0.00022234283957964124,0.00197274774332917,0.002440321655974592,1,wang_robust,11
rank_consensus,31,11695,2964,102,149,1315,0.00645884150661252,0.00022016300781905652,0.0003226151005665383,0.0028642989334083198,0.002466479637101609,2,yang_harmfulness;wang_robust,12
rank_consensus,31,3166,2812,201,19,1583,0.006127507079003642,0.0004359663521169436,3.9236971690524926e-05,0.003448493845245024,0.0025128010620140335,2,yang_harmfulness;wang_robust,13
rank_consensus,30,12012,3293,883,57,443,0.007176006155844892,0.0019226116128357213,0.00012207057859274422,0.0009634856381784453,0.002546043496362951,2,wang_robust;zhao_topk,14
rank_consensus,31,7104,1982,584,341,1776,0.004318246717718326,0.0012708419164208905,0.0007411427985988041,0.0038692013750378745,0.002549858201943974,1,wang_robust,15
rank_consensus,31,8053,3176,126,53,1624,0.00692096583985648,0.00027247897007308977,0.00011335125155040534,0.0035378669474289974,0.0027111657522272434,2,yang_harmfulness;wang_robust,16
rank_consensus,31,10973,2497,95,245,2167,0.005440860074419456,0.0002049041854949635,0.0005318789495826712,0.0047215155934265,0.002724789700730898,2,yang_harmfulness;wang_robust,17
rank_consensus,31,14276,4373,15,42,661,0.009530224457276387,3.0517644648186055e-05,8.937310218397344e-05,0.001438688961985914,0.002772201041523615,2,yang_harmfulness;wang_robust,18
rank_consensus,31,13336,1140,2657,65,1447,0.002482828375305994,0.005789633156113011,0.00013950923267742196,0.0031520367258055025,0.0028910018724754823,1,wang_robust,19
rank_consensus,31,13995,1105,474,41,4031,0.002406534263685529,0.0010310604227565716,8.719327042338872e-05,0.008784721995156414,0.003077377488005476,1,wang_robust,20
rank_consensus,31,11638,3497,124,40,2116,0.007620691835004174,0.00026811930655192034,8.5013438662804e-05,0.0046103441736366785,0.003146042188463894,2,yang_harmfulness;wang_robust,21
rank_consensus,31,2756,4458,222,21,1138,0.009715510156926089,0.0004817428190892227,4.359663521169436e-05,0.0024784687117848244,0.0031798295807529573,2,yang_harmfulness;wang_robust,22
rank_consensus,30,1130,1818,68,3670,368,0.003960754308982433,0.00014604872795917612,0.007997802729585331,0.0007999982561345915,0.003226151005665383,2,yang_harmfulness;zhao_topk,23
rank_consensus,30,1171,5049,117,79,683,0.011003790727431656,0.0002528604842278273,0.000170026877325608,0.0014866452607187777,0.0032283308374259673,2,yang_harmfulness;wang_robust,24
rank_consensus,19,1399,312,3515,881,1332,0.0006779276775418473,0.0076599288066947,0.0019182519493145518,0.00290135607333826,0.00328936612672234,1,siren,25
rank_consensus,31,2954,1914,156,697,3355,0.004170018157998566,0.0003378739228906313,0.0015171629053669638,0.007311155725001145,0.003334052677814326,1,yang_harmfulness,26
rank_consensus,30,4306,2593,765,247,2629,0.005650123923435589,0.0016653914650867246,0.0005362386131038407,0.0057285978668166395,0.0033950879671106986,1,wang_robust,27
rank_consensus,31,12145,3380,719,135,2429,0.007365651519015763,0.0015651192040998275,0.00029209745591835223,0.005292631514699695,0.003628874923433409,1,wang_robust,28
rank_consensus,30,5526,5868,418,171,547,0.01278907293935054,0.0009089898441638274,0.00037057139929940207,0.001190188141279256,0.0038147055810232567,2,yang_harmfulness;wang_robust,29
rank_consensus,30,9138,5519,761,154,602,0.012028311654906474,0.0016566721380443857,0.00033351425936946187,0.0013100788881114155,0.0038321442351079344,1,wang_robust,30
rank_consensus,31,11581,1427,133,38,5575,0.003108440090593808,0.0002877377923971828,8.065377514163457e-05,0.012150382233499218,0.0039068034729079605,2,yang_harmfulness;wang_robust,31
rank_consensus,28,11293,1025,4185,186,1986,0.0022321477228387514,0.00912041608628646,0.00040326887570817283,0.0043269660447606655,0.004020699682398512,1,wang_robust,32
rank_consensus,31,14107,4150,381,75,2786,0.009044121974665996,0.0008283360690221928,0.00016130755028326914,0.00607083145322844,0.004026149261799975,2,yang_harmfulness;wang_robust,33
rank_consensus,31,3646,2367,152,110,4824,0.005157481945543443,0.00032915459584829243,0.00023760166190373426,0.010513328581300095,0.004059391696148891,2,yang_harmfulness;wang_robust,34
rank_consensus,31,6657,5748,52,52,1736,0.012527493128080375,0.00011117141978982062,0.00011117141978982062,0.003782008104614486,0.004132961018068626,2,yang_harmfulness;wang_robust,35
rank_consensus,30,13047,4235,2776,44,548,0.009229407674315696,0.006049033135622593,9.373276570514288e-05,0.0011923679730398407,0.004141135387170818,1,wang_robust,36
rank_consensus,30,4438,5445,386,289,1506,0.011867004104623205,0.0008392352278251164,0.0006277915470483988,0.0032806467996800005,0.00415366941979418,2,yang_harmfulness;wang_robust,37
rank_consensus,31,13801,5354,112,18,2444,0.011668639414409996,0.0002419613254249037,3.705713992994021e-05,0.005325328991108466,0.004318246717718326,2,yang_harmfulness;wang_robust,38
rank_consensus,15,6164,4232,3593,307,71,0.009222868179033943,0.007829955684020307,0.0006670285187389237,0.00015258822324093027,0.004468110151258526,2,wang_robust;zhao_topk,39
rank_consensus,30,5549,1099,1336,406,5421,0.0023934552731220203,0.0029100754003805987,0.0008828318630368108,0.011814688142369172,0.00450026266972715,1,wang_robust,40
rank_consensus,31,12913,3467,2,4,4900,0.007555296882186633,2.179831760584718e-06,6.539495281754154e-06,0.010678995795104534,0.004560753001083376,2,yang_harmfulness;wang_robust,41
rank_consensus,31,515,698,5080,72,2580,0.0015193427371275486,0.011071365512009783,0.00015476805500151499,0.005621786110547988,0.004591815603671709,1,wang_robust,42
rank_consensus,31,3811,6493,43,13,2192,0.01415146778971599,9.155293394455816e-05,2.6157981127016616e-05,0.0047760113874411175,0.004761297523057171,2,yang_harmfulness;wang_robust,43
rank_consensus,30,5948,8135,377,35,212,0.017730751540596095,0.000819616741979854,7.411427985988042e-05,0.0004599445014833755,0.004771106765979802,3,yang_harmfulness;wang_robust;zhao_topk,44
rank_consensus,30,12446,4642,74,112,4268,0.010116599200873676,0.00015912771852268442,0.0002419613254249037,0.009301342122414992,0.004954757591809064,2,yang_harmfulness;wang_robust,45
rank_consensus,31,10492,2461,288,4850,1503,0.005362386131038406,0.0006256117152878141,0.010570004207075299,0.0032741073043982467,0.0049580273394499415,1,yang_harmfulness,46
