selection,N,size,candidate_pool_size,overlap_siren,pct_from_siren,jaccard_siren,overlap_yang_harmfulness,pct_from_yang_harmfulness,jaccard_yang_harmfulness,overlap_yang_refusal,pct_from_yang_refusal,jaccard_yang_refusal,overlap_zhao_topk,pct_from_zhao_topk,jaccard_zhao_topk,overlap_zhao_relative_epsilon,pct_from_zhao_relative_epsilon,jaccard_zhao_relative_epsilon,overlap_wang,pct_from_wang,jaccard_wang,overlap_wang_robust,pct_from_wang_robust,jaccard_wang_robust,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,note,jaccard_vs_quota,overlap_with_quota,jaccard_vs_consensus,overlap_with_consensus,skipped_duplicates,exhausted_methods,contributed_siren,contributed_yang_harmfulness,contributed_yang_refusal,contributed_zhao_topk,contributed_zhao_relative_epsilon,contributed_wang,contributed_wang_robust,in_1_topN_sets,in_2_topN_sets,in_3_topN_sets,in_4_topN_sets,in_5_topN_sets,in_6_topN_sets,in_7_topN_sets
candidate_pool,9175,38175,38175.0,9175.0,24.03405370006549,0.24034053700065489,9175.0,24.03405370006549,0.24034053700065489,9175.0,24.03405370006549,0.24034053700065489,9175.0,24.03405370006549,0.24034053700065489,9175.0,24.03405370006549,0.24034053700065489,9175.0,24.03405370006549,0.24034053700065489,9175.0,24.03405370006549,0.24034053700065489,1486.0,821.0,836.0,1165.0,682.0,1316.0,642.0,1441.0,1009.0,1111.0,770.0,1117.0,1691.0,1134.0,1050.0,1060.0,996.0,860.0,707.0,645.0,610.0,678.0,557.0,618.0,642.0,737.0,1469.0,1079.0,1333.0,1911.0,3288.0,4714.0,union of the existing top-N safety-neuron files,,,,,,,,,,,,,,,,,,,,
rank_consensus,9175,9175,38175.0,2083.0,22.70299727520436,0.12805065469969878,2377.0,25.907356948228884,0.14881362298879358,2274.0,24.78474114441417,0.1414530977855188,2818.0,30.713896457765667,0.18143188256502704,2611.0,28.457765667574932,0.16589364000254145,4646.0,50.63760217983651,0.3390251021599533,4653.0,50.71389645776567,0.3397094254216252,11.0,3.0,121.0,203.0,168.0,252.0,149.0,248.0,244.0,325.0,239.0,376.0,492.0,367.0,344.0,306.0,252.0,194.0,187.0,129.0,164.0,196.0,123.0,159.0,170.0,255.0,288.0,386.0,384.0,637.0,1002.0,801.0,,0.22137912673056442,3326.0,,,,,,,,,,,,,,,,,,
quota,9175,9175,38175.0,3288.0,35.83651226158038,0.21829770282830965,2975.0,32.42506811989101,0.19349593495934958,2932.0,31.95640326975477,0.19016733687897264,4055.0,44.19618528610354,0.2836656173487233,3061.0,33.36239782016349,0.20020930080449997,3144.0,34.26702997275204,0.20676048928054716,3648.0,39.76021798365122,0.24812950618963406,429.0,311.0,301.0,299.0,166.0,307.0,131.0,241.0,186.0,197.0,133.0,200.0,368.0,163.0,161.0,155.0,168.0,157.0,157.0,140.0,136.0,152.0,114.0,108.0,124.0,158.0,290.0,192.0,296.0,462.0,868.0,1905.0,,,,0.22137912673056442,3326.0,6398.0,,1311.0,1311.0,1311.0,1311.0,1311.0,1310.0,1310.0,,,,,,,
random,9175,9175,38175.0,188.0,2.0490463215258856,0.010351282898359212,195.0,2.1253405994550407,0.010740842743045993,191.0,2.0817438692098094,0.010518200341428493,205.0,2.23433242506812,0.011297878203361807,194.0,2.114441416893733,0.010685172945582728,182.0,1.9836512261580381,0.010017613386173492,192.0,2.092643051771117,0.010573851745786981,285.0,291.0,297.0,272.0,278.0,316.0,297.0,273.0,276.0,285.0,295.0,290.0,299.0,284.0,267.0,275.0,296.0,256.0,277.0,277.0,289.0,275.0,271.0,290.0,283.0,299.0,288.0,316.0,310.0,288.0,284.0,296.0,Repo B random_{n} with seed 1000,,,,,,,,,,,,,,,,,,,,
siren,9175,9175,38175.0,9175.0,100.0,1.0,683.0,7.444141689373297,0.03865964793117111,662.0,7.215258855585831,0.037426503844414295,999.0,10.888283378746594,0.05757593222292663,761.0,8.294277929155314,0.04326567741201887,2926.0,31.891008174386922,0.18970435684647302,3034.0,33.06811989100817,0.19809349699660486,1049.0,199.0,338.0,668.0,109.0,922.0,149.0,166.0,187.0,201.0,190.0,184.0,185.0,197.0,198.0,191.0,194.0,188.0,189.0,182.0,166.0,206.0,175.0,207.0,193.0,206.0,951.0,202.0,207.0,209.0,245.0,322.0,,,,,,,,,,,,,,,,,,,,,
yang_harmfulness,9175,9175,38175.0,683.0,7.444141689373297,0.03865964793117111,9175.0,100.0,1.0,3953.0,43.084468664850135,0.2745710911995555,1617.0,17.623978201634877,0.09663539114324987,980.0,10.681198910081743,0.05641911341393207,685.0,7.4659400544959125,0.03877724313614492,962.0,10.485013623978201,0.05532551184725098,0.0,1.0,5.0,4.0,10.0,12.0,9.0,10.0,12.0,38.0,92.0,144.0,187.0,281.0,240.0,282.0,242.0,183.0,108.0,120.0,101.0,104.0,109.0,115.0,113.0,139.0,194.0,289.0,403.0,733.0,1677.0,3218.0,,,,,,,,,,,,,,,,,,,,,
yang_refusal,9175,9175,38175.0,662.0,7.215258855585831,0.037426503844414295,3953.0,43.084468664850135,0.2745710911995555,9175.0,100.0,1.0,1527.0,16.643051771117165,0.09076859061998455,947.0,10.321525885558582,0.054415905303683273,622.0,6.779291553133515,0.035085740072202165,900.0,9.809264305177111,0.05157593123209169,0.0,0.0,5.0,7.0,7.0,13.0,7.0,16.0,21.0,52.0,75.0,139.0,191.0,288.0,274.0,267.0,276.0,208.0,121.0,108.0,108.0,124.0,108.0,103.0,124.0,172.0,205.0,305.0,452.0,735.0,1646.0,3018.0,,,,,,,,,,,,,,,,,,,,,
zhao_topk,9175,9175,38175.0,999.0,10.888283378746594,0.05757593222292663,1617.0,17.623978201634877,0.09663539114324987,1527.0,16.643051771117165,0.09076859061998455,9175.0,100.0,1.0,5403.0,58.88828337874659,0.4173167529157334,1278.0,13.9291553133515,0.07485941893158388,1503.0,16.381471389645778,0.08921469697869057,379.0,340.0,354.0,248.0,283.0,233.0,227.0,214.0,220.0,189.0,172.0,238.0,310.0,224.0,243.0,213.0,202.0,189.0,163.0,162.0,137.0,164.0,126.0,109.0,109.0,143.0,240.0,336.0,502.0,702.0,910.0,894.0,,,,,,,,,,,,,,,,,,,,,
zhao_relative_epsilon,9175,9175,38175.0,761.0,8.294277929155314,0.04326567741201887,980.0,10.681198910081743,0.05641911341393207,947.0,10.321525885558582,0.054415905303683273,5403.0,58.88828337874659,0.4173167529157334,9175.0,100.0,1.0,1143.0,12.457765667574932,0.06642645434997385,1145.0,12.479564032697548,0.06655042138913107,9.0,2.0,209.0,419.0,368.0,301.0,159.0,1097.0,611.0,677.0,244.0,604.0,1213.0,270.0,154.0,119.0,71.0,78.0,51.0,20.0,47.0,81.0,36.0,24.0,26.0,166.0,42.0,261.0,102.0,626.0,1017.0,71.0,,,,,,,,,,,,,,,,,,,,,
wang,9175,9175,38175.0,2926.0,31.891008174386922,0.18970435684647302,685.0,7.4659400544959125,0.03877724313614492,622.0,6.779291553133515,0.035085740072202165,1278.0,13.9291553133515,0.07485941893158388,1143.0,12.457765667574932,0.06642645434997385,9175.0,100.0,1.0,7568.0,82.4850136239782,0.7019105917269524,254.0,3.0,278.0,358.0,292.0,337.0,357.0,343.0,358.0,368.0,339.0,335.0,341.0,378.0,357.0,322.0,328.0,321.0,313.0,259.0,267.0,280.0,220.0,266.0,289.0,284.0,207.0,307.0,170.0,186.0,236.0,222.0,,,,,,,,,,,,,,,,,,,,,
