variant,layer,neuron_index,flat_index,seed
random,0,17,17,1000
random,0,90,90,1000
random,0,103,103,1000
random,0,150,150,1000
random,0,214,214,1000
random,0,221,221,1000
random,0,254,254,1000
random,0,319,319,1000
random,0,322,322,1000
random,0,519,519,1000
random,0,524,524,1000
random,0,782,782,1000
random,0,793,793,1000
random,0,832,832,1000
random,0,898,898,1000
random,0,902,902,1000
random,0,947,947,1000
random,0,976,976,1000
random,0,1014,1014,1000
random,0,1103,1103,1000
random,0,1133,1133,1000
random,0,1210,1210,1000
random,0,1327,1327,1000
random,0,1378,1378,1000
random,0,1552,1552,1000
random,0,1619,1619,1000
random,0,1628,1628,1000
random,0,1696,1696,1000
random,0,1741,1741,1000
random,0,1775,1775,1000
random,0,1796,1796,1000
random,0,1872,1872,1000
random,0,1946,1946,1000
random,0,1967,1967,1000
random,0,1981,1981,1000
random,0,2039,2039,1000
random,0,2046,2046,1000
random,0,2049,2049,1000
random,0,2056,2056,1000
random,0,2260,2260,1000
random,0,2309,2309,1000
random,0,2311,2311,1000
random,0,2362,2362,1000
random,0,2461,2461,1000
random,0,2477,2477,1000
random,0,2535,2535,1000
random,0,2582,2582,1000
random,0,2583,2583,1000
random,0,2621,2621,1000
random,0,2705,2705,1000
random,0,2715,2715,1000
random,0,2823,2823,1000
random,0,2831,2831,1000
random,0,2855,2855,1000
random,0,2884,2884,1000
random,0,2934,2934,1000
random,0,2994,2994,1000
random,0,3085,3085,1000
random,0,3090,3090,1000
random,0,3252,3252,1000
random,0,3304,3304,1000
random,0,3366,3366,1000
random,0,3391,3391,1000
random,0,3450,3450,1000
random,0,3480,3480,1000
random,0,3494,3494,1000
random,0,3653,3653,1000
random,0,3664,3664,1000
random,0,3722,3722,1000
random,0,3867,3867,1000
random,0,3877,3877,1000
random,0,3888,3888,1000
random,0,3978,3978,1000
random,0,4011,4011,1000
random,0,4070,4070,1000
random,0,4272,4272,1000
random,0,4279,4279,1000
random,0,4300,4300,1000
random,0,4419,4419,1000
random,0,4455,4455,1000
random,0,4519,4519,1000
random,0,4524,4524,1000
random,0,4566,4566,1000
random,0,4638,4638,1000
random,0,4643,4643,1000
random,0,4708,4708,1000
random,0,4828,4828,1000
random,0,4883,4883,1000
random,0,4946,4946,1000
random,0,4963,4963,1000
random,0,4979,4979,1000
random,0,4980,4980,1000
random,0,5010,5010,1000
random,0,5017,5017,1000
random,0,5046,5046,1000
random,0,5120,5120,1000
random,0,5185,5185,1000
random,0,5212,5212,1000
random,0,5222,5222,1000
random,0,5251,5251,1000
random,0,5255,5255,1000
random,0,5256,5256,1000
random,0,5257,5257,1000
random,0,5263,5263,1000
random,0,5359,5359,1000
random,0,5391,5391,1000
random,0,5584,5584,1000
random,0,5693,5693,1000
random,0,5710,5710,1000
random,0,5816,5816,1000
random,0,5823,5823,1000
random,0,5840,5840,1000
random,0,5869,5869,1000
random,0,6008,6008,1000
random,0,6019,6019,1000
random,0,6040,6040,1000
random,0,6077,6077,1000
random,0,6284,6284,1000
random,0,6335,6335,1000
random,0,6371,6371,1000
random,0,6403,6403,1000
random,0,6504,6504,1000
random,0,6511,6511,1000
random,0,6570,6570,1000
random,0,6585,6585,1000
random,0,6653,6653,1000
random,0,6707,6707,1000
random,0,6769,6769,1000
random,0,6829,6829,1000
random,0,6951,6951,1000
random,0,6977,6977,1000
random,0,7062,7062,1000
random,0,7180,7180,1000
random,0,7190,7190,1000
random,0,7257,7257,1000
random,0,7262,7262,1000
random,0,7300,7300,1000
random,0,7312,7312,1000
random,0,7330,7330,1000
random,0,7380,7380,1000
random,0,7391,7391,1000
random,0,7417,7417,1000
random,0,7536,7536,1000
random,0,7558,7558,1000
random,0,7559,7559,1000
random,0,7653,7653,1000
random,0,7704,7704,1000
random,0,7749,7749,1000
random,0,7779,7779,1000
random,0,7831,7831,1000
random,0,7840,7840,1000
random,0,7864,7864,1000
random,0,7952,7952,1000
random,0,7971,7971,1000
random,0,7974,7974,1000
random,0,7997,7997,1000
random,0,8028,8028,1000
random,0,8090,8090,1000
random,0,8098,8098,1000
random,0,8106,8106,1000
random,0,8169,8169,1000
random,0,8174,8174,1000
random,0,8289,8289,1000
random,0,8291,8291,1000
random,0,8309,8309,1000
random,0,8418,8418,1000
random,0,8461,8461,1000
random,0,8520,8520,1000
random,0,8522,8522,1000
random,0,8576,8576,1000
random,0,8581,8581,1000
random,0,8637,8637,1000
random,0,8671,8671,1000
random,0,8683,8683,1000
random,0,8720,8720,1000
random,0,8748,8748,1000
random,0,8784,8784,1000
random,0,8822,8822,1000
random,0,8839,8839,1000
random,0,8999,8999,1000
random,0,9026,9026,1000
random,0,9059,9059,1000
random,0,9070,9070,1000
random,0,9152,9152,1000
random,0,9154,9154,1000
random,0,9240,9240,1000
random,0,9357,9357,1000
random,0,9452,9452,1000
random,0,9595,9595,1000
random,0,9628,9628,1000
random,0,9743,9743,1000
random,0,9757,9757,1000
random,0,9765,9765,1000
random,0,9781,9781,1000
random,0,9851,9851,1000
random,0,9856,9856,1000
random,0,9857,9857,1000
random,0,10051,10051,1000
random,0,10098,10098,1000
random,0,10107,10107,1000
random,0,10133,10133,1000
random,0,10134,10134,1000
random,0,10257,10257,1000
random,0,10364,10364,1000
random,0,10403,10403,1000
random,0,10421,10421,1000
random,0,10480,10480,1000
random,0,10500,10500,1000
random,0,10514,10514,1000
random,0,10582,10582,1000
random,0,10600,10600,1000
random,0,10622,10622,1000
random,0,10632,10632,1000
random,0,10762,10762,1000
random,0,10914,10914,1000
random,0,10944,10944,1000
random,0,11202,11202,1000
random,0,11328,11328,1000
random,0,11351,11351,1000
random,0,11371,11371,1000
random,0,11444,11444,1000
random,0,11549,11549,1000
random,0,11571,11571,1000
random,0,11667,11667,1000
random,0,11707,11707,1000
random,0,11710,11710,1000
random,0,11813,11813,1000
random,0,11897,11897,1000
random,0,11923,11923,1000
random,0,12088,12088,1000
random,0,12115,12115,1000
random,0,12130,12130,1000
random,0,12136,12136,1000
random,0,12153,12153,1000
random,0,12173,12173,1000
random,0,12198,12198,1000
random,0,12199,12199,1000
random,0,12245,12245,1000
random,0,12268,12268,1000
random,0,12290,12290,1000
random,0,12362,12362,1000
random,0,12400,12400,1000
random,0,12432,12432,1000
random,0,12435,12435,1000
random,0,12442,12442,1000
random,0,12492,12492,1000
random,0,12538,12538,1000
random,0,12577,12577,1000
random,0,12641,12641,1000
random,0,12682,12682,1000
random,0,12785,12785,1000
random,0,12791,12791,1000
random,0,12858,12858,1000
random,0,12880,12880,1000
random,0,12904,12904,1000
random,0,12933,12933,1000
random,0,12965,12965,1000
random,0,13044,13044,1000
random,0,13108,13108,1000
random,0,13141,13141,1000
random,0,13205,13205,1000
random,0,13219,13219,1000
random,0,13238,13238,1000
random,0,13292,13292,1000
random,0,13297,13297,1000
random,0,13327,13327,1000
random,0,13339,13339,1000
random,0,13427,13427,1000
random,0,13569,13569,1000
random,0,13577,13577,1000
random,0,13583,13583,1000
random,0,13598,13598,1000
random,0,13642,13642,1000
random,0,13689,13689,1000
random,0,13720,13720,1000
random,0,13832,13832,1000
random,0,13907,13907,1000
random,0,13920,13920,1000
random,0,13995,13995,1000
random,0,14108,14108,1000
random,0,14141,14141,1000
random,0,14153,14153,1000
random,0,14225,14225,1000
random,0,14239,14239,1000
random,0,14252,14252,1000
random,1,36,14372,1000
random,1,54,14390,1000
random,1,170,14506,1000
random,1,314,14650,1000
random,1,326,14662,1000
random,1,360,14696,1000
random,1,363,14699,1000
random,1,366,14702,1000
random,1,384,14720,1000
random,1,457,14793,1000
random,1,561,14897,1000
random,1,602,14938,1000
random,1,653,14989,1000
random,1,737,15073,1000
random,1,835,15171,1000
random,1,839,15175,1000
random,1,923,15259,1000
random,1,1001,15337,1000
random,1,1154,15490,1000
random,1,1226,15562,1000
random,1,1257,15593,1000
random,1,1411,15747,1000
random,1,1412,15748,1000
random,1,1421,15757,1000
random,1,1475,15811,1000
random,1,1476,15812,1000
random,1,1531,15867,1000
random,1,1560,15896,1000
random,1,1586,15922,1000
random,1,1728,16064,1000
random,1,1746,16082,1000
random,1,1751,16087,1000
random,1,1902,16238,1000
random,1,1978,16314,1000
random,1,2078,16414,1000
random,1,2122,16458,1000
random,1,2138,16474,1000
random,1,2142,16478,1000
random,1,2145,16481,1000
random,1,2329,16665,1000
random,1,2365,16701,1000
random,1,2380,16716,1000
random,1,2381,16717,1000
random,1,2406,16742,1000
random,1,2487,16823,1000
random,1,2540,16876,1000
random,1,2565,16901,1000
random,1,2569,16905,1000
random,1,2640,16976,1000
random,1,2654,16990,1000
random,1,2662,16998,1000
random,1,2697,17033,1000
random,1,2734,17070,1000
random,1,2791,17127,1000
random,1,2815,17151,1000
random,1,2828,17164,1000
random,1,2839,17175,1000
random,1,2984,17320,1000
random,1,3058,17394,1000
random,1,3113,17449,1000
random,1,3214,17550,1000
random,1,3235,17571,1000
random,1,3301,17637,1000
random,1,3314,17650,1000
random,1,3358,17694,1000
random,1,3390,17726,1000
random,1,3424,17760,1000
random,1,3449,17785,1000
random,1,3565,17901,1000
random,1,3592,17928,1000
random,1,3619,17955,1000
random,1,3633,17969,1000
random,1,3653,17989,1000
random,1,3693,18029,1000
random,1,3724,18060,1000
random,1,3772,18108,1000
random,1,3825,18161,1000
random,1,3851,18187,1000
random,1,3964,18300,1000
random,1,4085,18421,1000
random,1,4123,18459,1000
random,1,4210,18546,1000
random,1,4331,18667,1000
random,1,4355,18691,1000
random,1,4376,18712,1000
random,1,4403,18739,1000
random,1,4455,18791,1000
random,1,4462,18798,1000
random,1,4551,18887,1000
random,1,4580,18916,1000
random,1,4608,18944,1000
random,1,4621,18957,1000
random,1,4849,19185,1000
random,1,4858,19194,1000
random,1,4931,19267,1000
random,1,4973,19309,1000
random,1,5028,19364,1000
random,1,5031,19367,1000
random,1,5085,19421,1000
random,1,5098,19434,1000
random,1,5103,19439,1000
random,1,5105,19441,1000
random,1,5365,19701,1000
random,1,5456,19792,1000
random,1,5468,19804,1000
random,1,5528,19864,1000
random,1,5731,20067,1000
random,1,5791,20127,1000
random,1,5792,20128,1000
random,1,5794,20130,1000
random,1,5802,20138,1000
random,1,5823,20159,1000
random,1,5919,20255,1000
random,1,5937,20273,1000
random,1,5980,20316,1000
random,1,6070,20406,1000
random,1,6074,20410,1000
random,1,6078,20414,1000
random,1,6173,20509,1000
random,1,6253,20589,1000
random,1,6318,20654,1000
random,1,6429,20765,1000
random,1,6446,20782,1000
random,1,6595,20931,1000
random,1,6637,20973,1000
random,1,6638,20974,1000
random,1,6680,21016,1000
random,1,6685,21021,1000
random,1,6686,21022,1000
random,1,6689,21025,1000
random,1,6742,21078,1000
random,1,6746,21082,1000
random,1,6774,21110,1000
random,1,6878,21214,1000
random,1,6932,21268,1000
random,1,6952,21288,1000
random,1,6956,21292,1000
random,1,7014,21350,1000
random,1,7022,21358,1000
random,1,7046,21382,1000
random,1,7061,21397,1000
random,1,7073,21409,1000
random,1,7096,21432,1000
random,1,7129,21465,1000
random,1,7176,21512,1000
random,1,7185,21521,1000
random,1,7204,21540,1000
random,1,7215,21551,1000
random,1,7311,21647,1000
random,1,7337,21673,1000
random,1,7398,21734,1000
random,1,7467,21803,1000
random,1,7476,21812,1000
random,1,7480,21816,1000
random,1,7613,21949,1000
random,1,7623,21959,1000
random,1,7683,22019,1000
random,1,7693,22029,1000
random,1,7760,22096,1000
random,1,7765,22101,1000
random,1,7772,22108,1000
random,1,7784,22120,1000
random,1,7852,22188,1000
random,1,7872,22208,1000
random,1,7894,22230,1000
random,1,7905,22241,1000
random,1,7910,22246,1000
random,1,7982,22318,1000
random,1,8004,22340,1000
random,1,8038,22374,1000
random,1,8055,22391,1000
random,1,8061,22397,1000
random,1,8076,22412,1000
random,1,8193,22529,1000
random,1,8196,22532,1000
random,1,8259,22595,1000
random,1,8450,22786,1000
random,1,8473,22809,1000
random,1,8555,22891,1000
random,1,8638,22974,1000
random,1,8676,23012,1000
random,1,8713,23049,1000
random,1,8755,23091,1000
random,1,8772,23108,1000
random,1,8829,23165,1000
random,1,8883,23219,1000
random,1,8912,23248,1000
random,1,8995,23331,1000
random,1,9017,23353,1000
random,1,9069,23405,1000
random,1,9210,23546,1000
random,1,9220,23556,1000
random,1,9417,23753,1000
random,1,9420,23756,1000
random,1,9488,23824,1000
random,1,9549,23885,1000
random,1,9574,23910,1000
random,1,9606,23942,1000
random,1,9616,23952,1000
random,1,9836,24172,1000
random,1,9900,24236,1000
random,1,9961,24297,1000
random,1,9967,24303,1000
random,1,9987,24323,1000
random,1,10021,24357,1000
random,1,10100,24436,1000
random,1,10115,24451,1000
random,1,10145,24481,1000
random,1,10169,24505,1000
random,1,10406,24742,1000
random,1,10412,24748,1000
random,1,10530,24866,1000
random,1,10557,24893,1000
random,1,10603,24939,1000
random,1,10617,24953,1000
random,1,10627,24963,1000
random,1,10638,24974,1000
random,1,10692,25028,1000
random,1,10842,25178,1000
random,1,10844,25180,1000
random,1,10890,25226,1000
random,1,10926,25262,1000
random,1,10932,25268,1000
random,1,10946,25282,1000
random,1,10998,25334,1000
random,1,11053,25389,1000
random,1,11113,25449,1000
random,1,11144,25480,1000
random,1,11150,25486,1000
random,1,11182,25518,1000
random,1,11184,25520,1000
random,1,11235,25571,1000
random,1,11280,25616,1000
random,1,11456,25792,1000
random,1,11494,25830,1000
random,1,11504,25840,1000
random,1,11553,25889,1000
random,1,11601,25937,1000
random,1,11716,26052,1000
random,1,11775,26111,1000
random,1,11801,26137,1000
random,1,11834,26170,1000
random,1,11925,26261,1000
random,1,11941,26277,1000
random,1,11953,26289,1000
random,1,11980,26316,1000
random,1,11996,26332,1000
random,1,12013,26349,1000
random,1,12019,26355,1000
random,1,12032,26368,1000
random,1,12049,26385,1000
random,1,12066,26402,1000
random,1,12176,26512,1000
random,1,12269,26605,1000
random,1,12465,26801,1000
random,1,12504,26840,1000
random,1,12559,26895,1000
random,1,12665,27001,1000
random,1,12670,27006,1000
random,1,12737,27073,1000
random,1,12755,27091,1000
random,1,12795,27131,1000
random,1,12864,27200,1000
random,1,12867,27203,1000
random,1,12982,27318,1000
random,1,12984,27320,1000
random,1,12985,27321,1000
random,1,12996,27332,1000
random,1,13220,27556,1000
random,1,13318,27654,1000
random,1,13320,27656,1000
random,1,13333,27669,1000
random,1,13372,27708,1000
random,1,13458,27794,1000
random,1,13538,27874,1000
random,1,13558,27894,1000
random,1,13627,27963,1000
random,1,13634,27970,1000
random,1,13745,28081,1000
random,1,13871,28207,1000
random,1,13930,28266,1000
random,1,13964,28300,1000
random,1,13972,28308,1000
random,1,14054,28390,1000
random,1,14063,28399,1000
random,1,14161,28497,1000
random,1,14187,28523,1000
random,1,14192,28528,1000
random,1,14247,28583,1000
random,1,14253,28589,1000
random,1,14333,28669,1000
random,2,15,28687,1000
random,2,147,28819,1000
random,2,150,28822,1000
random,2,159,28831,1000
random,2,219,28891,1000
random,2,251,28923,1000
random,2,380,29052,1000
random,2,384,29056,1000
random,2,454,29126,1000
random,2,535,29207,1000
random,2,542,29214,1000
random,2,626,29298,1000
random,2,673,29345,1000
random,2,708,29380,1000
random,2,730,29402,1000
random,2,749,29421,1000
random,2,776,29448,1000
random,2,807,29479,1000
random,2,933,29605,1000
random,2,1055,29727,1000
random,2,1065,29737,1000
random,2,1086,29758,1000
random,2,1165,29837,1000
random,2,1260,29932,1000
random,2,1326,29998,1000
random,2,1386,30058,1000
random,2,1392,30064,1000
random,2,1436,30108,1000
random,2,1508,30180,1000
random,2,1562,30234,1000
random,2,1588,30260,1000
random,2,1594,30266,1000
random,2,1687,30359,1000
random,2,1698,30370,1000
random,2,1721,30393,1000
random,2,1840,30512,1000
random,2,1981,30653,1000
random,2,2044,30716,1000
random,2,2056,30728,1000
random,2,2160,30832,1000
random,2,2279,30951,1000
random,2,2281,30953,1000
random,2,2322,30994,1000
random,2,2327,30999,1000
random,2,2382,31054,1000
random,2,2438,31110,1000
random,2,2475,31147,1000
random,2,2479,31151,1000
random,2,2499,31171,1000
random,2,2501,31173,1000
random,2,2589,31261,1000
random,2,2677,31349,1000
random,2,2742,31414,1000
random,2,2814,31486,1000
random,2,2850,31522,1000
random,2,2866,31538,1000
random,2,2868,31540,1000
random,2,3062,31734,1000
random,2,3064,31736,1000
random,2,3186,31858,1000
random,2,3289,31961,1000
random,2,3351,32023,1000
random,2,3366,32038,1000
random,2,3392,32064,1000
random,2,3432,32104,1000
random,2,3485,32157,1000
random,2,3569,32241,1000
random,2,3750,32422,1000
random,2,3755,32427,1000
random,2,3773,32445,1000
random,2,3802,32474,1000
random,2,3838,32510,1000
random,2,3896,32568,1000
random,2,3917,32589,1000
random,2,3968,32640,1000
random,2,3972,32644,1000
random,2,4008,32680,1000
random,2,4276,32948,1000
random,2,4538,33210,1000
random,2,4555,33227,1000
random,2,4576,33248,1000
random,2,4589,33261,1000
random,2,4595,33267,1000
random,2,4603,33275,1000
random,2,4633,33305,1000
random,2,4650,33322,1000
random,2,4694,33366,1000
random,2,4761,33433,1000
random,2,4832,33504,1000
random,2,4872,33544,1000
random,2,4896,33568,1000
random,2,5047,33719,1000
random,2,5156,33828,1000
random,2,5161,33833,1000
random,2,5180,33852,1000
random,2,5265,33937,1000
random,2,5292,33964,1000
random,2,5305,33977,1000
random,2,5411,34083,1000
random,2,5412,34084,1000
random,2,5465,34137,1000
random,2,5502,34174,1000
random,2,5503,34175,1000
random,2,5534,34206,1000
random,2,5552,34224,1000
random,2,5725,34397,1000
random,2,5763,34435,1000
random,2,5811,34483,1000
random,2,5921,34593,1000
random,2,5999,34671,1000
random,2,6082,34754,1000
random,2,6083,34755,1000
random,2,6144,34816,1000
random,2,6178,34850,1000
random,2,6185,34857,1000
random,2,6228,34900,1000
random,2,6288,34960,1000
random,2,6328,35000,1000
random,2,6374,35046,1000
random,2,6415,35087,1000
random,2,6420,35092,1000
random,2,6421,35093,1000
random,2,6435,35107,1000
random,2,6471,35143,1000
random,2,6482,35154,1000
random,2,6513,35185,1000
random,2,6542,35214,1000
random,2,6776,35448,1000
random,2,6837,35509,1000
random,2,6938,35610,1000
random,2,6945,35617,1000
random,2,7056,35728,1000
random,2,7067,35739,1000
random,2,7072,35744,1000
random,2,7087,35759,1000
random,2,7100,35772,1000
random,2,7122,35794,1000
random,2,7128,35800,1000
random,2,7159,35831,1000
random,2,7201,35873,1000
random,2,7230,35902,1000
random,2,7315,35987,1000
random,2,7343,36015,1000
random,2,7360,36032,1000
random,2,7373,36045,1000
random,2,7505,36177,1000
random,2,7558,36230,1000
random,2,7588,36260,1000
random,2,7654,36326,1000
random,2,7682,36354,1000
random,2,7866,36538,1000
random,2,7885,36557,1000
random,2,7943,36615,1000
random,2,7977,36649,1000
random,2,8023,36695,1000
random,2,8057,36729,1000
random,2,8066,36738,1000
random,2,8119,36791,1000
random,2,8124,36796,1000
random,2,8225,36897,1000
random,2,8248,36920,1000
random,2,8309,36981,1000
random,2,8365,37037,1000
random,2,8428,37100,1000
random,2,8438,37110,1000
random,2,8449,37121,1000
random,2,8471,37143,1000
random,2,8476,37148,1000
random,2,8592,37264,1000
random,2,8629,37301,1000
random,2,8759,37431,1000
random,2,8780,37452,1000
random,2,8801,37473,1000
random,2,8825,37497,1000
random,2,8844,37516,1000
random,2,8861,37533,1000
random,2,8906,37578,1000
random,2,8913,37585,1000
random,2,9022,37694,1000
random,2,9059,37731,1000
random,2,9061,37733,1000
random,2,9096,37768,1000
random,2,9320,37992,1000
random,2,9338,38010,1000
random,2,9363,38035,1000
random,2,9370,38042,1000
random,2,9375,38047,1000
random,2,9452,38124,1000
random,2,9460,38132,1000
random,2,9561,38233,1000
random,2,9628,38300,1000
random,2,9698,38370,1000
random,2,9709,38381,1000
random,2,9752,38424,1000
random,2,9758,38430,1000
random,2,9762,38434,1000
random,2,9807,38479,1000
random,2,9866,38538,1000
random,2,9899,38571,1000
random,2,9947,38619,1000
random,2,9980,38652,1000
random,2,10066,38738,1000
random,2,10087,38759,1000
random,2,10123,38795,1000
random,2,10175,38847,1000
random,2,10193,38865,1000
random,2,10206,38878,1000
random,2,10228,38900,1000
random,2,10250,38922,1000
random,2,10311,38983,1000
random,2,10346,39018,1000
random,2,10460,39132,1000
random,2,10499,39171,1000
random,2,10575,39247,1000
random,2,10619,39291,1000
random,2,10708,39380,1000
random,2,10717,39389,1000
random,2,10725,39397,1000
random,2,10759,39431,1000
random,2,10773,39445,1000
random,2,10808,39480,1000
random,2,10881,39553,1000
random,2,10891,39563,1000
random,2,10927,39599,1000
random,2,10980,39652,1000
random,2,11011,39683,1000
random,2,11075,39747,1000
random,2,11102,39774,1000
random,2,11107,39779,1000
random,2,11173,39845,1000
random,2,11217,39889,1000
random,2,11421,40093,1000
random,2,11459,40131,1000
random,2,11472,40144,1000
random,2,11484,40156,1000
random,2,11535,40207,1000
random,2,11670,40342,1000
random,2,11743,40415,1000
random,2,11747,40419,1000
random,2,11781,40453,1000
random,2,11804,40476,1000
random,2,11868,40540,1000
random,2,11870,40542,1000
random,2,11885,40557,1000
random,2,12008,40680,1000
random,2,12072,40744,1000
random,2,12079,40751,1000
random,2,12124,40796,1000
random,2,12168,40840,1000
random,2,12178,40850,1000
random,2,12186,40858,1000
random,2,12239,40911,1000
random,2,12289,40961,1000
random,2,12332,41004,1000
random,2,12380,41052,1000
random,2,12419,41091,1000
random,2,12491,41163,1000
random,2,12492,41164,1000
random,2,12606,41278,1000
random,2,12608,41280,1000
random,2,12614,41286,1000
random,2,12647,41319,1000
random,2,12655,41327,1000
random,2,12664,41336,1000
random,2,12680,41352,1000
random,2,12809,41481,1000
random,2,12856,41528,1000
random,2,12915,41587,1000
random,2,12984,41656,1000
random,2,13039,41711,1000
random,2,13257,41929,1000
random,2,13281,41953,1000
random,2,13367,42039,1000
random,2,13395,42067,1000
random,2,13447,42119,1000
random,2,13468,42140,1000
random,2,13474,42146,1000
random,2,13558,42230,1000
random,2,13564,42236,1000
random,2,13585,42257,1000
random,2,13606,42278,1000
random,2,13624,42296,1000
random,2,13656,42328,1000
random,2,13747,42419,1000
random,2,13773,42445,1000
random,2,13804,42476,1000
random,2,13850,42522,1000
random,2,14044,42716,1000
random,2,14083,42755,1000
random,2,14136,42808,1000
random,2,14138,42810,1000
random,2,14146,42818,1000
random,2,14156,42828,1000
random,2,14272,42944,1000
random,2,14278,42950,1000
random,2,14329,43001,1000
random,2,14330,43002,1000
random,3,30,43038,1000
random,3,51,43059,1000
random,3,176,43184,1000
random,3,228,43236,1000
random,3,339,43347,1000
random,3,340,43348,1000
random,3,345,43353,1000
random,3,365,43373,1000
random,3,377,43385,1000
random,3,453,43461,1000
random,3,459,43467,1000
random,3,469,43477,1000
random,3,617,43625,1000
random,3,653,43661,1000
random,3,687,43695,1000
random,3,704,43712,1000
random,3,732,43740,1000
random,3,812,43820,1000
random,3,828,43836,1000
random,3,837,43845,1000
random,3,884,43892,1000
random,3,1057,44065,1000
random,3,1081,44089,1000
random,3,1100,44108,1000
random,3,1132,44140,1000
random,3,1202,44210,1000
random,3,1219,44227,1000
random,3,1229,44237,1000
random,3,1245,44253,1000
random,3,1276,44284,1000
random,3,1287,44295,1000
random,3,1292,44300,1000
random,3,1319,44327,1000
random,3,1334,44342,1000
random,3,1481,44489,1000
random,3,1534,44542,1000
random,3,1631,44639,1000
random,3,1851,44859,1000
random,3,1922,44930,1000
random,3,1982,44990,1000
random,3,2132,45140,1000
random,3,2253,45261,1000
random,3,2300,45308,1000
random,3,2324,45332,1000
random,3,2340,45348,1000
random,3,2434,45442,1000
random,3,2471,45479,1000
random,3,2520,45528,1000
random,3,2657,45665,1000
random,3,2682,45690,1000
random,3,2683,45691,1000
random,3,2711,45719,1000
random,3,2752,45760,1000
random,3,2936,45944,1000
random,3,2976,45984,1000
random,3,3122,46130,1000
random,3,3389,46397,1000
random,3,3502,46510,1000
random,3,3504,46512,1000
random,3,3633,46641,1000
random,3,3646,46654,1000
random,3,3647,46655,1000
random,3,3833,46841,1000
random,3,3867,46875,1000
random,3,3908,46916,1000
random,3,3909,46917,1000
random,3,3969,46977,1000
random,3,4117,47125,1000
random,3,4239,47247,1000
random,3,4540,47548,1000
random,3,4609,47617,1000
random,3,4631,47639,1000
random,3,4731,47739,1000
random,3,4733,47741,1000
random,3,4842,47850,1000
random,3,4857,47865,1000
random,3,4879,47887,1000
random,3,4892,47900,1000
random,3,4898,47906,1000
random,3,4900,47908,1000
random,3,4937,47945,1000
