layer,neuron_index,score,rank
31,2111,2.6218899341763224,1
21,1297,2.609560364596157,2
30,2653,2.5851169963370784,3
30,1302,2.5831544093478462,4
20,13974,2.552742947038751,5
16,11559,2.499522421110517,6
31,11222,2.3719037400472827,7
30,2894,2.360872061107106,8
26,14088,2.33813353614513,9
8,7821,2.3361974555370555,10
31,13926,2.319457575209605,11
10,8289,2.2715738254207976,12
27,11055,2.2524054094954726,13
14,4671,2.2186191471795804,14
18,11018,2.216138880932264,15
15,4039,2.208757605106969,16
15,877,2.2057956002350747,17
13,1572,2.193769619155179,18
31,69,2.179183327508834,19
13,2041,2.159190992775828,20
29,9571,2.1409233605746487,21
26,7711,2.1379627519966067,22
11,6582,2.1214454624451125,23
31,5406,2.113477507073883,24
12,9673,2.113263613407566,25
13,9240,2.1126050924571658,26
30,555,2.0899379314756605,27
30,7110,2.080200868883421,28
31,1504,2.066834611472122,29
14,1194,2.0609841453558957,30
14,11434,2.0600486105261098,31
12,4940,2.050958593289787,32
6,9554,2.047001196294575,33
22,8121,2.046677641497898,34
14,546,2.0452497777378613,35
11,5315,2.0441039727159582,36
28,2807,2.0436716362012994,37
1,5786,2.0424084986668767,38
13,3422,2.040764207920592,39
27,1253,2.0371738648582793,40
20,9623,2.0336598237338257,41
13,1922,2.030069559045302,42
14,3119,2.0266876507924136,43
17,5671,2.026265697453893,44
30,4063,2.022075749558391,45
31,9301,2.0188546022326466,46
17,10712,2.0112230343524784,47
30,4772,1.9900981988225857,48
18,2016,1.9892364897006054,49
31,12295,1.9773224972380927,50
15,3738,1.9731907670800213,51
12,4515,1.9638180349026892,52
18,1211,1.956864090914638,53
16,1374,1.955077454028644,54
29,11835,1.9505720253603303,55
29,11005,1.946636245311693,56
30,1595,1.9455506864172925,57
14,5415,1.9449779240395464,58
14,5718,1.9436004588255154,59
11,9593,1.9403648431300442,60
11,879,1.940207722040396,61
19,9426,1.9343246485719048,62
31,3771,1.9342390335848842,63
29,4946,1.9334706548568998,64
16,13772,1.930720843507341,65
25,6420,1.9305964377753457,66
20,5425,1.9297887472450639,67
18,12248,1.9289169284401357,68
30,3587,1.9265140791879416,69
13,4337,1.9264175347946153,70
15,8597,1.9251766276867028,71
31,7054,1.9212084430001268,72
15,5895,1.9196536157228754,73
18,10836,1.919279355272317,74
26,7496,1.9186147440065993,75
19,5727,1.9175900169083488,76
15,6843,1.9168785371291768,77
16,2995,1.9156109067184304,78
10,10882,1.9133055194647899,79
14,1441,1.9088659379317763,80
15,7441,1.908710933112988,81
20,13443,1.9073287339658986,82
29,7425,1.9028689628245272,83
14,1511,1.9018741677049595,84
11,9566,1.8985893410921166,85
12,7070,1.898473819356992,86
22,526,1.895322940164824,87
12,504,1.8943208049447475,88
11,5737,1.8926834598151487,89
29,13013,1.8912912609785761,90
12,1196,1.889526400139959,91
13,3112,1.8876898653396295,92
30,8393,1.8876040713839246,93
12,13198,1.886357770274796,94
18,1324,1.8863403829243042,95
20,9928,1.8860040959318018,96
18,13506,1.8799660832433827,97
14,8504,1.8724357838427506,98
21,4626,1.869449161386631,99
30,7613,1.867036791125325,100
26,3659,1.8659122949131872,101
26,2128,1.8619732106821674,102
20,9424,1.861840168913944,103
31,3927,1.8601259039197244,104
31,1776,1.860117100923961,105
14,7536,1.8598314988592082,106
16,13081,1.8590947822648016,107
28,7267,1.8557804291591873,108
8,2349,1.850097353513094,109
8,12438,1.8462312583704708,110
31,4670,1.843993174672019,111
20,10488,1.8436106972728135,112
14,10937,1.8392834349453808,113
30,4815,1.834827361203068,114
12,499,1.8345493386762637,115
12,10397,1.8332387901953255,116
0,8092,1.8257898704921176,117
31,10489,1.823228606934588,118
18,3270,1.819643765394835,119
16,7952,1.8179210162904886,120
19,6042,1.8178310195913923,121
26,5298,1.8176856139277144,122
11,6903,1.812029862772923,123
18,5964,1.8110476694755508,124
31,795,1.809537949743092,125
15,6120,1.808843219672896,126
31,14123,1.8061120006445253,127
7,11048,1.8058507523804461,128
11,3892,1.8049279631261947,129
13,12503,1.803030424842539,130
29,12041,1.8007301467906227,131
9,8197,1.798158730693427,132
13,12248,1.7969929703888197,133
20,5240,1.7957724056240887,134
17,8649,1.7927841312586366,135
16,2239,1.7906350755537357,136
30,6978,1.7894679959848445,137
23,10600,1.7891587030963407,138
13,1187,1.7841438669070333,139
13,6771,1.7830089210425624,140
13,7787,1.7800671625655555,141
28,6596,1.7778855637980968,142
15,8528,1.7743833112204825,143
29,11360,1.7740220758106304,144
12,9114,1.7730888404037208,145
12,2254,1.77153235116752,146
12,7259,1.7708799026094726,147
21,6714,1.7705404838012844,148
10,9202,1.7695818563835246,149
29,8918,1.7691097081177836,150
18,3056,1.7635051573390912,151
22,4164,1.7632324916737285,152
29,14198,1.7627760668715473,153
21,8118,1.7625744862956239,154
12,2141,1.761567210990883,155
28,13215,1.7569515533285538,156
30,1741,1.756768300022905,157
14,3997,1.7534849095769791,158
9,2513,1.752088571035794,159
29,10092,1.7508206038391294,160
16,2627,1.750631342614272,161
16,6310,1.7482767970886928,162
12,259,1.7459356665308792,163
14,14318,1.745233291103844,164
17,11518,1.744914779704048,165
30,1592,1.7442645682398399,166
11,6658,1.7437998568539979,167
13,1790,1.7426914207759632,168
12,3244,1.7400891486399122,169
13,11349,1.738961029749607,170
13,11012,1.7362298835562078,171
15,13454,1.7362078761404445,172
12,7298,1.7361057567867633,173
20,13702,1.7346863357195133,174
14,11766,1.7334317002866233,175
18,5922,1.7331752587357727,176
30,8036,1.730016130308236,177
14,9976,1.729876729021432,178
14,5203,1.7296708028855512,179
11,5236,1.7285646770717835,180
30,2339,1.7279971189387153,181
31,8720,1.7277668226288803,182
29,13258,1.7266748400343948,183
24,13867,1.7231158874417085,184
12,11927,1.7211778010341077,185
28,1600,1.7200497885920978,186
30,9846,1.7195915837898863,187
1,10912,1.7193250305591263,188
17,1875,1.7190823486557292,189
9,2807,1.7172793666617971,190
16,7411,1.7170641292307431,191
5,12490,1.715924629989568,192
16,4472,1.7146838653865308,193
21,3940,1.7135147273321922,194
14,6265,1.7132856545636768,195
28,4080,1.7113698813186955,196
30,13741,1.7112243150975337,197
14,9641,1.7107192468114742,198
31,7611,1.7095311060065552,199
25,4953,1.7089242382271177,200
18,1454,1.7082733569860697,201
12,10277,1.707840643968771,202
15,7851,1.7076802947444678,203
30,11258,1.706003272924319,204
14,702,1.705776449361801,205
15,10229,1.704175759286563,206
11,5077,1.7038523759835276,207
14,6136,1.7035987695000934,208
19,11771,1.7031542059561084,209
12,5139,1.702459335632895,210
22,10820,1.7015376636315258,211
19,7644,1.7013751082307336,212
16,7214,1.6990838359386866,213
19,14013,1.6956419526128725,214
12,9906,1.695531135629275,215
31,3410,1.6954426705440138,216
10,9366,1.6937316928205817,217
15,11735,1.6927292051580953,218
31,7745,1.6904142152103678,219
22,6138,1.689540774151816,220
15,3129,1.6893196992686281,221
30,12166,1.6889161674355806,222
11,1412,1.6887853537929292,223
31,9850,1.682802270454897,224
27,5587,1.6820689070740158,225
31,10662,1.6815585180578414,226
31,6291,1.678986348494229,227
17,8687,1.6760849624725285,228
23,5973,1.6752042137751515,229
11,7057,1.6748308303513264,230
27,4220,1.6746779925836337,231
19,8281,1.6732564410064075,232
11,9057,1.673232104117683,233
15,5450,1.6723196963592482,234
24,13069,1.670704469910912,235
31,9841,1.6703622399794826,236
13,2361,1.6674627748213051,237
31,8363,1.664809816067231,238
17,13749,1.6643168141658216,239
30,11208,1.6623377433918762,240
14,8756,1.6613413132385337,241
31,6458,1.660948384124906,242
20,7872,1.6589675351747892,243
14,8864,1.6588338944772325,244
31,9907,1.658190985612548,245
30,6932,1.6575352497558846,246
12,2963,1.6568349896383976,247
12,14296,1.6562313378178237,248
12,6689,1.6548811320801409,249
18,8986,1.6531633379584254,250
0,14042,1.6531272882833459,251
13,13897,1.6521762246239104,252
15,2447,1.6509531379867635,253
0,9362,1.6506141810163837,254
12,1539,1.6498130624192924,255
13,1240,1.649707138632143,256
16,12363,1.6493929455547183,257
15,2076,1.6492745613274449,258
16,6344,1.648974011482022,259
12,1815,1.6483156010116027,260
31,5554,1.6430133107593818,261
29,6493,1.641075030324037,262
7,7193,1.6407224878302347,263
11,6869,1.6406833343952272,264
12,3361,1.640646152688771,265
15,5431,1.6391945047582233,266
19,12771,1.6382585177635807,267
31,7646,1.6380894691603356,268
31,13590,1.6372106240201076,269
27,6700,1.6351404787602593,270
29,8331,1.630299138548147,271
11,3679,1.6301638852601705,272
30,8157,1.629912959446291,273
4,1374,1.6293469129821023,274
12,13588,1.6274712921284935,275
11,2620,1.627379090424433,276
31,9058,1.6268370222525268,277
11,7661,1.6259896826384634,278
31,1006,1.6256277859342498,279
11,6852,1.6252152162863711,280
13,9506,1.6251098109036854,281
12,3838,1.6250212778068853,282
19,12238,1.6241184628814005,283
12,10690,1.6236381129483854,284
30,9732,1.6203319783651349,285
27,10607,1.6202451018451187,286
19,4762,1.6199264234770876,287
6,11341,1.619903797794295,288
15,1719,1.6196471787163962,289
5,12551,1.6194941201461426,290
15,11808,1.6191345607129564,291
18,12488,1.6189762781800972,292
11,7809,1.6177662978696576,293
29,12180,1.6156789783688197,294
9,3299,1.6148765662724778,295
15,9762,1.6138000607142562,296
21,11415,1.613714242621083,297
10,326,1.6135008108944824,298
20,13467,1.6129775578119998,299
12,8947,1.6115645106025567,300
18,7874,1.6108277467428451,301
18,10716,1.6105864431417767,302
31,4113,1.6097864601176688,303
26,6070,1.609385937798303,304
13,9392,1.6090431312296372,305
9,10956,1.6076459979122275,306
13,4867,1.6074246970850359,307
18,7148,1.6073624243796536,308
2,10014,1.6069866782639384,309
8,6551,1.6058874669605068,310
29,5230,1.60449313360903,311
24,8824,1.6021641767200956,312
24,9812,1.6018591597331695,313
25,6301,1.6013907892833057,314
21,5428,1.600928821184464,315
12,13789,1.6005729770445989,316
14,12067,1.5999508745789965,317
30,600,1.59950781497469,318
14,5479,1.5989606043064704,319
1,2273,1.5975335377060704,320
22,9063,1.5973715055881772,321
30,5304,1.5973117891721236,322
15,12593,1.5962582192766868,323
12,3018,1.5952634154910301,324
11,11330,1.5946853516823725,325
30,13084,1.5943086744175643,326
21,5375,1.5939960551529007,327
12,12301,1.5934506365953218,328
17,10189,1.5921806557681972,329
30,4199,1.5904681454301324,330
1,1576,1.589653317955547,331
9,12608,1.588655755227011,332
28,545,1.588628013631731,333
11,5151,1.5882652110650097,334
13,8325,1.5881324627117444,335
12,1493,1.5872217240395428,336
29,9301,1.5866286108431453,337
31,4341,1.5851761727784355,338
11,9045,1.5844149004528276,339
21,3344,1.5843753152482285,340
1,3463,1.5840527403754723,341
14,9590,1.5838518128531847,342
0,989,1.5833165353735879,343
19,2866,1.5831265257795102,344
19,11694,1.581392242815525,345
16,11992,1.5809142252772421,346
31,1778,1.580722136129285,347
25,7987,1.5805132483988311,348
15,9732,1.5802737111840925,349
12,12483,1.5800342964628216,350
29,10012,1.5794575453728006,351
29,1678,1.5791796351259415,352
29,75,1.578883083254877,353
10,13020,1.5788763825179608,354
31,10696,1.577574302535012,355
16,13770,1.5773676230923774,356
11,4088,1.5761301512304375,357
13,13608,1.5755500647064289,358
12,6137,1.5752697850922874,359
30,7696,1.5751169742400035,360
15,7654,1.573802570090674,361
12,13867,1.5731202106065432,362
10,5264,1.5721472657051418,363
10,10635,1.57156466499778,364
16,9515,1.5710014368594178,365
13,8750,1.5705721717516314,366
16,11771,1.5700708492239783,367
21,559,1.5690893535524728,368
9,11570,1.567743831113899,369
12,10807,1.5675130897085447,370
12,9229,1.5675075090392472,371
12,3506,1.5668449491537704,372
17,2940,1.5665757471442676,373
12,1122,1.566477563255204,374
27,596,1.566343623150273,375
1,4555,1.5652490595679145,376
31,11057,1.5645300593387026,377
14,8047,1.5629661693323147,378
12,1340,1.5626258790128005,379
13,10069,1.56258101857505,380
15,13139,1.5613243277214839,381
12,2156,1.5612620503823549,382
30,3842,1.5610342742912637,383
11,3969,1.5604012209972298,384
31,9999,1.5602387828623094,385
22,5031,1.5591124383107815,386
6,2544,1.5587079908757282,387
14,10884,1.5579594496287876,388
31,2731,1.5569166599695976,389
20,13803,1.5567832627098055,390
23,10557,1.5559725053801783,391
17,12677,1.5557910127761283,392
31,9393,1.5557282063829776,393
23,9512,1.5556704640435148,394
20,6106,1.5546567764787778,395
1,7843,1.5544228342639217,396
13,2550,1.5541626526095704,397
20,4348,1.553945827996501,398
10,9265,1.5537150538146574,399
28,12034,1.5535299795397244,400
23,3782,1.5523823040626734,401
11,3619,1.552186025457078,402
20,155,1.551368669130661,403
15,8388,1.5513575808401912,404
20,2810,1.5513425729200978,405
10,4282,1.5507262716577974,406
4,8262,1.547932166483435,407
5,11731,1.5476730743535516,408
30,12381,1.547637933363276,409
16,6950,1.547595247021454,410
7,13900,1.5472208215757184,411
30,3971,1.5468873337951614,412
18,3750,1.5463450117969988,413
14,11002,1.5451236542132585,414
14,1559,1.5450988628053868,415
21,2826,1.5439243004410785,416
27,6652,1.5435489233004223,417
0,11282,1.5434034599007518,418
16,3097,1.5433743113612142,419
10,12573,1.5427173172360178,420
27,3878,1.542595154220821,421
17,11747,1.5425452971311286,422
9,5423,1.541654562071618,423
13,10826,1.540565871044273,424
15,2523,1.540133865427449,425
8,6225,1.5394547320654726,426
23,8249,1.5389555659484115,427
19,13528,1.5382633274905244,428
9,764,1.5381866123526515,429
23,2240,1.5380537530236968,430
12,14129,1.537748416290938,431
15,14188,1.537038560741159,432
26,7940,1.5368759383067736,433
31,13419,1.5366811962880549,434
12,9772,1.536322357557166,435
