layer,neuron_index,score,rank,selected_N459,selected_N2294,selected_N4588,selected_N9175
0,491,1,1,True,True,True,True
1,2427,1,2,True,True,True,True
10,14295,1,3,True,True,True,True
31,12111,1,4,True,True,True,True
0,8268,2,5,True,True,True,True
1,198,2,6,True,True,True,True
5,7012,2,7,True,True,True,True
11,11321,2,8,True,True,True,True
13,4208,2,9,True,True,True,True
14,12639,2,10,True,True,True,True
16,6521,2,11,True,True,True,True
17,14096,2,12,True,True,True,True
18,12797,2,13,True,True,True,True
19,12164,2,14,True,True,True,True
31,12732,2,15,True,True,True,True
1,6412,3,16,True,True,True,True
9,4255,3,17,True,True,True,True
13,8310,3,18,True,True,True,True
19,13845,3,19,True,True,True,True
24,5326,3,20,True,True,True,True
25,3897,3,21,True,True,True,True
26,450,3,22,True,True,True,True
30,7305,3,23,True,True,True,True
31,4097,3,24,True,True,True,True
3,6390,4,25,True,True,True,True
7,3720,4,26,True,True,True,True
7,6673,4,27,True,True,True,True
30,3382,4,28,True,True,True,True
30,7813,4,29,True,True,True,True
31,8717,4,30,True,True,True,True
1,591,5,31,True,True,True,True
6,2843,5,32,True,True,True,True
6,5866,5,33,True,True,True,True
9,12002,5,34,True,True,True,True
10,853,5,35,True,True,True,True
10,11570,5,36,True,True,True,True
12,13860,5,37,True,True,True,True
12,13868,5,38,True,True,True,True
27,8140,5,39,True,True,True,True
29,12010,5,40,True,True,True,True
29,12657,5,41,True,True,True,True
31,801,5,42,True,True,True,True
0,11311,6,43,True,True,True,True
0,13463,6,44,True,True,True,True
1,12638,6,45,True,True,True,True
1,12657,6,46,True,True,True,True
2,4786,6,47,True,True,True,True
8,12312,6,48,True,True,True,True
18,7417,6,49,True,True,True,True
23,306,6,50,True,True,True,True
25,10021,6,51,True,True,True,True
27,13857,6,52,True,True,True,True
29,3746,6,53,True,True,True,True
31,4581,6,54,True,True,True,True
16,1241,7,55,True,True,True,True
16,11277,7,56,True,True,True,True
22,4433,7,57,True,True,True,True
31,207,7,58,True,True,True,True
1,4053,8,59,True,True,True,True
4,12934,8,60,True,True,True,True
5,6834,8,61,True,True,True,True
6,12689,8,62,True,True,True,True
18,9289,8,63,True,True,True,True
20,3972,8,64,True,True,True,True
21,8329,8,65,True,True,True,True
29,11929,8,66,True,True,True,True
1,73,9,67,True,True,True,True
6,11250,9,68,True,True,True,True
8,7331,9,69,True,True,True,True
12,9790,9,70,True,True,True,True
15,6164,9,71,True,True,True,True
15,7566,9,72,True,True,True,True
17,9309,9,73,True,True,True,True
27,3778,9,74,True,True,True,True
2,14211,10,75,True,True,True,True
3,3185,10,76,True,True,True,True
11,9409,10,77,True,True,True,True
21,10289,10,78,True,True,True,True
31,7727,10,79,True,True,True,True
2,2725,11,80,True,True,True,True
12,4319,11,81,True,True,True,True
