model,layer,val_f1,test_f1,num_selected,selected_share
llama3-8b-instruct,0,0.4061303530095795,0.37846475189833584,861,0.02222795921001678
llama3-8b-instruct,1,0.6626466753585398,0.5988384271657153,326,0.00841616109461727
llama3-8b-instruct,2,0.679760289461782,0.6022971468526468,514,0.013269652768813735
llama3-8b-instruct,3,0.7516703047552431,0.7196449648672028,843,0.021763263198657543
llama3-8b-instruct,4,0.752389589872402,0.7067894085709299,680,0.017555182651348908
llama3-8b-instruct,5,0.7500187587540852,0.7249295964988677,729,0.018820188460049053
llama3-8b-instruct,6,0.7705014283782067,0.7412253906518895,802,0.020704788950561506
llama3-8b-instruct,7,0.784643228664325,0.7724581208310517,761,0.01964631470246547
llama3-8b-instruct,8,0.7684047440965915,0.724044253305462,992,0.025609913514908995
llama3-8b-instruct,9,0.7809241188619314,0.7294266180867244,1123,0.028991867819801214
llama3-8b-instruct,10,0.7870168835836324,0.7836037301992846,849,0.021918161869110622
llama3-8b-instruct,11,0.7997191789902496,0.7877600317838697,824,0.021272750742222797
llama3-8b-instruct,12,0.7990099398331592,0.7813217307889959,992,0.025609913514908995
llama3-8b-instruct,13,0.7991939966648138,0.7709429211386466,918,0.02369949657932103
llama3-8b-instruct,14,0.7945281230250685,0.7565066746187532,1284,0.033148315476958824
llama3-8b-instruct,15,0.7802626050364512,0.7487907290834297,1194,0.030824835420162643
llama3-8b-instruct,16,0.7873531594707343,0.756479950293278,1409,0.036375371111397964
llama3-8b-instruct,17,0.7888940786050043,0.7539369618007798,1442,0.03722731379888989
llama3-8b-instruct,18,0.766798418972332,0.7053491489660313,1583,0.04086743255453724
llama3-8b-instruct,19,0.8017352703793381,0.7911988841260121,1414,0.03650445333677552
llama3-8b-instruct,20,0.7930136042307067,0.7997411183593474,1543,0.03983477475151671
llama3-8b-instruct,21,0.782128448763804,0.7963287320633953,1609,0.04153866012650058
llama3-8b-instruct,22,0.8120736335583641,0.8127015256180032,1512,0.03903446495417581
llama3-8b-instruct,23,0.7862548686113213,0.7573138761148273,1764,0.04554020911320511
llama3-8b-instruct,24,0.816413000717908,0.8013083532915959,1503,0.03880211694849619
llama3-8b-instruct,25,0.7977640366742615,0.7969581798556561,1827,0.047166645152962434
llama3-8b-instruct,26,0.7428286671386253,0.6670890692802633,1946,0.0502388021169485
llama3-8b-instruct,27,0.8192292171105731,0.8087027372047257,1461,0.03771782625532464
llama3-8b-instruct,28,0.7916979996992028,0.754120131674016,1700,0.04388795662837227
llama3-8b-instruct,29,0.8176856661605175,0.8212070002877547,1488,0.0384148702723635
llama3-8b-instruct,30,0.8101333490541764,0.8003364605522315,1348,0.034800567961791665
llama3-8b-instruct,31,0.8227090838404877,0.813197736097538,1494,0.03856976894281657
