model,layer,val_f1,test_f1,num_selected,selected_share
llama3-8b-instruct,0,0.5501473916776235,0.5366619313260109,2421,0.03422633773945006
llama3-8b-instruct,1,0.538676218412661,0.5302763153906906,2584,0.036530713225418815
llama3-8b-instruct,2,0.5445775567518968,0.5276600888637295,2584,0.036530713225418815
llama3-8b-instruct,3,0.47502310963209465,0.46299541603850836,2563,0.03623383049409769
llama3-8b-instruct,4,0.5560538765353511,0.5404005340453939,2524,0.03568247685021559
llama3-8b-instruct,5,0.5660645506786678,0.5801718806272695,2019,0.028543154025588463
llama3-8b-instruct,6,0.5533617724486463,0.5450486601171532,2560,0.036191418675337525
llama3-8b-instruct,7,0.5670130262640916,0.5542555096303001,2028,0.02867038948186895
llama3-8b-instruct,8,0.5630888456167267,0.5627422827160036,2240,0.03166749134092034
llama3-8b-instruct,9,0.5857288658646893,0.5850201820431861,2159,0.030522372234395984
llama3-8b-instruct,10,0.5866248334551081,0.5887485040334,2030,0.028698664027709056
llama3-8b-instruct,11,0.5895176937782164,0.6011857085156052,2028,0.02867038948186895
llama3-8b-instruct,12,0.6058721798507045,0.6080004518095485,2102,0.029716547677952922
llama3-8b-instruct,13,0.573849713798563,0.5722818410546993,2247,0.03176645225136071
llama3-8b-instruct,14,0.5759088304888671,0.5747813627155491,2119,0.029956881317593838
llama3-8b-instruct,15,0.5968112681566978,0.6079789828593922,2110,0.029829645861313352
llama3-8b-instruct,16,0.5989965729363363,0.6124738758260888,1995,0.028203859475507173
llama3-8b-instruct,17,0.557268544576439,0.5514496571967836,2407,0.03402841591856931
llama3-8b-instruct,18,0.6026181929129542,0.5981726407258322,2338,0.0330529440870856
llama3-8b-instruct,19,0.4732662502543958,0.5012633977113862,2431,0.0343677104686506
llama3-8b-instruct,20,0.5616433513012538,0.5598351043895599,2020,0.02855729129850852
llama3-8b-instruct,21,0.48090671316477773,0.49254238324881516,2470,0.03491906411253269
llama3-8b-instruct,22,0.5776280581039756,0.5915625235650188,2421,0.03422633773945006
llama3-8b-instruct,23,0.5107331721187319,0.5436090982286634,1966,0.027793878560825616
llama3-8b-instruct,24,0.5570217695286581,0.5794455230698949,1799,0.025432953983176645
llama3-8b-instruct,25,0.5700828053236784,0.5920133797653959,2282,0.032261256803562594
llama3-8b-instruct,26,0.5608971066598185,0.5864707038378394,2278,0.03220470771188238
llama3-8b-instruct,27,0.5770870242121651,0.6130069419071977,1574,0.022252067576164557
llama3-8b-instruct,28,0.5682047835842297,0.5488666133752119,2396,0.03387290591644872
llama3-8b-instruct,29,0.5759088304888671,0.573016375588818,2068,0.029235880398671095
llama3-8b-instruct,30,0.5803358801941405,0.5873411651882043,2211,0.031257510426238776
llama3-8b-instruct,31,0.5099239528587355,0.5827272970077544,1761,0.024895737612214603
