global_rank,layer,neuron_index,layer_rank,abs_weight,entry_threshold
1,0,989,1,1.4584291,0
2,1,8738,1,1.6684899,0
3,2,11075,1,1.8070302,0
4,3,14176,1,1.2497233,0
5,4,7096,1,1.4097812,0
6,5,4011,1,0.95378804,0
7,6,9908,1,1.3055366,0
8,7,5489,1,1.3321832,0
9,8,11150,1,1.0635632,0
10,9,743,1,1.2008965,0
11,10,4789,1,1.0987334,0
12,11,8111,1,1.0790759,0
13,12,8197,1,1.1061065,0
14,13,9215,1,1.0573562,0
15,14,2015,1,1.0821862,0
16,15,9635,1,1.0387715,0
17,16,6950,1,1.0780201,0
18,17,10712,1,1.0810622,0
19,18,8429,1,1.1007357,0
20,19,11771,1,1.0703826,0
21,20,13974,1,1.1364762,0
22,21,23,1,1.0841848,0
23,22,11137,1,1.0681231,0
24,23,5263,1,1.1347803,0
25,24,2598,1,1.119989,0
26,25,3787,1,1.1127896,0
27,26,5848,1,0.72317851,0
28,27,2170,1,1.0919844,0
29,28,2807,1,0.99850237,0
30,29,9571,1,0.85678524,0
31,30,2653,1,0.841425,0
32,31,12950,1,0.41953829,0
33,0,6677,2,1.4338924,0.00088589948
34,5,4724,2,0.93554372,0.0010772398
35,26,7711,2,0.68976474,0.0011926537
36,3,381,2,1.1844646,0.001381542
37,0,9362,3,1.431228,0.0017568946
38,5,9150,3,0.92538959,0.002133874
39,26,9917,3,0.68193841,0.002330202
40,2,6515,2,1.7687495,0.0025837588
41,0,10953,4,1.4275687,0.0026262713
42,3,1160,3,1.1668699,0.0026909419
43,5,7127,4,0.9076345,0.0031790396
44,26,11169,4,0.6735779,0.0034548431
45,0,7886,5,1.411791,0.0034934252
46,3,12499,4,1.1388308,0.0039808913
47,5,6348,5,0.89877093,0.0042041521
48,1,11737,2,1.6617883,0.0042216116
49,0,7278,6,1.4029311,0.004350995
50,8,4398,2,1.0201916,0.0045604643
51,26,4587,5,0.66588676,0.0045656961
52,13,2741,2,1.0485699,0.0045714823
53,14,14318,2,1.0580847,0.0046259437
54,15,3580,2,1.0250053,0.0046581153
55,11,4258,2,1.0764095,0.0046924056
56,31,14201,2,0.38983884,0.0047658551
57,10,1084,2,1.0826156,0.0049003492
58,21,13995,2,1.0161431,0.0049142936
59,16,6901,2,1.0298784,0.0049548827
60,12,9336,2,1.0806571,0.0049943392
61,9,12473,2,1.1471373,0.0050161289
62,17,13532,2,1.0441248,0.0050369083
63,19,8298,2,1.0679525,0.0050447451
64,18,1454,2,1.1006696,0.0050652351
65,25,2732,2,1.0268941,0.0050875799
66,2,13496,3,1.7328262,0.0051127824
67,0,4252,7,1.3970635,0.0052031832
68,5,11443,6,0.88584435,0.0052192536
69,27,1253,2,1.0588676,0.0052193276
70,3,7756,5,1.1279187,0.0052398441
71,24,1619,2,1.1160711,0.0052856481
72,23,2803,2,1.0806258,0.0052994756
73,22,5031,2,1.0471781,0.005409355
74,28,6269,2,0.95074064,0.0054312023
75,29,11082,2,0.8394357,0.0054940423
76,26,2128,6,0.65788734,0.0056638654
77,20,9424,2,1.1113322,0.0057193195
78,30,6897,2,0.78994566,0.0059436245
79,7,11986,2,1.3155971,0.005969918
80,0,3400,8,1.3809508,0.006051807
81,6,1372,2,1.2868809,0.0060624457
82,5,430,7,0.86159879,0.0062197555
83,3,3980,6,1.1261029,0.0064867338
84,26,7496,7,0.65616584,0.0067488423
85,0,11690,9,1.3715311,0.0068906436
86,5,9582,8,0.861332,0.0071928739
87,2,10014,4,1.7106016,0.007590442
88,0,14042,10,1.3714641,0.0077237585
89,3,6790,7,1.0988765,0.0077316162
90,26,5286,8,0.65117717,0.0078309802
91,5,6882,9,0.85049099,0.0081656907
92,1,14272,3,1.6267014,0.0084262671
93,0,3974,11,1.3650243,0.0085568323
94,4,2975,2,1.3800921,0.0085629111
95,26,2776,9,0.62171286,0.0089048909
96,8,8632,3,1.0031637,0.0089349546
97,3,7005,8,1.0957185,0.0089464003
98,13,13879,3,1.0325719,0.0091049763
99,5,11491,10,0.85008514,0.0091262635
100,14,1559,3,1.0451591,0.0091488625
101,31,5542,3,0.38554928,0.0091943315
102,15,1832,3,1.0224512,0.0092545001
103,11,5737,3,1.0621247,0.0093732159
104,0,12242,12,1.3591332,0.0093859947
105,21,1297,3,1.005055,0.0095201747
106,16,11992,3,1.0147461,0.0096884925
107,10,1918,3,1.0554545,0.009728813
108,25,4953,3,1.022802,0.0097824526
109,9,6064,3,1.120387,0.0098077067
110,12,4498,3,1.0318151,0.0098737687
111,17,11378,3,1.0382534,0.0099017167
112,26,14003,10,0.61898851,0.0099302089
113,2,10582,5,1.7009321,0.010036324
114,19,11694,3,1.0192502,0.010078038
115,5,9391,11,0.84965521,0.010086378
116,18,11018,3,1.0748589,0.010130166
117,3,3833,9,1.0882473,0.010157693
118,0,6344,13,1.3588043,0.010211579
119,27,3878,3,1.0575643,0.010280368
