variant,layer,neuron_index
wang,0,491
wang,0,703
wang,0,762
wang,0,989
wang,0,1253
wang,0,1493
wang,0,1590
wang,0,1981
wang,0,3297
wang,0,3817
wang,0,4252
wang,0,6332
wang,0,6344
wang,0,6436
wang,0,6677
wang,0,7749
wang,0,8092
wang,0,8253
wang,0,8268
wang,0,8963
wang,0,9362
wang,0,9846
wang,0,11311
wang,0,11338
wang,0,11425
wang,0,11579
wang,0,11762
wang,0,11910
wang,0,12261
wang,0,12650
wang,0,12810
wang,0,12829
wang,0,13111
wang,0,13834
wang,0,13838
wang,0,14042
wang,0,14168
wang,1,198
wang,1,2427
wang,2,901
wang,2,1608
wang,2,3328
wang,2,3620
wang,2,3633
wang,2,3796
wang,2,4259
wang,2,4359
wang,2,4639
wang,2,5276
wang,2,5681
wang,2,7034
wang,2,7163
wang,2,8037
wang,2,9255
wang,2,9805
wang,2,9841
wang,2,10014
wang,2,12388
wang,2,12475
wang,2,12538
wang,2,13418
wang,2,13496
wang,2,13712
wang,2,13935
wang,3,280
wang,3,640
wang,3,2145
wang,3,2444
wang,3,5205
wang,3,6413
wang,3,6792
wang,3,7339
wang,3,9013
wang,3,9050
wang,3,9513
wang,3,9890
wang,3,11533
wang,3,11738
wang,3,11961
wang,3,12133
wang,3,12889
wang,3,13538
wang,3,14182
wang,3,14192
wang,3,14241
wang,4,593
wang,4,2435
wang,4,3736
wang,4,3981
wang,4,5443
wang,4,6390
wang,4,7169
wang,4,7372
wang,4,8346
wang,4,8691
wang,4,9158
wang,4,10275
wang,4,12270
wang,4,12309
wang,4,12934
wang,5,34
wang,5,1298
wang,5,3132
wang,5,4519
wang,5,8250
wang,5,8921
wang,5,13950
wang,6,847
wang,6,1372
wang,6,2938
wang,6,3664
wang,6,7426
wang,6,7569
wang,6,7994
wang,6,8127
wang,6,8885
wang,6,9066
wang,6,9319
wang,6,12606
wang,7,2497
wang,7,2899
wang,7,3562
wang,7,8850
wang,7,11478
wang,8,108
wang,8,4785
wang,8,6551
wang,8,6823
wang,8,7502
wang,8,7821
wang,8,12992
wang,9,3354
wang,9,3791
wang,9,4594
wang,9,5127
wang,9,7636
wang,9,7699
wang,9,9771
wang,10,3809
wang,10,6230
wang,10,7310
wang,10,9064
wang,10,9229
wang,10,10415
wang,10,12591
wang,10,12642
wang,10,14295
wang,11,879
wang,11,1756
wang,11,3969
wang,11,4258
wang,11,4846
wang,11,5737
wang,11,7912
wang,11,8930
wang,11,10096
wang,11,10998
wang,11,11330
wang,11,13284
wang,12,1481
wang,12,1493
wang,12,2963
wang,12,3700
wang,12,5006
wang,12,9114
wang,12,9772
wang,12,9795
wang,12,9906
wang,12,10397
wang,12,11262
wang,12,13622
wang,12,13868
wang,12,13916
wang,13,1317
wang,13,7787
wang,13,9240
wang,13,10677
wang,13,12287
wang,13,13046
wang,13,13879
wang,14,75
wang,14,1559
wang,14,2107
wang,14,3917
wang,14,5718
wang,14,8504
wang,14,8864
wang,14,9318
wang,14,9932
wang,14,13331
wang,14,14318
wang,15,1596
wang,15,6164
wang,15,7566
wang,15,7922
wang,15,8218
wang,15,9762
wang,16,2995
wang,16,6521
wang,16,6738
wang,16,6950
wang,16,7014
wang,16,11641
wang,16,11992
wang,16,13156
wang,16,13601
wang,16,13985
wang,17,1632
wang,17,3875
wang,17,5313
wang,17,9219
wang,17,9309
wang,17,10712
wang,17,10748
wang,17,10762
wang,17,10981
wang,17,11378
wang,17,12927
wang,17,14096
wang,17,14210
wang,18,290
wang,18,1454
wang,18,3270
wang,18,5015
wang,18,5964
wang,18,6894
wang,18,7148
wang,18,9289
wang,18,10048
wang,18,10517
wang,18,10836
wang,18,11018
wang,18,11307
wang,18,13926
wang,19,47
wang,19,900
wang,19,2059
wang,19,3340
wang,19,4513
wang,19,4762
wang,19,5247
wang,19,6848
wang,19,6852
wang,19,10348
wang,19,10931
wang,19,11694
wang,19,11771
wang,19,11871
wang,20,1043
wang,20,1538
wang,20,2873
wang,20,4060
wang,20,5240
wang,20,5425
wang,20,8083
wang,20,8337
wang,20,8783
wang,20,9059
wang,20,9424
wang,20,9623
wang,20,9928
wang,20,11031
wang,20,11291
wang,20,13443
wang,20,13974
wang,21,713
wang,21,3259
wang,21,3940
wang,21,4626
wang,21,5355
wang,21,5914
wang,21,8816
wang,21,9054
wang,21,9810
wang,21,10289
wang,21,11790
wang,21,12373
wang,21,13063
wang,22,2901
wang,22,3247
wang,22,3766
wang,22,4164
wang,22,5031
wang,22,5566
wang,22,5848
wang,22,6723
wang,22,8042
wang,22,8121
wang,22,10627
wang,22,11106
wang,22,11326
wang,22,11622
wang,23,2565
wang,23,9075
wang,23,10306
wang,23,11172
wang,23,12932
wang,24,507
wang,24,1685
wang,24,1880
wang,24,3166
wang,24,7891
wang,24,8749
wang,24,8824
wang,24,9812
wang,24,11483
wang,24,12893
wang,24,13069
wang,25,1622
wang,25,2355
wang,25,3897
wang,25,4953
wang,25,8692
wang,25,10021
wang,25,10640
wang,25,10659
wang,25,12815
wang,25,13410
wang,26,450
wang,26,2128
wang,26,5298
wang,26,6070
wang,26,7711
wang,26,8347
wang,26,11419
wang,26,12620
wang,26,14003
wang,26,14088
wang,27,81
wang,27,462
wang,27,798
wang,27,1253
wang,27,1633
wang,27,2165
wang,27,2503
wang,27,3878
wang,27,4220
wang,27,5147
wang,27,7827
wang,27,8051
wang,27,8295
wang,27,11055
wang,27,12956
wang,27,13174
wang,27,13857
wang,27,13988
wang,27,14294
wang,28,545
wang,28,2807
wang,28,4382
wang,28,5085
wang,28,11293
wang,28,11851
wang,29,763
wang,29,1175
wang,29,1251
wang,29,3400
wang,29,3438
wang,29,3637
wang,29,4946
wang,29,5230
wang,29,7349
wang,29,7425
wang,29,7566
wang,29,8331
wang,29,9301
wang,29,9571
wang,29,11005
wang,29,11794
wang,29,11835
wang,29,11909
wang,29,12041
wang,30,625
wang,30,1171
wang,30,1562
wang,30,1595
wang,30,1741
wang,30,1797
wang,30,1969
wang,30,2653
wang,30,3587
wang,30,3700
wang,30,4063
wang,30,4306
wang,30,4438
wang,30,4903
wang,30,5114
wang,30,5336
wang,30,5526
wang,30,5948
wang,30,6159
wang,30,6894
wang,30,7305
wang,30,7410
wang,30,7463
wang,30,7675
wang,30,7872
wang,30,8726
wang,30,9114
wang,30,9138
wang,30,10303
wang,30,11258
wang,30,11484
wang,30,12012
wang,30,12016
wang,30,12258
wang,30,12446
wang,30,13047
wang,30,13935
wang,30,14215
wang,30,14261
wang,31,515
wang,31,1129
wang,31,1209
wang,31,2207
wang,31,2223
wang,31,2756
wang,31,3166
wang,31,3175
wang,31,3409
wang,31,3646
wang,31,3811
wang,31,4436
wang,31,4710
wang,31,4768
wang,31,4786
wang,31,5253
wang,31,5540
wang,31,5933
wang,31,6159
wang,31,6432
wang,31,6657
wang,31,7278
wang,31,7450
wang,31,7844
wang,31,7861
wang,31,8053
wang,31,8060
wang,31,8118
wang,31,8937
wang,31,9047
wang,31,9114
wang,31,9416
wang,31,9575
wang,31,9825
wang,31,11222
wang,31,11581
wang,31,11638
wang,31,12004
wang,31,12145
wang,31,12446
wang,31,12913
wang,31,13336
wang,31,13801
wang,31,13869
wang,31,13995
wang,31,14073
wang,31,14107
wang,31,14276
