variant,layer,neuron_index
wang_robust,0,2
wang_robust,0,30
wang_robust,0,47
wang_robust,0,70
wang_robust,0,75
wang_robust,0,89
wang_robust,0,91
wang_robust,0,136
wang_robust,0,268
wang_robust,0,310
wang_robust,0,335
wang_robust,0,354
wang_robust,0,365
wang_robust,0,491
wang_robust,0,574
wang_robust,0,593
wang_robust,0,611
wang_robust,0,614
wang_robust,0,624
wang_robust,0,646
wang_robust,0,699
wang_robust,0,703
wang_robust,0,705
wang_robust,0,730
wang_robust,0,762
wang_robust,0,807
wang_robust,0,837
wang_robust,0,840
wang_robust,0,846
wang_robust,0,885
wang_robust,0,916
wang_robust,0,989
wang_robust,0,1005
wang_robust,0,1023
wang_robust,0,1025
wang_robust,0,1070
wang_robust,0,1090
wang_robust,0,1102
wang_robust,0,1105
wang_robust,0,1151
wang_robust,0,1173
wang_robust,0,1193
wang_robust,0,1228
wang_robust,0,1253
wang_robust,0,1260
wang_robust,0,1408
wang_robust,0,1426
wang_robust,0,1447
wang_robust,0,1493
wang_robust,0,1521
wang_robust,0,1590
wang_robust,0,1629
wang_robust,0,1644
wang_robust,0,1689
wang_robust,0,1726
wang_robust,0,1737
wang_robust,0,1749
wang_robust,0,1788
wang_robust,0,1919
wang_robust,0,1948
wang_robust,0,1981
wang_robust,0,2016
wang_robust,0,2029
wang_robust,0,2051
wang_robust,0,2200
wang_robust,0,2215
wang_robust,0,2266
wang_robust,0,2315
wang_robust,0,2316
wang_robust,0,2358
wang_robust,0,2430
wang_robust,0,2453
wang_robust,0,2503
wang_robust,0,2525
wang_robust,0,2542
wang_robust,0,2578
wang_robust,0,2585
wang_robust,0,2605
wang_robust,0,2659
wang_robust,0,2699
wang_robust,0,2807
wang_robust,0,2812
wang_robust,0,2830
wang_robust,0,2864
wang_robust,0,2872
wang_robust,0,2932
wang_robust,0,2988
wang_robust,0,3079
wang_robust,0,3101
wang_robust,0,3106
wang_robust,0,3215
wang_robust,0,3242
wang_robust,0,3267
wang_robust,0,3280
wang_robust,0,3292
wang_robust,0,3297
wang_robust,0,3322
wang_robust,0,3348
wang_robust,0,3353
wang_robust,0,3372
wang_robust,0,3381
wang_robust,0,3400
wang_robust,0,3405
wang_robust,0,3497
wang_robust,0,3535
wang_robust,0,3640
wang_robust,0,3644
wang_robust,0,3737
wang_robust,0,3741
wang_robust,0,3804
wang_robust,0,3811
wang_robust,0,3817
wang_robust,0,3842
wang_robust,0,3851
wang_robust,0,3858
wang_robust,0,3892
wang_robust,0,3894
wang_robust,0,4017
wang_robust,0,4019
wang_robust,0,4071
wang_robust,0,4077
wang_robust,0,4098
wang_robust,0,4252
wang_robust,0,4278
wang_robust,0,4279
wang_robust,0,4317
wang_robust,0,4336
wang_robust,0,4386
wang_robust,0,4410
wang_robust,0,4414
wang_robust,0,4481
wang_robust,0,4488
wang_robust,0,4528
wang_robust,0,4581
wang_robust,0,4588
wang_robust,0,4596
wang_robust,0,4617
wang_robust,0,4643
wang_robust,0,4648
wang_robust,0,4696
wang_robust,0,4713
wang_robust,0,4714
wang_robust,0,4715
wang_robust,0,4740
wang_robust,0,4754
wang_robust,0,4764
wang_robust,0,4797
wang_robust,0,4827
wang_robust,0,4878
wang_robust,0,4898
wang_robust,0,4944
wang_robust,0,4973
wang_robust,0,4979
wang_robust,0,4999
wang_robust,0,5003
wang_robust,0,5080
wang_robust,0,5159
wang_robust,0,5169
wang_robust,0,5221
wang_robust,0,5236
wang_robust,0,5250
wang_robust,0,5272
wang_robust,0,5281
wang_robust,0,5283
wang_robust,0,5357
wang_robust,0,5452
wang_robust,0,5473
wang_robust,0,5552
wang_robust,0,5557
wang_robust,0,5734
wang_robust,0,5754
wang_robust,0,5818
wang_robust,0,5914
wang_robust,0,5925
wang_robust,0,5935
wang_robust,0,5956
wang_robust,0,5959
wang_robust,0,5968
wang_robust,0,5976
wang_robust,0,6005
wang_robust,0,6029
wang_robust,0,6050
wang_robust,0,6076
wang_robust,0,6093
wang_robust,0,6135
wang_robust,0,6144
wang_robust,0,6148
wang_robust,0,6162
wang_robust,0,6263
wang_robust,0,6265
wang_robust,0,6329
wang_robust,0,6332
wang_robust,0,6337
wang_robust,0,6344
wang_robust,0,6353
wang_robust,0,6436
wang_robust,0,6530
wang_robust,0,6544
wang_robust,0,6556
wang_robust,0,6581
wang_robust,0,6622
wang_robust,0,6631
wang_robust,0,6665
wang_robust,0,6667
wang_robust,0,6677
wang_robust,0,6718
wang_robust,0,6743
wang_robust,0,6760
wang_robust,0,6766
wang_robust,0,6829
wang_robust,0,6903
wang_robust,0,6985
wang_robust,0,7011
wang_robust,0,7058
wang_robust,0,7068
wang_robust,0,7102
wang_robust,0,7125
wang_robust,0,7182
wang_robust,0,7279
wang_robust,0,7347
wang_robust,0,7378
wang_robust,0,7386
wang_robust,0,7408
wang_robust,0,7461
wang_robust,0,7495
wang_robust,0,7591
wang_robust,0,7645
wang_robust,0,7648
wang_robust,0,7669
wang_robust,0,7723
wang_robust,0,7749
wang_robust,0,7842
wang_robust,0,7868
wang_robust,0,7896
wang_robust,0,7907
wang_robust,0,7918
wang_robust,0,7931
wang_robust,0,7940
