variant,layer,neuron_index
zhao_relative_epsilon,0,491
zhao_relative_epsilon,0,8268
zhao_relative_epsilon,0,11311
zhao_relative_epsilon,1,198
zhao_relative_epsilon,1,2427
zhao_relative_epsilon,2,714
zhao_relative_epsilon,2,1012
zhao_relative_epsilon,2,1601
zhao_relative_epsilon,2,1683
zhao_relative_epsilon,2,2482
zhao_relative_epsilon,2,2507
zhao_relative_epsilon,2,2725
zhao_relative_epsilon,2,2975
zhao_relative_epsilon,2,4786
zhao_relative_epsilon,2,5470
zhao_relative_epsilon,2,5843
zhao_relative_epsilon,2,7994
zhao_relative_epsilon,2,8406
zhao_relative_epsilon,2,9805
zhao_relative_epsilon,2,9968
zhao_relative_epsilon,2,11898
zhao_relative_epsilon,2,11931
zhao_relative_epsilon,2,12277
zhao_relative_epsilon,2,12761
zhao_relative_epsilon,2,13440
zhao_relative_epsilon,2,14211
zhao_relative_epsilon,3,161
zhao_relative_epsilon,3,544
zhao_relative_epsilon,3,727
zhao_relative_epsilon,3,1074
zhao_relative_epsilon,3,1530
zhao_relative_epsilon,3,3185
zhao_relative_epsilon,3,3768
zhao_relative_epsilon,3,4283
zhao_relative_epsilon,3,5058
zhao_relative_epsilon,3,5895
zhao_relative_epsilon,3,6390
zhao_relative_epsilon,3,9792
zhao_relative_epsilon,3,13690
zhao_relative_epsilon,3,13731
zhao_relative_epsilon,4,155
zhao_relative_epsilon,4,353
zhao_relative_epsilon,4,1618
zhao_relative_epsilon,4,2388
zhao_relative_epsilon,4,3178
zhao_relative_epsilon,4,3517
zhao_relative_epsilon,4,5110
zhao_relative_epsilon,4,8346
zhao_relative_epsilon,4,8461
zhao_relative_epsilon,4,8691
zhao_relative_epsilon,4,9258
zhao_relative_epsilon,4,10275
zhao_relative_epsilon,4,10656
zhao_relative_epsilon,4,10711
zhao_relative_epsilon,4,11163
zhao_relative_epsilon,4,12934
zhao_relative_epsilon,4,13775
zhao_relative_epsilon,5,643
zhao_relative_epsilon,5,4205
zhao_relative_epsilon,5,5270
zhao_relative_epsilon,5,5354
zhao_relative_epsilon,5,6152
zhao_relative_epsilon,5,6180
zhao_relative_epsilon,5,6508
zhao_relative_epsilon,5,6834
zhao_relative_epsilon,5,7012
zhao_relative_epsilon,5,7156
zhao_relative_epsilon,5,7381
zhao_relative_epsilon,5,7382
zhao_relative_epsilon,5,10634
zhao_relative_epsilon,5,10862
zhao_relative_epsilon,5,12485
zhao_relative_epsilon,5,14182
zhao_relative_epsilon,6,2665
zhao_relative_epsilon,6,2843
zhao_relative_epsilon,6,5866
zhao_relative_epsilon,6,10831
zhao_relative_epsilon,6,11170
zhao_relative_epsilon,6,11250
zhao_relative_epsilon,6,12140
zhao_relative_epsilon,6,12689
zhao_relative_epsilon,7,467
zhao_relative_epsilon,7,1460
zhao_relative_epsilon,7,1994
zhao_relative_epsilon,7,2176
zhao_relative_epsilon,7,2488
zhao_relative_epsilon,7,3397
zhao_relative_epsilon,7,3697
zhao_relative_epsilon,7,3720
zhao_relative_epsilon,7,4026
zhao_relative_epsilon,7,5038
zhao_relative_epsilon,7,6117
zhao_relative_epsilon,7,6141
zhao_relative_epsilon,7,6392
zhao_relative_epsilon,7,6673
zhao_relative_epsilon,7,7756
