variant,layer,neuron_index
zhao_topk,0,378
zhao_topk,0,491
zhao_topk,0,2605
zhao_topk,0,2612
zhao_topk,0,3804
zhao_topk,0,5163
zhao_topk,0,6337
zhao_topk,0,7375
zhao_topk,0,7433
zhao_topk,0,8092
zhao_topk,0,8268
zhao_topk,0,8390
zhao_topk,0,8485
zhao_topk,0,8506
zhao_topk,0,8509
zhao_topk,0,8727
zhao_topk,0,10585
zhao_topk,0,10673
zhao_topk,0,10729
zhao_topk,0,10734
zhao_topk,0,10835
zhao_topk,0,10902
zhao_topk,0,11311
zhao_topk,0,11579
zhao_topk,0,12650
zhao_topk,0,12829
zhao_topk,0,13288
zhao_topk,0,13336
zhao_topk,0,13463
zhao_topk,1,73
zhao_topk,1,198
zhao_topk,1,591
zhao_topk,1,626
zhao_topk,1,2341
zhao_topk,1,2427
zhao_topk,1,3174
zhao_topk,1,3400
zhao_topk,1,4053
zhao_topk,1,4949
zhao_topk,1,4970
zhao_topk,1,5095
zhao_topk,1,6412
zhao_topk,1,6700
zhao_topk,1,7328
zhao_topk,1,7906
zhao_topk,1,8318
zhao_topk,1,9574
zhao_topk,1,9581
zhao_topk,1,10614
zhao_topk,1,11411
zhao_topk,1,12638
zhao_topk,1,12657
zhao_topk,1,13817
zhao_topk,1,13868
zhao_topk,1,14156
zhao_topk,2,714
zhao_topk,2,1012
zhao_topk,2,1683
zhao_topk,2,2482
zhao_topk,2,2725
zhao_topk,2,2975
zhao_topk,2,3328
zhao_topk,2,4786
zhao_topk,2,5470
zhao_topk,2,5843
zhao_topk,2,7307
zhao_topk,2,8406
zhao_topk,2,9805
zhao_topk,2,9968
zhao_topk,2,11898
zhao_topk,2,11931
zhao_topk,2,12277
zhao_topk,2,12761
zhao_topk,2,13440
zhao_topk,2,14211
zhao_topk,3,161
zhao_topk,3,544
zhao_topk,3,727
zhao_topk,3,1074
zhao_topk,3,1530
zhao_topk,3,3185
zhao_topk,3,3768
zhao_topk,3,4283
zhao_topk,3,5058
zhao_topk,3,5895
zhao_topk,3,6390
zhao_topk,3,13690
zhao_topk,3,13731
zhao_topk,4,1618
zhao_topk,4,2388
zhao_topk,4,9258
zhao_topk,4,10275
zhao_topk,4,10656
zhao_topk,4,10711
zhao_topk,4,12934
zhao_topk,5,4205
zhao_topk,5,5354
zhao_topk,5,6152
zhao_topk,5,6180
zhao_topk,5,6508
zhao_topk,5,6834
zhao_topk,5,7012
zhao_topk,5,7156
zhao_topk,5,7381
zhao_topk,5,7382
zhao_topk,5,10634
zhao_topk,5,10862
zhao_topk,5,12485
zhao_topk,5,14182
zhao_topk,6,1271
zhao_topk,6,2665
zhao_topk,6,2843
zhao_topk,6,5134
zhao_topk,6,5866
zhao_topk,6,10496
zhao_topk,6,10831
zhao_topk,6,10951
zhao_topk,6,11170
zhao_topk,6,11250
zhao_topk,6,11682
zhao_topk,6,12140
zhao_topk,6,12689
zhao_topk,7,2176
zhao_topk,7,2488
zhao_topk,7,3697
zhao_topk,7,3720
zhao_topk,7,4026
zhao_topk,7,5038
zhao_topk,7,6673
zhao_topk,7,7756
zhao_topk,7,9044
zhao_topk,7,10366
zhao_topk,7,13018
zhao_topk,7,13116
zhao_topk,7,13574
zhao_topk,8,64
zhao_topk,8,1854
zhao_topk,8,2712
zhao_topk,8,3440
zhao_topk,8,4788
zhao_topk,8,5710
zhao_topk,8,7281
zhao_topk,8,7331
zhao_topk,8,7670
zhao_topk,8,8176
zhao_topk,8,9373
zhao_topk,8,11354
zhao_topk,8,11939
zhao_topk,8,12312
zhao_topk,9,1065
zhao_topk,9,4255
