variant,layer,neuron_index
wang,0,611
wang,0,699
wang,0,703
wang,0,762
wang,0,989
wang,0,1151
wang,0,1228
wang,0,1253
wang,0,1590
wang,0,1726
wang,0,2358
wang,0,2453
wang,0,2542
wang,0,2699
wang,0,3267
wang,0,3297
wang,0,3741
wang,0,3817
wang,0,3858
wang,0,4077
wang,0,4252
wang,0,4696
wang,0,4715
wang,0,4878
wang,0,5080
wang,0,5250
wang,0,6332
wang,0,6344
wang,0,6436
wang,0,6530
wang,0,6677
wang,0,6743
wang,0,7279
wang,0,7378
wang,0,7386
wang,0,7669
wang,0,7749
wang,0,8092
wang,0,8253
wang,0,8367
wang,0,8465
wang,0,8866
wang,0,8963
wang,0,9362
wang,0,9846
wang,0,9983
wang,0,10190
wang,0,10268
wang,0,10539
wang,0,10953
wang,0,11122
wang,0,11282
wang,0,11338
wang,0,11752
wang,0,11762
wang,0,11910
wang,0,12242
wang,0,12261
wang,0,12271
wang,0,12417
wang,0,12564
wang,0,12650
wang,0,12810
wang,0,12813
wang,0,13539
wang,0,13622
wang,0,13808
wang,0,13834
wang,0,13838
wang,0,13879
wang,0,14042
wang,0,14131
wang,0,14168
wang,1,2532
wang,1,5410
wang,1,5573
wang,1,5786
wang,1,7843
wang,1,8738
wang,1,9067
wang,1,10912
wang,1,11737
wang,1,11951
wang,2,92
wang,2,285
wang,2,338
wang,2,614
wang,2,621
wang,2,709
wang,2,755
wang,2,842
wang,2,901
wang,2,977
wang,2,1020
wang,2,1031
wang,2,1301
wang,2,1608
wang,2,1698
wang,2,1928
wang,2,2148
wang,2,2159
wang,2,2266
wang,2,2368
wang,2,2378
wang,2,2470
wang,2,2669
wang,2,2882
wang,2,3229
wang,2,3241
wang,2,3328
wang,2,3470
wang,2,3558
wang,2,3633
wang,2,3796
wang,2,4259
wang,2,4359
wang,2,4510
wang,2,4557
wang,2,4591
wang,2,4639
wang,2,4658
wang,2,4732
wang,2,4767
wang,2,4800
wang,2,5157
wang,2,5219
wang,2,5276
wang,2,5332
wang,2,5488
wang,2,5681
wang,2,5777
wang,2,5863
wang,2,5965
wang,2,5979
wang,2,6250
wang,2,6252
wang,2,6272
wang,2,6858
wang,2,7034
wang,2,7163
wang,2,7436
wang,2,7583
wang,2,7776
wang,2,7949
wang,2,8037
wang,2,8071
wang,2,8135
wang,2,8552
wang,2,8660
wang,2,8876
wang,2,9255
wang,2,9260
wang,2,9310
wang,2,9353
wang,2,9805
wang,2,9841
wang,2,9956
wang,2,9961
wang,2,9969
wang,2,10014
wang,2,10053
wang,2,10178
wang,2,10272
wang,2,10383
wang,2,10524
wang,2,10583
wang,2,11015
wang,2,11075
wang,2,11315
wang,2,11871
wang,2,11931
wang,2,12388
wang,2,12475
wang,2,12523
wang,2,12659
wang,2,12825
wang,2,12917
wang,2,12991
wang,2,13038
wang,2,13183
wang,2,13418
wang,2,13419
wang,2,13496
wang,2,13642
wang,2,13712
wang,2,13739
wang,2,13826
wang,2,13866
wang,2,13924
wang,2,13935
wang,2,13951
wang,2,13992
wang,2,14028
wang,2,14040
wang,2,14104
wang,2,14213
wang,3,280
wang,3,319
wang,3,352
wang,3,527
wang,3,588
wang,3,640
wang,3,998
wang,3,1242
wang,3,1404
wang,3,1426
wang,3,1498
wang,3,1555
wang,3,1563
wang,3,1564
wang,3,1936
wang,3,2145
wang,3,2298
wang,3,2444
wang,3,2662
wang,3,2708
wang,3,2959
wang,3,2960
wang,3,2970
wang,3,3134
wang,3,3240
wang,3,3294
wang,3,3460
wang,3,3490
wang,3,3739
wang,3,3740
wang,3,3754
wang,3,3853
wang,3,4059
wang,3,4341
wang,3,4434
wang,3,4551
wang,3,4923
wang,3,5079
wang,3,5098
wang,3,5205
wang,3,5253
wang,3,5299
wang,3,5320
wang,3,5358
wang,3,5455
wang,3,5539
wang,3,5604
wang,3,5654
wang,3,5660
wang,3,5869
wang,3,5953
wang,3,6011
wang,3,6072
wang,3,6182
wang,3,6188
wang,3,6212
wang,3,6309
wang,3,6375
wang,3,6404
wang,3,6413
wang,3,6480
wang,3,6589
wang,3,6595
wang,3,6792
wang,3,6862
wang,3,6995
wang,3,7312
wang,3,7339
wang,3,7549
wang,3,7598
wang,3,7654
wang,3,7725
wang,3,7756
wang,3,7804
wang,3,7909
wang,3,8044
wang,3,8079
wang,3,8105
wang,3,8418
wang,3,8472
wang,3,8612
wang,3,8672
wang,3,8849
wang,3,8926
wang,3,8931
wang,3,8948
wang,3,9013
wang,3,9050
wang,3,9058
wang,3,9195
wang,3,9204
wang,3,9217
wang,3,9513
wang,3,9693
wang,3,9887
wang,3,9890
wang,3,9922
wang,3,10043
wang,3,10078
wang,3,10094
wang,3,10109
wang,3,10118
wang,3,10405
wang,3,10512
wang,3,10520
wang,3,10534
wang,3,10550
wang,3,10709
wang,3,10821
wang,3,10995
wang,3,11177
wang,3,11297
wang,3,11316
wang,3,11405
wang,3,11503
wang,3,11533
wang,3,11674
wang,3,11738
wang,3,11851
wang,3,11866
wang,3,11961
wang,3,12133
wang,3,12195
wang,3,12266
wang,3,12268
wang,3,12414
wang,3,12459
wang,3,12571
wang,3,12617
wang,3,12741
wang,3,12889
wang,3,12958
wang,3,13255
wang,3,13304
wang,3,13531
wang,3,13538
wang,3,13629
wang,3,13645
wang,3,13670
wang,3,13690
wang,3,13739
wang,3,13743
wang,3,13772
wang,3,13888
wang,3,14004
wang,3,14016
wang,3,14182
wang,3,14192
wang,3,14241
wang,3,14294
wang,4,193
wang,4,412
wang,4,487
wang,4,512
wang,4,517
wang,4,593
wang,4,599
wang,4,668
wang,4,722
wang,4,774
wang,4,969
wang,4,1089
wang,4,1242
wang,4,1368
wang,4,1374
wang,4,1563
wang,4,1694
wang,4,1992
wang,4,2435
wang,4,2738
wang,4,3091
wang,4,3101
wang,4,3177
wang,4,3223
wang,4,3241
wang,4,3624
wang,4,3736
wang,4,3807
wang,4,3981
wang,4,3991
wang,4,3994
wang,4,4070
wang,4,4141
wang,4,4265
wang,4,4266
wang,4,4296
wang,4,4341
wang,4,4494
wang,4,4650
wang,4,4652
wang,4,4671
wang,4,4857
wang,4,4934
wang,4,5014
wang,4,5330
wang,4,5384
wang,4,5443
wang,4,5610
wang,4,5637
wang,4,5681
wang,4,5728
wang,4,5731
wang,4,5799
wang,4,5852
wang,4,5873
wang,4,5992
wang,4,6134
wang,4,6172
wang,4,6236
wang,4,6238
wang,4,6312
wang,4,6361
wang,4,6390
wang,4,6825
wang,4,7122
wang,4,7169
wang,4,7268
wang,4,7324
wang,4,7372
wang,4,7528
wang,4,7554
wang,4,7615
wang,4,7625
wang,4,7846
wang,4,7872
wang,4,7955
wang,4,8067
wang,4,8262
wang,4,8280
wang,4,8286
wang,4,8292
wang,4,8339
wang,4,8346
wang,4,8348
wang,4,8384
wang,4,8436
wang,4,8498
wang,4,8691
wang,4,8758
wang,4,8886
wang,4,8987
wang,4,9158
wang,4,9328
wang,4,9374
wang,4,9582
wang,4,9795
wang,4,9839
wang,4,9876
wang,4,10188
wang,4,10275
wang,4,10282
wang,4,10297
wang,4,10401
wang,4,10424
wang,4,10546
wang,4,10620
wang,4,11185
wang,4,11422
wang,4,11538
wang,4,11701
wang,4,11932
wang,4,12108
wang,4,12162
wang,4,12270
wang,4,12309
wang,4,12538
wang,4,12558
wang,4,12595
wang,4,12603
wang,4,12609
wang,4,12660
wang,4,12853
wang,4,12933
wang,4,12934
wang,4,12970
wang,4,13008
wang,4,13407
wang,4,13505
wang,4,13874
wang,4,13994
wang,4,14089
wang,5,34
wang,5,51
wang,5,149
wang,5,430
wang,5,484
wang,5,488
wang,5,541
wang,5,576
wang,5,740
wang,5,959
wang,5,966
wang,5,977
wang,5,1062
wang,5,1079
wang,5,1298
wang,5,1317
wang,5,1360
wang,5,1411
wang,5,1426
wang,5,1502
wang,5,1507
wang,5,1665
wang,5,1764
wang,5,2112
wang,5,2158
wang,5,2172
wang,5,2228
wang,5,2284
wang,5,2511
wang,5,2865
wang,5,3047
wang,5,3132
wang,5,3155
wang,5,3194
wang,5,3199
wang,5,3390
wang,5,3481
wang,5,3540
wang,5,3607
wang,5,3634
wang,5,3685
wang,5,3704
wang,5,3805
wang,5,3966
wang,5,4148
wang,5,4196
wang,5,4331
wang,5,4407
wang,5,4493
wang,5,4519
wang,5,4644
wang,5,4663
wang,5,4724
wang,5,4869
wang,5,4996
wang,5,5090
wang,5,5153
wang,5,5203
wang,5,5229
wang,5,5248
wang,5,5334
wang,5,5364
wang,5,5514
wang,5,5571
wang,5,5675
wang,5,5798
wang,5,6036
wang,5,6249
wang,5,6290
wang,5,6607
wang,5,6813
wang,5,6915
wang,5,6955
wang,5,6982
wang,5,7067
wang,5,7133
wang,5,7261
wang,5,7657
wang,5,7729
wang,5,7798
wang,5,7873
wang,5,7899
wang,5,7994
wang,5,8212
wang,5,8250
wang,5,8298
wang,5,8468
wang,5,8612
wang,5,8636
wang,5,8744
wang,5,8921
wang,5,8949
wang,5,9273
wang,5,9362
wang,5,9391
wang,5,9417
wang,5,9557
wang,5,9657
wang,5,9724
wang,5,9815
wang,5,10041
wang,5,10072
wang,5,10209
wang,5,10332
wang,5,10385
wang,5,10499
wang,5,10722
wang,5,10813
wang,5,10862
wang,5,10926
wang,5,10965
wang,5,11085
wang,5,11123
wang,5,11147
wang,5,11241
wang,5,11731
wang,5,11864
wang,5,11910
wang,5,11992
wang,5,12004
wang,5,12183
wang,5,12380
wang,5,12544
wang,5,12551
wang,5,12552
wang,5,12588
wang,5,12661
wang,5,12787
wang,5,12790
wang,5,12830
wang,5,12990
wang,5,12995
wang,5,13054
wang,5,13268
wang,5,13314
wang,5,13615
wang,5,13644
wang,5,13661
wang,5,13950
wang,5,13965
wang,5,14004
wang,5,14182
wang,5,14194
wang,6,127
wang,6,155
wang,6,214
wang,6,281
wang,6,451
wang,6,461
wang,6,550
wang,6,566
wang,6,599
wang,6,847
wang,6,868
wang,6,894
wang,6,1059
wang,6,1098
wang,6,1159
wang,6,1264
wang,6,1372
wang,6,1381
wang,6,1583
wang,6,1585
wang,6,1696
wang,6,1809
wang,6,1896
wang,6,2139
wang,6,2161
wang,6,2210
wang,6,2453
wang,6,2458
wang,6,2533
wang,6,2660
wang,6,2755
wang,6,2868
wang,6,2938
wang,6,3005
wang,6,3115
wang,6,3144
wang,6,3157
wang,6,3318
wang,6,3343
wang,6,3353
wang,6,3446
wang,6,3568
wang,6,3574
wang,6,3592
wang,6,3611
wang,6,3654
wang,6,3664
wang,6,3704
wang,6,3730
wang,6,3754
wang,6,3891
wang,6,4069
wang,6,4163
wang,6,4426
wang,6,4486
wang,6,4551
wang,6,4722
wang,6,4855
wang,6,4976
wang,6,5080
wang,6,5090
wang,6,5187
wang,6,5244
wang,6,5308
wang,6,5336
wang,6,5342
wang,6,5371
wang,6,5399
wang,6,5880
wang,6,5934
wang,6,6322
wang,6,6458
wang,6,6574
wang,6,6659
wang,6,6771
wang,6,6825
wang,6,6858
wang,6,6895
wang,6,7035
wang,6,7110
wang,6,7308
wang,6,7397
wang,6,7426
wang,6,7472
wang,6,7539
wang,6,7569
wang,6,7668
wang,6,7750
wang,6,7778
wang,6,7936
wang,6,7994
wang,6,8127
wang,6,8169
wang,6,8337
wang,6,8385
wang,6,8491
wang,6,8519
wang,6,8578
wang,6,8653
wang,6,8673
wang,6,8709
wang,6,8731
wang,6,8733
wang,6,8885
wang,6,9066
wang,6,9226
wang,6,9232
wang,6,9265
wang,6,9319
wang,6,9471
wang,6,9554
wang,6,9678
wang,6,9746
wang,6,9779
wang,6,9796
wang,6,9827
wang,6,9986
wang,6,10107
wang,6,10113
wang,6,10114
wang,6,10120
wang,6,10130
wang,6,10213
wang,6,10258
wang,6,10274
wang,6,10316
wang,6,10349
wang,6,10438
wang,6,10624
wang,6,10673
wang,6,10743
wang,6,10781
wang,6,10905
wang,6,10951
wang,6,11001
wang,6,11101
wang,6,11277
wang,6,11341
wang,6,11559
wang,6,11580
wang,6,11623
wang,6,11709
wang,6,12040
wang,6,12050
wang,6,12087
wang,6,12171
wang,6,12236
wang,6,12302
wang,6,12398
wang,6,12430
wang,6,12480
wang,6,12543
wang,6,12606
wang,6,12987
wang,6,13078
wang,6,13182
wang,6,13469
wang,6,13608
wang,6,13682
wang,6,13685
wang,6,13730
wang,6,13766
wang,6,13774
wang,6,13783
wang,6,13894
wang,6,13959
wang,6,14046
wang,6,14096
wang,6,14162
wang,6,14235
wang,6,14275
wang,7,147
wang,7,321
wang,7,338
wang,7,398
wang,7,580
wang,7,633
wang,7,665
wang,7,760
wang,7,780
wang,7,824
wang,7,913
wang,7,946
wang,7,957
wang,7,1227
wang,7,1342
wang,7,1390
wang,7,1450
wang,7,1477
wang,7,1491
wang,7,1812
wang,7,1838
wang,7,1851
wang,7,2137
wang,7,2307
wang,7,2308
wang,7,2369
wang,7,2375
wang,7,2448
wang,7,2472
wang,7,2497
wang,7,2524
wang,7,2536
wang,7,2553
wang,7,2687
wang,7,2736
wang,7,2765
wang,7,2816
wang,7,2899
wang,7,2932
wang,7,2956
wang,7,2968
wang,7,3007
wang,7,3035
wang,7,3118
wang,7,3125
wang,7,3209
wang,7,3261
wang,7,3276
wang,7,3343
wang,7,3367
wang,7,3440
wang,7,3555
wang,7,3562
wang,7,3626
wang,7,3724
wang,7,3741
wang,7,3866
wang,7,3888
wang,7,3893
wang,7,3921
wang,7,3971
wang,7,3995
wang,7,4332
wang,7,4490
wang,7,4593
wang,7,4695
wang,7,4817
wang,7,4889
wang,7,4946
wang,7,5010
wang,7,5071
wang,7,5239
wang,7,5304
wang,7,5362
wang,7,5446
wang,7,5505
wang,7,5709
wang,7,5738
wang,7,5796
wang,7,5798
wang,7,5969
wang,7,6091
wang,7,6132
wang,7,6322
wang,7,6502
wang,7,6553
wang,7,6597
wang,7,6600
wang,7,6827
wang,7,6900
wang,7,6962
wang,7,6963
wang,7,7004
wang,7,7193
wang,7,7211
wang,7,7212
wang,7,7244
wang,7,7266
wang,7,7289
wang,7,7322
wang,7,7478
wang,7,7601
wang,7,7636
wang,7,7835
wang,7,7943
wang,7,8059
wang,7,8196
wang,7,8297
wang,7,8302
wang,7,8437
wang,7,8565
wang,7,8571
wang,7,8850
wang,7,9090
wang,7,9150
wang,7,9300
wang,7,9321
wang,7,9403
wang,7,9639
wang,7,9703
wang,7,9727
wang,7,9730
wang,7,9872
wang,7,9940
wang,7,10014
wang,7,10156
wang,7,10190
wang,7,10191
wang,7,10322
wang,7,10370
wang,7,10481
wang,7,10520
wang,7,10691
wang,7,10842
wang,7,11025
wang,7,11035
wang,7,11048
wang,7,11056
wang,7,11113
wang,7,11126
wang,7,11163
wang,7,11201
wang,7,11354
wang,7,11439
wang,7,11478
wang,7,11484
wang,7,11532
wang,7,11542
wang,7,11596
wang,7,11695
wang,7,11744
wang,7,11747
wang,7,11990
wang,7,12012
wang,7,12090
wang,7,12719
wang,7,12769
wang,7,12770
wang,7,12784
wang,7,12791
wang,7,12811
wang,7,12845
wang,7,12910
wang,7,13003
wang,7,13070
wang,7,13111
wang,7,13166
wang,7,13472
wang,7,13573
wang,7,13775
wang,7,13875
wang,7,13900
wang,7,13907
wang,7,14067
wang,7,14081
wang,7,14107
wang,7,14181
wang,7,14273
wang,7,14297
wang,8,51
wang,8,64
wang,8,108
wang,8,113
wang,8,133
wang,8,251
wang,8,272
wang,8,287
wang,8,352
wang,8,479
wang,8,483
wang,8,547
wang,8,651
wang,8,652
wang,8,741
wang,8,770
wang,8,790
wang,8,1063
wang,8,1073
wang,8,1117
wang,8,1131
wang,8,1156
wang,8,1171
wang,8,1294
wang,8,1352
wang,8,1406
wang,8,1422
wang,8,1437
wang,8,1658
wang,8,1697
wang,8,1773
wang,8,1829
wang,8,1883
wang,8,2053
wang,8,2056
wang,8,2118
wang,8,2124
wang,8,2322
wang,8,2349
wang,8,2421
wang,8,2450
wang,8,2452
wang,8,2455
wang,8,2617
wang,8,2673
wang,8,2675
wang,8,2711
wang,8,2721
wang,8,2757
