variant,layer,neuron_index
wang_robust,0,611
wang_robust,0,699
wang_robust,0,703
wang_robust,0,762
wang_robust,0,989
wang_robust,0,1151
wang_robust,0,1193
wang_robust,0,1228
wang_robust,0,1253
wang_robust,0,1590
wang_robust,0,1689
wang_robust,0,1726
wang_robust,0,1737
wang_robust,0,1981
wang_robust,0,2266
wang_robust,0,2358
wang_robust,0,2453
wang_robust,0,2542
wang_robust,0,2699
wang_robust,0,3242
wang_robust,0,3267
wang_robust,0,3297
wang_robust,0,3400
wang_robust,0,3741
wang_robust,0,3817
wang_robust,0,3858
wang_robust,0,4077
wang_robust,0,4098
wang_robust,0,4252
wang_robust,0,4696
wang_robust,0,4715
wang_robust,0,4878
wang_robust,0,5080
wang_robust,0,5250
wang_robust,0,5283
wang_robust,0,5914
wang_robust,0,5956
wang_robust,0,6332
wang_robust,0,6344
wang_robust,0,6436
wang_robust,0,6530
wang_robust,0,6631
wang_robust,0,6677
wang_robust,0,6743
wang_robust,0,6766
wang_robust,0,7068
wang_robust,0,7279
wang_robust,0,7378
wang_robust,0,7386
wang_robust,0,7669
wang_robust,0,7749
wang_robust,0,8092
wang_robust,0,8253
wang_robust,0,8367
wang_robust,0,8465
wang_robust,0,8866
wang_robust,0,8963
wang_robust,0,9362
wang_robust,0,9519
wang_robust,0,9846
wang_robust,0,9894
wang_robust,0,9983
wang_robust,0,10190
wang_robust,0,10268
wang_robust,0,10539
wang_robust,0,10894
wang_robust,0,10953
wang_robust,0,11122
wang_robust,0,11282
wang_robust,0,11314
wang_robust,0,11338
wang_robust,0,11752
wang_robust,0,11762
wang_robust,0,11910
wang_robust,0,12242
wang_robust,0,12261
wang_robust,0,12271
wang_robust,0,12417
wang_robust,0,12650
wang_robust,0,12810
wang_robust,0,12813
wang_robust,0,13530
wang_robust,0,13531
wang_robust,0,13539
wang_robust,0,13622
wang_robust,0,13808
wang_robust,0,13834
wang_robust,0,13838
wang_robust,0,13869
wang_robust,0,13879
wang_robust,0,14042
wang_robust,0,14131
wang_robust,0,14168
wang_robust,1,88
wang_robust,1,270
wang_robust,1,286
wang_robust,1,379
wang_robust,1,681
wang_robust,1,733
wang_robust,1,744
wang_robust,1,953
wang_robust,1,979
wang_robust,1,1274
wang_robust,1,1306
wang_robust,1,1335
wang_robust,1,1412
wang_robust,1,1476
wang_robust,1,1576
wang_robust,1,1735
wang_robust,1,2088
wang_robust,1,2264
wang_robust,1,2273
wang_robust,1,2423
wang_robust,1,2532
wang_robust,1,2757
wang_robust,1,2759
wang_robust,1,2895
wang_robust,1,3030
wang_robust,1,3463
wang_robust,1,4175
wang_robust,1,4227
wang_robust,1,4273
wang_robust,1,4420
wang_robust,1,4513
wang_robust,1,4555
wang_robust,1,4568
wang_robust,1,4803
wang_robust,1,4887
wang_robust,1,4909
wang_robust,1,5072
wang_robust,1,5253
wang_robust,1,5265
wang_robust,1,5410
wang_robust,1,5511
wang_robust,1,5573
wang_robust,1,5637
wang_robust,1,5786
wang_robust,1,5894
wang_robust,1,6058
wang_robust,1,6212
wang_robust,1,6270
