variant,layer,neuron_index
zhao_topk,0,20
zhao_topk,0,31
zhao_topk,0,42
zhao_topk,0,47
zhao_topk,0,92
zhao_topk,0,114
zhao_topk,0,125
zhao_topk,0,167
zhao_topk,0,170
zhao_topk,0,186
zhao_topk,0,258
zhao_topk,0,268
zhao_topk,0,319
zhao_topk,0,350
zhao_topk,0,354
zhao_topk,0,378
zhao_topk,0,380
zhao_topk,0,491
zhao_topk,0,653
zhao_topk,0,703
zhao_topk,0,712
zhao_topk,0,747
zhao_topk,0,885
zhao_topk,0,916
zhao_topk,0,965
zhao_topk,0,989
zhao_topk,0,1090
zhao_topk,0,1105
zhao_topk,0,1150
zhao_topk,0,1228
zhao_topk,0,1285
zhao_topk,0,1364
zhao_topk,0,1426
zhao_topk,0,1494
zhao_topk,0,1526
zhao_topk,0,1554
zhao_topk,0,1555
zhao_topk,0,1556
zhao_topk,0,1597
zhao_topk,0,1668
zhao_topk,0,1698
zhao_topk,0,1721
zhao_topk,0,1737
zhao_topk,0,1754
zhao_topk,0,1758
zhao_topk,0,1794
zhao_topk,0,1796
zhao_topk,0,1862
zhao_topk,0,1885
zhao_topk,0,1916
zhao_topk,0,1920
zhao_topk,0,1955
zhao_topk,0,1996
zhao_topk,0,2011
zhao_topk,0,2029
zhao_topk,0,2121
zhao_topk,0,2215
zhao_topk,0,2234
zhao_topk,0,2308
zhao_topk,0,2335
zhao_topk,0,2352
zhao_topk,0,2372
zhao_topk,0,2472
zhao_topk,0,2509
zhao_topk,0,2540
zhao_topk,0,2605
zhao_topk,0,2612
zhao_topk,0,2629
zhao_topk,0,2699
zhao_topk,0,2750
zhao_topk,0,2769
zhao_topk,0,2775
zhao_topk,0,2813
zhao_topk,0,2848
zhao_topk,0,2863
zhao_topk,0,2867
zhao_topk,0,2931
zhao_topk,0,2936
zhao_topk,0,2940
zhao_topk,0,2941
zhao_topk,0,3047
zhao_topk,0,3058
zhao_topk,0,3238
zhao_topk,0,3342
zhao_topk,0,3348
zhao_topk,0,3358
zhao_topk,0,3359
zhao_topk,0,3461
zhao_topk,0,3480
zhao_topk,0,3486
zhao_topk,0,3497
zhao_topk,0,3619
zhao_topk,0,3645
zhao_topk,0,3675
zhao_topk,0,3677
zhao_topk,0,3683
zhao_topk,0,3716
zhao_topk,0,3783
zhao_topk,0,3804
zhao_topk,0,3805
zhao_topk,0,3850
zhao_topk,0,3858
zhao_topk,0,3892
zhao_topk,0,3966
zhao_topk,0,3974
zhao_topk,0,3977
zhao_topk,0,3990
zhao_topk,0,3995
zhao_topk,0,4069
zhao_topk,0,4098
zhao_topk,0,4100
zhao_topk,0,4108
zhao_topk,0,4239
zhao_topk,0,4252
zhao_topk,0,4280
zhao_topk,0,4383
zhao_topk,0,4486
zhao_topk,0,4531
zhao_topk,0,4588
zhao_topk,0,4636
zhao_topk,0,4680
zhao_topk,0,4685
zhao_topk,0,4721
zhao_topk,0,4744
zhao_topk,0,4767
zhao_topk,0,4820
zhao_topk,0,4878
zhao_topk,0,4879
zhao_topk,0,4914
zhao_topk,0,5080
zhao_topk,0,5136
zhao_topk,0,5147
zhao_topk,0,5160
zhao_topk,0,5163
zhao_topk,0,5178
zhao_topk,0,5183
zhao_topk,0,5220
zhao_topk,0,5236
zhao_topk,0,5250
zhao_topk,0,5357
zhao_topk,0,5489
zhao_topk,0,5534
zhao_topk,0,5557
zhao_topk,0,5591
zhao_topk,0,5682
zhao_topk,0,5688
zhao_topk,0,5701
zhao_topk,0,5765
zhao_topk,0,5805
zhao_topk,0,5812
zhao_topk,0,5857
zhao_topk,0,5882
zhao_topk,0,5889
zhao_topk,0,5891
zhao_topk,0,5966
zhao_topk,0,5976
zhao_topk,0,5993
zhao_topk,0,6029
zhao_topk,0,6064
zhao_topk,0,6076
zhao_topk,0,6100
zhao_topk,0,6118
zhao_topk,0,6135
zhao_topk,0,6182
zhao_topk,0,6237
zhao_topk,0,6256
zhao_topk,0,6329
zhao_topk,0,6337
zhao_topk,0,6344
zhao_topk,0,6355
zhao_topk,0,6459
zhao_topk,0,6572
zhao_topk,0,6581
zhao_topk,0,6589
zhao_topk,0,6758
zhao_topk,0,6766
zhao_topk,0,6843
zhao_topk,0,6848
zhao_topk,0,6921
zhao_topk,0,6989
zhao_topk,0,7011
zhao_topk,0,7047
zhao_topk,0,7052
zhao_topk,0,7071
zhao_topk,0,7075
zhao_topk,0,7089
zhao_topk,0,7104
zhao_topk,0,7125
zhao_topk,0,7134
zhao_topk,0,7164
zhao_topk,0,7177
zhao_topk,0,7243
zhao_topk,0,7266
zhao_topk,0,7291
zhao_topk,0,7346
zhao_topk,0,7355
zhao_topk,0,7364
zhao_topk,0,7375
zhao_topk,0,7424
zhao_topk,0,7433
zhao_topk,0,7446
zhao_topk,0,7449
zhao_topk,0,7454
zhao_topk,0,7461
zhao_topk,0,7473
zhao_topk,0,7476
zhao_topk,0,7495
zhao_topk,0,7521
zhao_topk,0,7567
zhao_topk,0,7619
zhao_topk,0,7646
zhao_topk,0,7650
zhao_topk,0,7663
zhao_topk,0,7673
zhao_topk,0,7692
zhao_topk,0,7732
zhao_topk,0,7830
zhao_topk,0,7844
zhao_topk,0,7868
zhao_topk,0,7877
zhao_topk,0,7987
zhao_topk,0,8001
zhao_topk,0,8050
zhao_topk,0,8092
zhao_topk,0,8171
zhao_topk,0,8224
zhao_topk,0,8237
zhao_topk,0,8268
zhao_topk,0,8275
zhao_topk,0,8297
zhao_topk,0,8388
zhao_topk,0,8390
zhao_topk,0,8433
zhao_topk,0,8465
zhao_topk,0,8472
zhao_topk,0,8478
zhao_topk,0,8479
zhao_topk,0,8485
zhao_topk,0,8506
zhao_topk,0,8509
zhao_topk,0,8535
zhao_topk,0,8580
zhao_topk,0,8673
zhao_topk,0,8693
zhao_topk,0,8714
zhao_topk,0,8727
zhao_topk,0,8736
zhao_topk,0,8761
zhao_topk,0,8852
zhao_topk,0,8953
zhao_topk,0,8963
zhao_topk,0,8991
zhao_topk,0,9051
zhao_topk,0,9094
zhao_topk,0,9095
zhao_topk,0,9116
zhao_topk,0,9187
zhao_topk,0,9199
zhao_topk,0,9237
zhao_topk,0,9295
zhao_topk,0,9305
zhao_topk,0,9308
zhao_topk,0,9394
zhao_topk,0,9469
zhao_topk,0,9580
zhao_topk,0,9647
zhao_topk,0,9666
zhao_topk,0,9718
zhao_topk,0,9729
zhao_topk,0,9730
zhao_topk,0,9733
zhao_topk,0,9768
zhao_topk,0,9781
zhao_topk,0,9828
zhao_topk,0,9832
zhao_topk,0,9837
zhao_topk,0,9903
zhao_topk,0,9914
zhao_topk,0,9928
zhao_topk,0,9948
zhao_topk,0,9978
zhao_topk,0,10034
zhao_topk,0,10043
zhao_topk,0,10133
zhao_topk,0,10139
zhao_topk,0,10181
zhao_topk,0,10184
zhao_topk,0,10196
zhao_topk,0,10260
