variant,layer,neuron_index
delta_harmfulness,1,12638
delta_harmfulness,2,3328
delta_harmfulness,2,4077
delta_harmfulness,2,4526
delta_harmfulness,2,7120
delta_harmfulness,2,10524
delta_harmfulness,3,4851
delta_harmfulness,3,7090
delta_harmfulness,3,7321
delta_harmfulness,3,10351
delta_harmfulness,4,2929
delta_harmfulness,4,5083
delta_harmfulness,4,6333
delta_harmfulness,4,7674
delta_harmfulness,4,8797
delta_harmfulness,4,9809
delta_harmfulness,4,10711
delta_harmfulness,4,11195
delta_harmfulness,4,11663
delta_harmfulness,4,12562
delta_harmfulness,5,3150
delta_harmfulness,5,3934
delta_harmfulness,5,5733
delta_harmfulness,5,7016
delta_harmfulness,5,7264
delta_harmfulness,5,7951
delta_harmfulness,5,9454
delta_harmfulness,5,10131
delta_harmfulness,5,10389
delta_harmfulness,5,10780
delta_harmfulness,5,13406
delta_harmfulness,5,13440
delta_harmfulness,6,1413
delta_harmfulness,6,4341
delta_harmfulness,6,5134
delta_harmfulness,6,7162
delta_harmfulness,6,7575
delta_harmfulness,6,8199
delta_harmfulness,6,11002
delta_harmfulness,6,11497
delta_harmfulness,6,12689
delta_harmfulness,7,699
delta_harmfulness,7,824
delta_harmfulness,7,1994
delta_harmfulness,7,3135
delta_harmfulness,7,3720
delta_harmfulness,7,5433
delta_harmfulness,7,7454
delta_harmfulness,7,8526
delta_harmfulness,7,10594
delta_harmfulness,7,12230
delta_harmfulness,8,64
delta_harmfulness,8,319
delta_harmfulness,8,1430
delta_harmfulness,8,1846
delta_harmfulness,8,4180
delta_harmfulness,8,7503
delta_harmfulness,8,7744
delta_harmfulness,8,7912
delta_harmfulness,8,8317
delta_harmfulness,8,9536
delta_harmfulness,8,11596
delta_harmfulness,8,11939
delta_harmfulness,9,153
delta_harmfulness,9,334
delta_harmfulness,9,481
delta_harmfulness,9,522
delta_harmfulness,9,749
delta_harmfulness,9,802
delta_harmfulness,9,1153
delta_harmfulness,9,1303
