variant,layer,neuron_index
delta_refusal,10,1084
delta_refusal,16,11277
delta_refusal,23,2565
delta_refusal,25,10021
delta_refusal,27,769
delta_refusal,27,3218
delta_refusal,27,13988
delta_refusal,28,647
delta_refusal,28,1648
delta_refusal,28,2807
delta_refusal,28,8416
delta_refusal,28,8979
delta_refusal,28,11387
delta_refusal,29,142
delta_refusal,29,254
delta_refusal,29,1134
delta_refusal,29,1246
delta_refusal,29,1251
delta_refusal,29,3746
delta_refusal,29,4048
delta_refusal,29,7328
delta_refusal,29,7349
delta_refusal,29,10308
delta_refusal,29,10726
delta_refusal,29,11650
delta_refusal,29,11909
delta_refusal,29,13350
delta_refusal,29,13413
delta_refusal,29,13799
delta_refusal,29,14025
delta_refusal,29,14120
delta_refusal,30,172
delta_refusal,30,251
delta_refusal,30,422
delta_refusal,30,635
delta_refusal,30,840
delta_refusal,30,864
delta_refusal,30,1130
delta_refusal,30,1171
delta_refusal,30,1200
delta_refusal,30,1457
delta_refusal,30,1464
delta_refusal,30,1562
delta_refusal,30,1793
delta_refusal,30,1797
delta_refusal,30,1801
delta_refusal,30,1909
delta_refusal,30,1994
delta_refusal,30,2226
delta_refusal,30,2627
delta_refusal,30,2792
delta_refusal,30,3296
delta_refusal,30,3364
delta_refusal,30,3727
delta_refusal,30,3786
delta_refusal,30,3970
delta_refusal,30,4077
delta_refusal,30,4727
delta_refusal,30,4770
delta_refusal,30,4893
delta_refusal,30,4920
delta_refusal,30,4936
delta_refusal,30,5359
delta_refusal,30,5526
delta_refusal,30,5542
delta_refusal,30,5549
delta_refusal,30,5946
delta_refusal,30,5948
delta_refusal,30,6894
delta_refusal,30,6976
delta_refusal,30,7304
delta_refusal,30,7675
delta_refusal,30,7813
delta_refusal,30,8392
delta_refusal,30,8491
delta_refusal,30,8539
delta_refusal,30,8639
delta_refusal,30,8716
delta_refusal,30,8726
delta_refusal,30,9049
delta_refusal,30,9138
delta_refusal,30,9211
delta_refusal,30,9433
delta_refusal,30,9457
delta_refusal,30,9591
delta_refusal,30,9739
delta_refusal,30,9788
delta_refusal,30,10006
delta_refusal,30,10830
delta_refusal,30,10840
delta_refusal,30,10849
delta_refusal,30,10879
delta_refusal,30,11298
delta_refusal,30,11603
delta_refusal,30,11725
delta_refusal,30,11911
delta_refusal,30,12185
delta_refusal,30,12246
delta_refusal,30,12408
delta_refusal,30,12484
delta_refusal,30,12965
delta_refusal,30,13226
delta_refusal,30,13260
delta_refusal,30,14244
delta_refusal,30,14298
delta_refusal,31,154
delta_refusal,31,181
delta_refusal,31,204
delta_refusal,31,260
delta_refusal,31,273
delta_refusal,31,287
delta_refusal,31,311
delta_refusal,31,316
delta_refusal,31,374
delta_refusal,31,416
delta_refusal,31,437
delta_refusal,31,455
delta_refusal,31,531
delta_refusal,31,566
delta_refusal,31,577
delta_refusal,31,674
delta_refusal,31,775
delta_refusal,31,786
delta_refusal,31,850
delta_refusal,31,855
delta_refusal,31,879
delta_refusal,31,931
delta_refusal,31,953
delta_refusal,31,963
delta_refusal,31,996
delta_refusal,31,1000
delta_refusal,31,1050
delta_refusal,31,1058
delta_refusal,31,1090
delta_refusal,31,1095
delta_refusal,31,1109
delta_refusal,31,1121
delta_refusal,31,1159
delta_refusal,31,1166
delta_refusal,31,1206
delta_refusal,31,1209
delta_refusal,31,1236
delta_refusal,31,1239
delta_refusal,31,1314
delta_refusal,31,1324
delta_refusal,31,1351
delta_refusal,31,1386
delta_refusal,31,1395
delta_refusal,31,1460
delta_refusal,31,1493
delta_refusal,31,1506
delta_refusal,31,1559
delta_refusal,31,1576
delta_refusal,31,1609
delta_refusal,31,1625
delta_refusal,31,1674
delta_refusal,31,1739
delta_refusal,31,1834
delta_refusal,31,1928
delta_refusal,31,1934
delta_refusal,31,1940
delta_refusal,31,1961
delta_refusal,31,1987
delta_refusal,31,2012
delta_refusal,31,2076
delta_refusal,31,2115
delta_refusal,31,2147
delta_refusal,31,2188
delta_refusal,31,2213
delta_refusal,31,2266
delta_refusal,31,2268
delta_refusal,31,2295
delta_refusal,31,2305
delta_refusal,31,2398
delta_refusal,31,2467
delta_refusal,31,2474
delta_refusal,31,2477
delta_refusal,31,2549
delta_refusal,31,2552
delta_refusal,31,2646
delta_refusal,31,2653
delta_refusal,31,2743
delta_refusal,31,2747
delta_refusal,31,2756
delta_refusal,31,2775
delta_refusal,31,2799
delta_refusal,31,2800
delta_refusal,31,2836
delta_refusal,31,2945
delta_refusal,31,2948
delta_refusal,31,2954
delta_refusal,31,2958
delta_refusal,31,3043
delta_refusal,31,3084
delta_refusal,31,3166
delta_refusal,31,3175
delta_refusal,31,3197
delta_refusal,31,3217
delta_refusal,31,3252
delta_refusal,31,3289
delta_refusal,31,3387
delta_refusal,31,3409
delta_refusal,31,3428
delta_refusal,31,3474
delta_refusal,31,3487
delta_refusal,31,3493
delta_refusal,31,3543
delta_refusal,31,3548
delta_refusal,31,3568
delta_refusal,31,3583
delta_refusal,31,3589
delta_refusal,31,3607
delta_refusal,31,3616
delta_refusal,31,3646
delta_refusal,31,3685
delta_refusal,31,3691
delta_refusal,31,3694
delta_refusal,31,3722
delta_refusal,31,3769
delta_refusal,31,3811
delta_refusal,31,3848
delta_refusal,31,3871
delta_refusal,31,3930
delta_refusal,31,4046
delta_refusal,31,4064
delta_refusal,31,4126
delta_refusal,31,4128
delta_refusal,31,4160
delta_refusal,31,4179
delta_refusal,31,4302
delta_refusal,31,4352
delta_refusal,31,4426
delta_refusal,31,4428
delta_refusal,31,4436
delta_refusal,31,4512
delta_refusal,31,4609
delta_refusal,31,4622
delta_refusal,31,4661
delta_refusal,31,4754
delta_refusal,31,4768
delta_refusal,31,4788
delta_refusal,31,4790
delta_refusal,31,4810
delta_refusal,31,4873
delta_refusal,31,4951
delta_refusal,31,5021
delta_refusal,31,5041
delta_refusal,31,5074
delta_refusal,31,5082
delta_refusal,31,5099
delta_refusal,31,5118
delta_refusal,31,5144
delta_refusal,31,5253
delta_refusal,31,5311
delta_refusal,31,5371
delta_refusal,31,5414
delta_refusal,31,5448
delta_refusal,31,5509
delta_refusal,31,5562
delta_refusal,31,5590
delta_refusal,31,5617
delta_refusal,31,5717
delta_refusal,31,5772
delta_refusal,31,5814
delta_refusal,31,5835
delta_refusal,31,5883
delta_refusal,31,5919
delta_refusal,31,5975
delta_refusal,31,6082
delta_refusal,31,6109
delta_refusal,31,6306
delta_refusal,31,6432
delta_refusal,31,6466
delta_refusal,31,6467
delta_refusal,31,6494
delta_refusal,31,6575
delta_refusal,31,6579
delta_refusal,31,6588
delta_refusal,31,6614
delta_refusal,31,6651
delta_refusal,31,6657
delta_refusal,31,7001
delta_refusal,31,7019
delta_refusal,31,7115
delta_refusal,31,7124
delta_refusal,31,7278
delta_refusal,31,7365
delta_refusal,31,7450
delta_refusal,31,7458
delta_refusal,31,7513
delta_refusal,31,7592
delta_refusal,31,7673
delta_refusal,31,7783
delta_refusal,31,7844
delta_refusal,31,7866
delta_refusal,31,7906
delta_refusal,31,7944
delta_refusal,31,7950
delta_refusal,31,7973
delta_refusal,31,8053
delta_refusal,31,8120
delta_refusal,31,8154
delta_refusal,31,8193
delta_refusal,31,8229
delta_refusal,31,8272
delta_refusal,31,8350
delta_refusal,31,8359
delta_refusal,31,8379
delta_refusal,31,8450
delta_refusal,31,8583
delta_refusal,31,8607
delta_refusal,31,8633
delta_refusal,31,8664
delta_refusal,31,8682
delta_refusal,31,8732
delta_refusal,31,8862
delta_refusal,31,8959
delta_refusal,31,8990
delta_refusal,31,9081
delta_refusal,31,9114
delta_refusal,31,9115
